time,DEB18
2021-01-01,7.0299997
2021-01-02,8.42
2021-01-03,7.85
2021-01-04,5.81
2021-01-05,5.24
2021-01-06,4.68
2021-01-07,4.94
2021-01-08,4.64
2021-01-09,3.9299998
2021-01-10,4.49
2021-01-11,3.27
2021-01-12,4.17
2021-01-13,5.97
2021-01-14,6.31
2021-01-15,6.8199997
2021-01-16,3.98
2021-01-17,4.5099998
2021-01-18,3.7099998
2021-01-19,4.1
2021-01-20,6.17
2021-01-21,8.29
2021-01-22,10.15
2021-01-23,9.05
2021-01-24,7.3399997
2021-01-25,7.1499996
2021-01-26,5.89
2021-01-27,3.98
2021-01-28,5.15
2021-01-29,7.48
2021-01-30,8.37
2021-01-31,7.18
2021-02-01,8.12
2021-02-02,8.42
2021-02-03,9.7699995
2021-02-04,10.62
2021-02-05,10.599999
2021-02-06,10.889999
2021-02-07,10.11
2021-02-08,9.05
2021-02-09,9.99
2021-02-10,11.65
2021-02-11,10.34
2021-02-12,7.5899997
2021-02-13,2.12
2021-02-14,1.14
2021-02-15,2.49
2021-02-16,5.38
2021-02-17,8.429999
2021-02-18,8.559999
2021-02-19,9.9
2021-02-20,9.719999
2021-02-21,10.01
2021-02-22,10.2699995
2021-02-23,10.62
2021-02-24,12.46
2021-02-25,12.13
2021-02-26,11.25
2021-02-27,10.8
2021-02-28,8.97
2021-03-01,6.62
2021-03-02,7.1
2021-03-03,8.95
2021-03-04,7.85
2021-03-05,9.69
2021-03-06,7.5
2021-03-07,7.0299997
2021-03-08,8.21
2021-03-09,8.13
2021-03-10,7.8599997
2021-03-11,8.179999
2021-03-12,11.34
2021-03-13,10.61
2021-03-14,9.45
2021-03-15,9.139999
2021-03-16,10.12
2021-03-17,7.99
2021-03-18,6.5299997
2021-03-19,5.6099997
2021-03-20,5.4
2021-03-21,5.94
2021-03-22,7.95
2021-03-23,7.74
2021-03-24,8.46
2021-03-25,9.99
2021-03-26,10.96
2021-03-27,11.3
2021-03-28,11.7
2021-03-29,13.099999
2021-03-30,13.429999
2021-03-31,14.95
2021-04-01,16.789999
2021-04-02,16.47
2021-04-03,13.54
2021-04-04,10.5199995
2021-04-05,9.7699995
2021-04-06,8.62
2021-04-07,6.2599998
2021-04-08,8.03
2021-04-09,9.7699995
2021-04-10,10.38
2021-04-11,11.82
2021-04-12,12.509999
2021-04-13,9.3
2021-04-14,8.48
2021-04-15,8.05
2021-04-16,9.0199995
2021-04-17,9.04
2021-04-18,9.33
2021-04-19,9.809999
2021-04-20,11.25
2021-04-21,12.179999
2021-04-22,12.11
2021-04-23,12.9
2021-04-24,13.88
2021-04-25,14.98
2021-04-26,13.66
2021-04-27,12.179999
2021-04-28,13.44
2021-04-29,14.63
2021-04-30,16.14
2021-05-01,15.54
2021-05-02,14.78
2021-05-03,13.41
2021-05-04,13.0
2021-05-05,14.429999
2021-05-06,15.099999
2021-05-07,16.31
2021-05-08,14.759999
2021-05-09,16.63
2021-05-10,17.43
2021-05-11,14.12
2021-05-12,13.86
2021-05-13,13.509999
2021-05-14,12.4
2021-05-15,13.0
2021-05-16,15.08
2021-05-17,16.31
2021-05-18,15.509999
2021-05-19,14.49
2021-05-20,14.73
2021-05-21,15.71
2021-05-22,16.06
2021-05-23,18.359999
2021-05-24,15.87
2021-05-25,15.46
2021-05-26,15.37
2021-05-27,16.66
2021-05-28,17.46
2021-05-29,17.68
2021-05-30,17.05
2021-05-31,16.289999
2021-06-01,17.14
2021-06-02,17.94
2021-06-03,18.39
2021-06-04,19.85
2021-06-05,19.76
2021-06-06,19.369999
2021-06-07,17.77
2021-06-08,17.039999
2021-06-09,18.92
2021-06-10,19.4
2021-06-11,19.21
2021-06-12,21.289999
2021-06-13,22.47
2021-06-14,22.619999
2021-06-15,21.32
2021-06-16,21.74
2021-06-17,22.619999
2021-06-18,21.82
2021-06-19,22.66
2021-06-20,24.189999
2021-06-21,23.359999
2021-06-22,23.359999
2021-06-23,23.75
2021-06-24,22.789999
2021-06-25,21.5
2021-06-26,21.6
2021-06-27,22.88
2021-06-28,24.609999
2021-06-29,23.869999
2021-06-30,22.02
2021-07-01,22.43
2021-07-02,22.02
2021-07-03,22.63
2021-07-04,20.779999
2021-07-05,21.949999
2021-07-06,24.449999
2021-07-07,25.869999
2021-07-08,24.859999
2021-07-09,22.24
2021-07-10,22.21
2021-07-11,22.73
2021-07-12,24.09
2021-07-13,22.779999
2021-07-14,19.689999
2021-07-15,20.9
2021-07-16,19.88
2021-07-17,20.939999
2021-07-18,23.92
2021-07-19,24.269999
2021-07-20,24.269999
2021-07-21,24.34
2021-07-22,24.01
2021-07-23,23.859999
2021-07-24,25.189999
2021-07-25,25.58
2021-07-26,24.359999
2021-07-27,24.039999
2021-07-28,24.029999
2021-07-29,24.5
2021-07-30,25.68
2021-07-31,26.349998
2021-08-01,24.3
2021-08-02,21.9
2021-08-03,22.57
2021-08-04,24.01
2021-08-05,22.689999
2021-08-06,23.26
2021-08-07,23.91
