time,DEB3A
2021-08-12,16.560831
2021-08-13,17.6525
2021-08-14,15.849166
2021-08-15,15.983333
2021-08-16,14.548335
2021-08-17,12.762501
2021-08-18,14.755833
2021-08-19,15.321667
2021-08-20,14.866666
2021-08-21,13.754166
2021-08-22,14.107499
2021-08-23,15.458333
2021-08-24,14.376667
2021-08-25,16.764997
2021-08-26,12.590833
2021-08-27,14.673333
2021-08-28,13.739166
2021-08-29,15.990833
2021-08-30,16.1725
2021-08-31,15.698331
2021-09-01,14.626667
2021-09-02,14.4875
2021-09-03,15.814167
2021-09-04,12.816667
2021-09-05,11.309166
2021-09-06,11.819167
2021-09-07,13.645
2021-09-08,16.374166
2021-09-09,17.363333
2021-09-10,17.158333
2021-09-11,16.894999
2021-09-12,16.614166
2021-09-13,14.733334
2021-09-14,12.864166
2021-09-15,14.531667
2021-09-16,12.730834
2021-09-17,11.899999
2021-09-18,11.415
2021-09-19,9.359167
2021-09-20,9.221666
2021-09-21,8.7925005
2021-09-22,11.737499
2021-09-23,11.980834
2021-09-24,12.2283325
2021-09-25,12.533333
2021-09-26,11.090833
2021-09-27,14.6025
2021-09-28,12.915
2021-09-29,11.979165
2021-09-30,10.681666
2021-10-01,11.193334
2021-10-02,11.426666
2021-10-03,13.989166
2021-10-04,12.5025
2021-10-05,10.734166
2021-10-06,11.568333
2021-10-07,10.144166
2021-10-08,8.858334
2021-10-09,8.632501
2021-10-10,7.2749996
2021-10-11,10.081666
2021-10-12,5.8233333
2021-10-13,5.498333
2021-10-14,10.08
2021-10-15,9.45
2021-10-16,9.028333
2021-10-17,7.441667
2021-10-18,4.0375
2021-10-19,9.251666
2021-10-20,12.900832
2021-10-21,9.209167
2021-10-22,7.005833
2021-10-23,5.4991665
2021-10-24,7.549999
2021-10-25,6.664166
2021-10-26,9.391666
2021-10-27,11.745
2021-10-28,11.087499
2021-10-29,9.065833
2021-10-30,9.0975
2021-10-31,9.925834
2021-11-01,10.0525
2021-11-02,8.254167
2021-11-03,6.1275
2021-11-04,5.090833
2021-11-05,7.0983334
2021-11-06,9.581666
2021-11-07,8.165833
2021-11-08,2.5008333
2021-11-09,5.959167
2021-11-10,9.271667
2021-11-11,7.354166
2021-11-12,5.4708333
2021-11-13,6.845833
2021-11-14,6.11
2021-11-15,5.299166
2021-11-16,4.785833
2021-11-17,5.6458335
2021-11-18,8.3575
2021-11-19,10.460834
2021-11-20,8.910833
2021-11-21,2.9366665
2021-11-22,1.3891665
2021-11-23,3.33
2021-11-24,7.004167
2021-11-25,5.044166
2021-11-26,-0.124166645
2021-11-27,1.2191666
2021-11-28,1.0241666
2021-11-29,-3.3774998
2021-11-30,-4.045833
2021-12-01,-4.3125
2021-12-02,-4.5066667
2021-12-03,-6.3525004
2021-12-04,-1.6350001
2021-12-05,-3.4824994
2021-12-06,-6.560833
2021-12-07,-3.8108332
2021-12-08,-0.87833333
2021-12-09,0.21333332
2021-12-10,-0.34249997
2021-12-11,0.15999998
2021-12-12,-0.8141667
2021-12-13,2.4325
2021-12-14,3.9766667
2021-12-15,6.0333333
2021-12-16,5.08
2021-12-17,1.4566666
2021-12-18,2.7258332
2021-12-19,2.3608332
2021-12-20,-1.1466666
2021-12-21,-4.863333
2021-12-22,-1.9291667
2021-12-23,0.50416666
2021-12-24,-5.554167
2021-12-25,-7.0016665
2021-12-26,-7.130833
2021-12-27,-4.7366667
2021-12-28,-0.795
2021-12-29,0.32166666
2021-12-30,4.023333
2021-12-31,6.1566663
