time,FRH01
2021-01-01,-1.4177778
2021-01-02,-0.2611111
2021-01-03,0.9777778
2021-01-04,1.0522221
2021-01-05,1.6233333
2021-01-06,1.1766666
2021-01-07,0.11999999
2021-01-08,0.25666666
2021-01-09,-0.07
2021-01-10,0.56111115
2021-01-11,-0.5766666
2021-01-12,0.43111107
2021-01-13,0.2633333
2021-01-14,-0.2777778
2021-01-15,-1.74
2021-01-16,-3.483333
2021-01-17,-8.272222
2021-01-18,-9.753332
2021-01-19,-1.7344444
2021-01-20,3.9244444
2021-01-21,5.5644436
2021-01-22,6.9055552
2021-01-23,4.272222
2021-01-24,1.5911111
2021-01-25,0.68777776
2021-01-26,0.66333324
2021-01-27,0.6011111
2021-01-28,0.23333332
2021-01-29,-1.6177778
2021-01-30,-1.6788888
2021-01-31,-4.4622216
2021-02-01,-6.421111
2021-02-02,-1.0
2021-02-03,3.2688887
2021-02-04,2.7555552
2021-02-05,-1.8933332
2021-02-06,-2.9677782
2021-02-07,-6.7488885
2021-02-08,-9.35
2021-02-09,-8.575555
2021-02-10,-8.598889
2021-02-11,-8.299999
2021-02-12,-8.185555
2021-02-13,-3.8855553
2021-02-14,-3.6555552
2021-02-15,-5.607778
2021-02-16,-3.0444443
2021-02-17,1.5088888
2021-02-18,2.6111112
2021-02-19,2.9155555
2021-02-20,3.2533333
2021-02-21,5.112222
2021-02-22,4.315555
2021-02-23,5.6144447
2021-02-24,9.762221
2021-02-25,10.006666
2021-02-26,7.8022223
2021-02-27,5.216666
2021-02-28,4.3055553
2021-03-01,4.3366666
2021-03-02,4.9477777
2021-03-03,5.602222
2021-03-04,4.9644446
2021-03-05,1.0466666
2021-03-06,0.6311111
2021-03-07,2.501111
2021-03-08,1.1266665
2021-03-09,-1.0366666
2021-03-10,0.22333333
2021-03-11,1.9944444
2021-03-12,6.8500004
2021-03-13,6.4133334
2021-03-14,5.542222
2021-03-15,4.722222
2021-03-16,3.8922222
2021-03-17,3.6111112
2021-03-18,1.75
2021-03-19,0.5877778
2021-03-20,-1.3477778
2021-03-21,2.4444444
