time,NL124
2021-01-01,13.404445
2021-01-02,10.3544445
2021-01-03,12.078889
2021-01-04,12.212222
2021-01-05,12.086666
2021-01-06,12.328889
2021-01-07,12.297777
2021-01-08,8.869999
2021-01-09,5.1655555
2021-01-10,5.0477777
2021-01-11,5.1488886
2021-01-12,5.6111116
2021-01-13,5.0077777
2021-01-14,1.2388889
2021-01-15,2.2077777
2021-01-16,2.3744442
2021-01-17,1.0255555
2021-01-18,1.8777777
2021-01-19,2.5366664
2021-01-20,0.6311111
2021-01-21,3.2966666
2021-01-22,7.691111
2021-01-23,8.838889
2021-01-24,12.655556
2021-01-25,11.3088875
2021-01-26,6.1688886
2021-01-27,4.7833333
2021-01-28,5.058889
2021-01-29,5.15
2021-01-30,9.172221
2021-01-31,9.763333
2021-02-01,8.762222
2021-02-02,8.407778
2021-02-03,10.278889
2021-02-04,10.261111
2021-02-05,11.2677765
2021-02-06,11.552222
2021-02-07,9.632222
2021-02-08,12.14
2021-02-09,13.81889
2021-02-10,13.216666
2021-02-11,14.281111
2021-02-12,5.7777777
2021-02-13,2.1
2021-02-14,-1.21875
2021-02-15,0.6766666
2021-02-16,-0.2
2021-02-17,-0.18555555
2021-02-18,5.731111
2021-02-19,4.0633335
2021-02-20,3.4799998
2021-02-21,4.9177775
2021-02-22,4.274444
2021-02-23,7.0055556
2021-02-24,6.4055557
2021-02-25,7.5344443
2021-02-26,11.437778
2021-02-27,10.487777
2021-02-28,9.766666
2021-03-01,5.3088894
2021-03-02,7.1466665
2021-03-03,7.5277777
2021-03-04,9.82111
2021-03-05,11.131111
2021-03-06,9.3555565
2021-03-07,4.6288886
2021-03-08,8.102222
2021-03-09,7.7744436
2021-03-10,6.6655555
2021-03-11,6.5322223
2021-03-12,4.9088883
2021-03-13,7.8399997
2021-03-14,9.403334
2021-03-15,10.949999
2021-03-16,9.964443
2021-03-17,7.256666
2021-03-18,7.852857
2021-03-19,7.8277774
2021-03-20,5.602222
2021-03-21,8.834445
2021-03-22,7.54
2021-03-23,5.6233335
2021-03-24,3.288889
2021-03-25,4.411111
2021-03-26,6.75
2021-03-27,7.292222
2021-03-28,10.514444
2021-03-29,9.698889
2021-03-30,7.1766663
2021-03-31,7.301111
2021-04-01,9.115555
2021-04-02,11.255556
2021-04-03,11.933332
2021-04-04,10.341111
2021-04-05,8.411111
2021-04-06,12.956667
2021-04-07,11.068889
2021-04-08,6.774444
2021-04-09,7.155555
2021-04-10,7.6433325
2021-04-11,9.222222
2021-04-12,11.304445
2021-04-13,15.782222
2021-04-14,10.451111
2021-04-15,9.552222
2021-04-16,9.723332
2021-04-17,9.665556
2021-04-18,11.835555
2021-04-19,12.386667
2021-04-20,12.701111
2021-04-21,12.578889
2021-04-22,12.184444
2021-04-23,15.024445
2021-04-24,12.849999
2021-04-25,12.609999
2021-04-26,15.703334
2021-04-27,18.37111
2021-04-28,14.952223
2021-04-29,15.178889
2021-04-30,17.594444
2021-05-01,20.132223
2021-05-02,22.285553
2021-05-03,20.735556
2021-05-04,16.356667
2021-05-05,16.923332
2021-05-06,17.318888
2021-05-07,18.792221
2021-05-08,17.848886
2021-05-09,14.907778
2021-05-10,13.794445
2021-05-11,16.617777
2021-05-12,15.009999
2021-05-13,14.684444
2021-05-14,15.302222
2021-05-15,15.701111
2021-05-16,15.255556
2021-05-17,17.27111
2021-05-18,16.602222
2021-05-19,17.414446
2021-05-20,16.066668
2021-05-21,15.795554
2021-05-22,17.065556
2021-05-23,21.55
2021-05-24,22.324444
2021-05-25,22.46778
2021-05-26,20.556665
2021-05-27,19.801428
2021-05-28,17.677778
2021-05-29,18.976665
2021-05-30,18.046665
2021-05-31,15.733333
2021-06-01,14.208889
2021-06-02,15.638889
2021-06-03,16.255556
2021-06-04,17.91
2021-06-05,17.961111
2021-06-06,18.883333
2021-06-07,19.393332
2021-06-08,20.003334
2021-06-09,20.357777
2021-06-10,20.64
2021-06-11,20.896667
2021-06-12,19.981112
2021-06-13,19.506664
2021-06-14,16.945555
2021-06-15,19.207777
2021-06-16,20.363333
2021-06-17,19.846666
2021-06-18,20.248886
2021-06-19,20.324446
2021-06-20,20.963333
2021-06-21,21.681108
2021-06-22,23.008888
2021-06-23,23.733332
2021-06-24,24.534445
2021-06-25,26.344444
2021-06-26,26.22
2021-06-27,25.682222
2021-06-28,25.193333
2021-06-29,26.315556
2021-06-30,27.317778
2021-07-01,26.841108
2021-07-02,23.588888
2021-07-03,22.00222
2021-07-04,21.39222
2021-07-05,22.864445
2021-07-06,23.934443
2021-07-07,22.71111
2021-07-08,23.15
2021-07-09,24.695557
2021-07-10,26.622221
2021-07-11,26.076668
2021-07-12,23.241112
2021-07-13,25.166666
2021-07-14,26.788887
2021-07-15,27.844444
2021-07-16,26.782223
2021-07-17,24.606667
2021-07-18,25.473335
2021-07-19,25.050001
2021-07-20,24.972221
2021-07-21,23.092224
2021-07-22,23.793331
2021-07-23,23.317776
2021-07-24,22.525555
2021-07-25,24.543331
2021-07-26,25.274445
2021-07-27,28.783333
2021-07-28,29.01222
2021-07-29,29.31111
2021-07-30,27.2
2021-07-31,28.148888
2021-08-01,28.414444
2021-08-02,31.154446
2021-08-03,27.53111
2021-08-04,27.73222
2021-08-05,29.998888
2021-08-06,27.09222
2021-08-07,23.495554
2021-08-08,24.963335
2021-08-09,27.435555
2021-08-10,28.688887
2021-08-11,27.913334
2021-08-12,27.653334
2021-08-13,25.50111
2021-08-14,25.105555
2021-08-15,24.334444
2021-08-16,25.21778
2021-08-17,28.125555
2021-08-18,24.266666
2021-08-19,22.532223
2021-08-20,21.643333
2021-08-21,23.786665
2021-08-22,23.071112
2021-08-23,24.372221
2021-08-24,25.861109
2021-08-25,26.315554
2021-08-26,23.970001
2021-08-27,24.023333
2021-08-28,23.198889
2021-08-29,22.884443
2021-08-30,22.14222
2021-08-31,20.608889
2021-09-01,20.615713
2021-09-02,21.442223
2021-09-03,19.798887
2021-09-04,21.235558
2021-09-05,23.286665
2021-09-06,22.003332
2021-09-07,20.864443
2021-09-08,19.650002
2021-09-09,20.317778
2021-09-10,21.015556
2021-09-11,21.225555
2021-09-12,20.77889
2021-09-13,20.26
2021-09-14,21.060001
2021-09-15,22.624443
2021-09-16,22.141111
2021-09-17,24.711111
2021-09-18,23.708887
2021-09-19,22.957777
2021-09-20,22.122223
2021-09-21,18.527777
2021-09-22,14.644444
2021-09-23,14.984443
2021-09-24,14.298889
2021-09-25,18.539999
2021-09-26,20.52111
2021-09-27,21.164442
2021-09-28,19.574444
2021-09-29,18.19222
2021-09-30,17.953333
2021-10-01,17.787777
2021-10-02,16.303331
2021-10-03,14.382222
2021-10-04,15.867778
2021-10-05,14.926666
2021-10-06,14.754444
2021-10-07,16.507778
2021-10-08,15.954444
2021-10-09,15.045556
2021-10-10,16.16111
2021-10-11,13.555555
2021-10-12,14.085555
2021-10-13,14.52
2021-10-14,11.794444
2021-10-15,12.402222
2021-10-16,13.52
2021-10-17,15.276666
2021-10-18,14.908888
2021-10-19,13.681111
2021-10-20,14.11
2021-10-21,13.560001
2021-10-22,16.88111
2021-10-23,17.12
2021-10-24,15.278889
2021-10-25,11.129999
2021-10-26,13.272222
2021-10-27,12.041111
2021-10-28,13.487778
2021-10-29,14.933332
2021-10-30,15.411111
2021-10-31,14.096666
2021-11-01,14.73
2021-11-02,16.199999
2021-11-03,14.767778
2021-11-04,18.375555
2021-11-05,21.145555
2021-11-06,18.63
2021-11-07,16.811111
2021-11-08,16.284445
2021-11-09,14.898887
2021-11-10,9.0633335
2021-11-11,10.481112
2021-11-12,9.813334
2021-11-13,13.092221
2021-11-14,15.246667
2021-11-15,11.758889
2021-11-16,13.466666
2021-11-17,10.9377775
2021-11-18,9.214444
2021-11-19,9.232222
2021-11-20,11.806667
2021-11-21,10.49
2021-11-22,12.105556
2021-11-23,10.885555
2021-11-24,9.639999
2021-11-25,10.1444435
2021-11-26,9.657778
2021-11-27,13.963333
2021-11-28,14.71111
2021-11-29,13.041111
2021-11-30,7.441111
2021-12-01,6.801111
2021-12-02,8.424444
2021-12-03,11.219999
2021-12-04,9.862222
2021-12-05,9.345555
2021-12-06,8.443333
2021-12-07,10.167778
2021-12-08,10.388889
2021-12-09,9.562222
2021-12-10,11.861111
2021-12-11,11.017777
2021-12-12,12.538889
2021-12-13,9.332221
2021-12-14,7.994444
2021-12-15,5.2555556
2021-12-16,2.821111
2021-12-17,5.474444
2021-12-18,2.7422223
2021-12-19,1.8866667
2021-12-20,3.278889
2021-12-21,4.4666667
2021-12-22,1.3688887
2021-12-23,1.73
2021-12-24,6.0566664
2021-12-25,11.294445
2021-12-26,12.704444
2021-12-27,10.588888
2021-12-28,7.2544446
2021-12-29,7.74
2021-12-30,7.403333
2021-12-31,4.898889
