time,ITH42
2021-01-01,2.3660002
2021-01-02,0.7228
2021-01-03,1.6703999
2021-01-04,0.4028
2021-01-05,1.7804
2021-01-06,-0.06519999
2021-01-07,0.2324
2021-01-08,0.0692
2021-01-09,0.78160006
2021-01-10,1.2863998
2021-01-11,3.3496003
2021-01-12,0.1024
2021-01-13,0.6368
2021-01-14,4.0347996
2021-01-15,3.952
2021-01-16,4.9528
2021-01-17,4.5375996
2021-01-18,2.8691998
2021-01-19,1.7279999
2021-01-20,-0.14
2021-01-21,1.7256
2021-01-22,1.3923999
2021-01-23,-1.4684
2021-01-24,-1.4252
2021-01-25,1.5151999
2021-01-26,0.1996
2021-01-27,2.1759999
2021-01-28,2.0416
2021-01-29,2.5619998
2021-01-30,1.0076
2021-01-31,-1.0328
2021-02-01,0.0316
2021-02-02,0.036000002
2021-02-03,3.2664
2021-02-04,2.1952
2021-02-05,1.7859999
2021-02-06,1.75
2021-02-07,0.6872
2021-02-08,-0.31559998
2021-02-09,-2.5448
2021-02-10,-1.2744
2021-02-11,-2.4996
2021-02-12,-0.07479999
2021-02-13,1.4323999
2021-02-14,3.0972
2021-02-15,6.6
2021-02-16,7.5131993
2021-02-17,4.4884005
2021-02-18,4.9884
2021-02-19,5.5580006
2021-02-20,7.0356
2021-02-21,6.616
2021-02-22,5.5043993
2021-02-23,5.6024
2021-02-24,7.6335998
2021-02-25,5.8859997
2021-02-26,5.5848
2021-02-27,7.7032
2021-02-28,5.3432
2021-03-01,5.7043996
2021-03-02,2.0556
2021-03-03,2.0488
2021-03-04,2.3736
2021-03-05,1.6923999
2021-03-06,2.1179998
2021-03-07,5.1636
2021-03-08,6.7292
2021-03-09,6.6624
2021-03-10,5.666
2021-03-11,5.3156
2021-03-12,3.4572
2021-03-13,2.154
2021-03-14,4.4536
2021-03-15,4.8139997
2021-03-16,7.1847997
2021-03-17,7.2348
2021-03-18,8.2024
2021-03-19,7.6312
2021-03-20,7.166
2021-03-21,6.8971996
2021-03-22,7.1716
2021-03-23,8.0152
2021-03-24,5.6443996
2021-03-25,6.924401
2021-03-26,4.8543997
2021-03-27,2.4203997
2021-03-28,6.1868
2021-03-29,9.934
2021-03-30,10.880401
2021-03-31,5.8051996
2021-04-01,3.8895998
2021-04-02,4.2107997
2021-04-03,5.604
2021-04-04,5.8584
2021-04-05,-0.5344
2021-04-06,0.044000007
2021-04-07,0.83
2021-04-08,4.8788
2021-04-09,1.7928
2021-04-10,0.7316
2021-04-11,-0.28039998
2021-04-12,1.4023999
2021-04-13,2.1456
2021-04-14,4.3396
2021-04-15,5.338
2021-04-16,6.2084
2021-04-17,6.6084
2021-04-18,6.8608
2021-04-19,8.872
2021-04-20,7.6224
2021-04-21,4.3580003
2021-04-22,4.1344
2021-04-23,6.7395997
2021-04-24,6.863199
2021-04-25,5.726
2021-04-26,6.8152003
2021-04-27,6.436
2021-04-28,5.2612
2021-04-29,3.9244
2021-04-30,3.67
2021-05-01,4.2212
2021-05-02,4.3148003
2021-05-03,3.9248
2021-05-04,5.1983995
2021-05-05,3.9552
2021-05-06,4.22
2021-05-07,5.1276
2021-05-08,4.5759997
2021-05-09,6.5540004
2021-05-10,8.8724
2021-05-11,7.9224
2021-05-12,6.2824
2021-05-13,7.2692
2021-05-14,7.0371995
2021-05-15,6.8376
2021-05-16,7.1359997
2021-05-17,8.4096
2021-05-18,8.3736
2021-05-19,7.2492
2021-05-20,7.8036
2021-05-21,7.4240003
2021-05-22,5.0207996
2021-05-23,5.6604
2021-05-24,7.5776
2021-05-25,7.6548
2021-05-26,8.106
2021-05-27,9.3792
2021-05-28,9.4024
2021-05-29,11.8932
2021-05-30,11.603201
2021-05-31,13.1944
2021-06-01,13.1424
2021-06-02,11.7624
2021-06-03,13.4236
2021-06-04,12.7872
2021-06-05,12.926399
2021-06-06,11.715599
2021-06-07,11.999199
2021-06-08,14.0724
2021-06-09,14.8504
2021-06-10,16.0292
2021-06-11,14.2308
2021-06-12,12.1768
2021-06-13,15.151999
2021-06-14,12.1076
2021-06-15,9.9068
2021-06-16,13.4396
2021-06-17,11.585599
2021-06-18,9.183599
2021-06-19,11.3787985
2021-06-20,11.5716
2021-06-21,9.0004
2021-06-22,8.6528
2021-06-23,13.5928
2021-06-24,13.5404
2021-06-25,9.9223995
2021-06-26,10.7988
2021-06-27,12.1976
2021-06-28,13.003601
2021-06-29,11.55
2021-06-30,11.4104
2021-07-01,10.584399
2021-07-02,11.9223995
2021-07-03,14.4132
2021-07-04,14.632
2021-07-05,13.3576
2021-07-06,12.576399
2021-07-07,12.8572
2021-07-08,13.366799
2021-07-09,12.9524
2021-07-10,13.398399
2021-07-11,14.646
2021-07-12,13.819599
2021-07-13,12.9632
2021-07-14,14.455999
2021-07-15,14.8192
2021-07-16,17.309599
2021-07-17,16.976398
2021-07-18,14.470799
2021-07-19,14.547999
2021-07-20,15.151999
2021-07-21,15.0859995
2021-07-22,15.686799
2021-07-23,14.5112
2021-07-24,14.2736
2021-07-25,14.028001
2021-07-26,14.405601
2021-07-27,14.19
2021-07-28,13.331199
2021-07-29,12.923999
2021-07-30,14.0784
2021-07-31,11.2004
2021-08-01,11.101601
2021-08-02,10.112801
2021-08-03,11.952
2021-08-04,13.8284
2021-08-05,14.738399
2021-08-06,14.0336
2021-08-07,14.233599
2021-08-08,13.710401
2021-08-09,13.505199
2021-08-10,14.0784
2021-08-11,14.0452
2021-08-12,12.0859995
2021-08-13,14.6296
2021-08-14,13.9112
2021-08-15,12.850799
2021-08-16,11.946799
2021-08-17,13.919999
2021-08-18,13.3552
2021-08-19,12.124399
2021-08-20,12.9148
2021-08-21,14.8668
2021-08-22,15.3776
2021-08-23,14.493599
2021-08-24,14.598398
2021-08-25,13.0176
2021-08-26,12.4716
2021-08-27,12.0984
2021-08-28,11.098401
2021-08-29,12.0428
2021-08-30,11.9939995
2021-08-31,12.3436
2021-09-01,11.8148
2021-09-02,11.390399
2021-09-03,11.492
2021-09-04,11.7788
2021-09-05,13.542799
2021-09-06,15.541599
2021-09-07,16.8
2021-09-08,16.549599
2021-09-09,13.452001
2021-09-10,13.8024
2021-09-11,13.851999
2021-09-12,10.8952
2021-09-13,11.6108
2021-09-14,12.4735985
2021-09-15,13.681999
2021-09-16,12.2
2021-09-17,14.369199
2021-09-18,10.6024
2021-09-19,12.3076
2021-09-20,10.268799
2021-09-21,13.0252
2021-09-22,13.9424
2021-09-23,11.533999
2021-09-24,12.8552
2021-09-25,13.4712
2021-09-26,15.358401
2021-09-27,9.41
2021-09-28,8.8492
2021-09-29,7.8939996
2021-09-30,8.4872
2021-10-01,8.5124
2021-10-02,8.7344
2021-10-03,7.4424
2021-10-04,8.773199
2021-10-05,6.5631995
2021-10-06,8.648
2021-10-07,12.5076
2021-10-08,14.7436
2021-10-09,14.2296
2021-10-10,9.3212
2021-10-11,8.9836
2021-10-12,8.15
2021-10-13,10.3664
2021-10-14,11.6284
2021-10-15,6.0564003
2021-10-16,6.5144
2021-10-17,9.1252
2021-10-18,12.1048
2021-10-19,12.912
2021-10-20,9.9292
2021-10-21,4.6728
2021-10-22,6.6940002
2021-10-23,7.1092005
2021-10-24,12.5976
2021-10-25,8.309199
2021-10-26,8.976
2021-10-27,11.9307995
2021-10-28,10.2448
2021-10-29,7.5844
2021-10-30,7.8452
2021-10-31,5.7595997
2021-11-01,6.7271996
2021-11-02,6.624
2021-11-03,5.6664
2021-11-04,5.7471995
2021-11-05,7.9224
2021-11-06,9.7924
2021-11-07,7.1792006
2021-11-08,7.8779993
2021-11-09,9.8208
2021-11-10,5.5976
2021-11-11,6.0836
2021-11-12,8.138
2021-11-13,8.4279995
2021-11-14,9.641999
2021-11-15,8.4916
2021-11-16,8.776
2021-11-17,5.0972
2021-11-18,10.1424
2021-11-19,12.343999
2021-11-20,9.567999
2021-11-21,4.898
2021-11-22,4.7204
2021-11-23,6.2783995
2021-11-24,5.3732
2021-11-25,3.5283997
2021-11-26,3.7452
2021-11-27,2.5047998
2021-11-28,1.5675999
2021-11-29,3.8988001
2021-11-30,5.6983995
2021-12-01,3.6576002
2021-12-02,1.5455999
2021-12-03,3.6059997
2021-12-04,2.914
2021-12-05,3.4703999
2021-12-06,2.1475997
2021-12-07,2.5372
2021-12-08,3.6896
2021-12-09,2.5888
2021-12-10,1.6016
2021-12-11,4.3864
2021-12-12,5.9016004
2021-12-13,5.0976
2021-12-14,6.6576
2021-12-15,9.1292
2021-12-16,7.1428
2021-12-17,5.7183995
2021-12-18,2.2796
2021-12-19,3.054
2021-12-20,4.0724
2021-12-21,2.7991998
2021-12-22,1.6367999
2021-12-23,4.206
2021-12-24,4.0624
2021-12-25,1.0912
2021-12-26,2.5444
2021-12-27,4.6415997
2021-12-28,0.9236
2021-12-29,2.3416
2021-12-30,7.863199
2021-12-31,7.5815997
