time,AT224
2021-01-01,10.5425
2021-01-02,11.767499
2021-01-03,11.4075
2021-01-04,9.59
2021-01-05,9.4225
2021-01-06,12.355
2021-01-07,11.214999
2021-01-08,12.4975
2021-01-09,10.08
2021-01-10,10.4175
2021-01-11,11.0125
2021-01-12,10.702499
2021-01-13,8.7975
2021-01-14,6.6624994
2021-01-15,6.965
2021-01-16,5.9049997
2021-01-17,3.4425
2021-01-18,5.1349998
2021-01-19,5.4125
2021-01-20,9.0125
2021-01-21,15.235
2021-01-22,15.719999
2021-01-23,12.99
2021-01-24,12.17
2021-01-25,9.11
2021-01-26,6.7974997
2021-01-27,5.7200003
2021-01-28,9.26
2021-01-29,11.559999
2021-01-30,14.235
2021-01-31,13.459999
2021-02-01,11.747499
2021-02-02,13.884999
2021-02-03,15.0525
2021-02-04,13.455
2021-02-05,15.625
2021-02-06,15.647499
2021-02-07,15.984999
2021-02-08,12.8425
2021-02-09,12.3475
2021-02-10,12.822499
2021-02-11,14.5425
2021-02-12,6.8275003
2021-02-13,5.7850003
2021-02-14,3.03
2021-02-15,3.73
2021-02-16,3.4624999
2021-02-17,5.835
2021-02-18,8.9
2021-02-19,9.777499
2021-02-20,11.5525
2021-02-21,12.219999
2021-02-22,13.992499
2021-02-23,11.134999
2021-02-24,13.945
2021-02-25,13.665
2021-02-26,12.615
2021-02-27,10.795
2021-02-28,11.1125
2021-03-01,11.754999
2021-03-02,12.83
2021-03-03,14.285
2021-03-04,11.43
2021-03-05,10.2275
2021-03-06,9.3949995
2021-03-07,8.365
2021-03-08,10.74
2021-03-09,10.8525
2021-03-10,10.8575
2021-03-11,9.695001
2021-03-12,12.2575
2021-03-13,15.094999
2021-03-14,13.365
2021-03-15,10.09
2021-03-16,9.474999
2021-03-17,8.65
2021-03-18,8.32
2021-03-19,8.1925
2021-03-20,9.0824995
2021-03-21,9.3324995
2021-03-22,8.3225
2021-03-23,8.009999
2021-03-24,8.8625
2021-03-25,9.7525
2021-03-26,10.5425005
2021-03-27,12.455
2021-03-28,14.432499
2021-03-29,13.6325
2021-03-30,14.4275
2021-03-31,15.887499
2021-04-01,17.9
2021-04-02,14.432499
2021-04-03,15.43
2021-04-04,12.505
2021-04-05,10.53
2021-04-06,10.8575
2021-04-07,8.99
2021-04-08,8.7675
2021-04-09,10.2375
2021-04-10,11.025001
2021-04-11,13.815
2021-04-12,15.279999
2021-04-13,13.22
2021-04-14,9.405
2021-04-15,11.579999
2021-04-16,13.3025
2021-04-17,11.2725
2021-04-18,12.2225
2021-04-19,10.58
2021-04-20,12.077499
2021-04-21,14.405001
2021-04-22,13.547501
2021-04-23,15.067499
2021-04-24,14.9225
2021-04-25,14.6275
2021-04-26,15.91
2021-04-27,18.15
2021-04-28,17.435001
2021-04-29,19.7
2021-04-30,20.689999
2021-05-01,20.630001
2021-05-02,20.489998
2021-05-03,16.127499
2021-05-04,16.485
2021-05-05,17.3875
2021-05-06,18.055
2021-05-07,18.025
2021-05-08,16.5675
2021-05-09,17.915
2021-05-10,18.215
2021-05-11,19.884998
2021-05-12,18.84
2021-05-13,16.1525
2021-05-14,16.9
2021-05-15,16.1075
2021-05-16,17.9775
2021-05-17,18.715
2021-05-18,17.9175
2021-05-19,17.0325
2021-05-20,15.39
2021-05-21,16.627499
2021-05-22,17.9925
2021-05-23,21.439999
2021-05-24,23.807499
2021-05-25,23.064999
2021-05-26,20.3425
2021-05-27,18.9375
2021-05-28,17.109999
2021-05-29,18.289999
2021-05-30,17.494999
2021-05-31,17.502499
2021-06-01,16.9025
2021-06-02,18.94
2021-06-03,19.982498
2021-06-04,19.6125
2021-06-05,21.0125
2021-06-06,22.3375
2021-06-07,20.9725
2021-06-08,22.009998
2021-06-09,21.6175
2021-06-10,22.0275
2021-06-11,22.56
2021-06-12,22.11
2021-06-13,20.2575
2021-06-14,19.9625
2021-06-15,21.42
2021-06-16,21.385
2021-06-17,22.81
2021-06-18,23.437498
2021-06-19,24.762499
2021-06-20,25.227499
2021-06-21,27.775
2021-06-22,28.529999
2021-06-23,28.9025
2021-06-24,30.2325
2021-06-25,28.6725
2021-06-26,27.087502
2021-06-27,27.274998
2021-06-28,27.982498
2021-06-29,29.3825
2021-06-30,28.859999
2021-07-01,26.585
2021-07-02,24.947498
2021-07-03,24.9675
2021-07-04,25.3975
2021-07-05,23.9625
2021-07-06,25.187498
2021-07-07,27.0825
2021-07-08,28.7625
2021-07-09,28.7925
2021-07-10,26.5775
2021-07-11,25.805
2021-07-12,26.307499
2021-07-13,27.6575
2021-07-14,28.752499
2021-07-15,27.527498
2021-07-16,24.574999
2021-07-17,21.875
2021-07-18,22.127499
2021-07-19,23.275
2021-07-20,23.83
2021-07-21,24.287498
2021-07-22,24.727499
2021-07-23,25.55
2021-07-24,26.1475
2021-07-25,29.027498
2021-07-26,30.807499
2021-07-27,30.47
2021-07-28,30.529999
2021-07-29,29.619999
