time,SE321
2021-01-01,0.10999999
2021-01-02,3.4066668
2021-01-03,2.6599998
2021-01-04,3.2933333
2021-01-05,2.7699997
2021-01-06,3.64
2021-01-07,0.53
2021-01-08,0.5333333
2021-01-09,0.53999996
2021-01-10,-0.120000005
2021-01-11,4.64
2021-01-12,8.086666
2021-01-13,6.03
2021-01-14,9.006667
2021-01-15,2.53
2021-01-16,4.6633334
2021-01-17,6.09
2021-01-18,4.3399997
2021-01-19,8.57
2021-01-20,9.23
2021-01-21,6.22
2021-01-22,4.1166663
2021-01-23,1.7666668
2021-01-24,0.06333333
2021-01-25,2.2766666
2021-01-26,2.3666666
2021-01-27,7.006666
2021-01-28,10.403333
2021-01-29,9.753333
2021-01-30,6.563333
2021-01-31,2.6966667
2021-02-01,3.62
2021-02-02,7.646666
2021-02-03,8.616666
2021-02-04,6.3933334
2021-02-05,7.8999996
2021-02-06,5.0766664
2021-02-07,2.4833333
2021-02-08,-1.2733333
2021-02-09,-1.0033333
2021-02-10,0.4333333
2021-02-11,-1.5866667
2021-02-12,0.123333335
2021-02-13,-1.4200001
2021-02-14,2.05
2021-02-15,7.3233333
2021-02-16,8.123333
2021-02-17,8.7
2021-02-18,8.323334
2021-02-19,6.8833327
2021-02-20,10.73
2021-02-21,10.896667
2021-02-22,8.59
2021-02-23,8.153333
2021-02-24,11.55
2021-02-25,9.79
2021-02-26,6.113333
2021-02-27,5.736666
2021-02-28,5.7766666
2021-03-01,6.7966666
2021-03-02,6.023333
2021-03-03,6.0033336
2021-03-04,6.3266664
2021-03-05,4.623333
2021-03-06,2.8133335
2021-03-07,2.4933333
2021-03-08,3.12
2021-03-09,6.226667
2021-03-10,6.49
2021-03-11,9.333333
2021-03-12,7.19
2021-03-13,7.4799995
2021-03-14,6.886667
2021-03-15,9.686666
2021-03-16,10.086667
2021-03-17,7.613333
2021-03-18,6.786667
2021-03-19,8.716667
2021-03-20,5.75
2021-03-21,9.106667
2021-03-22,6.9366665
2021-03-23,6.58
2021-03-24,7.8233333
2021-03-25,6.9366665
2021-03-26,9.73
2021-03-27,7.1666665
2021-03-28,9.509999
2021-03-29,11.676666
2021-03-30,11.356667
2021-03-31,12.776666
2021-04-01,11.566666
2021-04-02,7.933333
2021-04-03,7.1499996
2021-04-04,6.6966667
2021-04-05,7.066667
2021-04-06,3.5066664
2021-04-07,2.3633335
2021-04-08,6.153333
2021-04-09,7.0066667
2021-04-10,6.5166664
2021-04-11,5.146666
2021-04-12,4.5266666
2021-04-13,4.5533333
2021-04-14,6.476666
2021-04-15,5.056667
2021-04-16,5.02
2021-04-17,6.483333
2021-04-18,5.933333
2021-04-19,7.056667
2021-04-20,8.993333
2021-04-21,9.669999
2021-04-22,7.6499996
2021-04-23,9.036666
2021-04-24,10.036666
2021-04-25,8.606667
2021-04-26,7.7966666
2021-04-27,6.963333
2021-04-28,8.653334
2021-04-29,7.2233334
2021-04-30,7.41
2021-05-01,6.42
2021-05-02,6.763333
2021-05-03,8.11
2021-05-04,10.900001
2021-05-05,7.91
2021-05-06,6.5699997
2021-05-07,7.7966666
2021-05-08,11.57
2021-05-09,14.633334
2021-05-10,12.763333
2021-05-11,10.583333
2021-05-12,12.113334
2021-05-13,11.259999
2021-05-14,10.7300005
2021-05-15,11.03
2021-05-16,10.846665
2021-05-17,12.686666
2021-05-18,11.3
2021-05-19,12.196667
2021-05-20,9.7699995
2021-05-21,11.333333
2021-05-22,11.556666
2021-05-23,8.7699995
2021-05-24,10.443333
2021-05-25,11.099999
2021-05-26,10.926666
2021-05-27,11.743333
2021-05-28,13.223332
2021-05-29,15.763333
2021-05-30,13.990001
2021-05-31,15.266666
2021-06-01,17.186666
2021-06-02,18.286667
2021-06-03,16.779999
2021-06-04,14.226666
2021-06-05,14.419999
2021-06-06,15.256667
2021-06-07,15.206666
2021-06-08,15.303332
2021-06-09,15.863332
2021-06-10,17.18
2021-06-11,17.81
2021-06-12,17.806665
2021-06-13,17.916666
2021-06-14,19.506666
2021-06-15,18.943333
2021-06-16,18.53
2021-06-17,18.913332
2021-06-18,15.61
2021-06-19,13.913333
2021-06-20,15.786666
2021-06-21,13.046666
2021-06-22,14.006665
2021-06-23,13.286667
2021-06-24,14.32
2021-06-25,16.546667
2021-06-26,15.29
2021-06-27,17.443335
2021-06-28,17.423334
2021-06-29,16.67
2021-06-30,15.413333
2021-07-01,16.453333
2021-07-02,17.103333
2021-07-03,17.726665
2021-07-04,17.32
2021-07-05,16.056665
2021-07-06,15.889999
2021-07-07,16.039999
2021-07-08,16.923332
2021-07-09,17.206665
2021-07-10,15.396667
2021-07-11,14.933333
2021-07-12,17.186666
2021-07-13,18.14
2021-07-14,18.996668
2021-07-15,18.183332
2021-07-16,17.449999
2021-07-17,19.583334
2021-07-18,20.65
2021-07-19,22.173332
2021-07-20,21.479998
2021-07-21,21.22
2021-07-22,21.413332
2021-07-23,19.710001
2021-07-24,18.746666
2021-07-25,18.213333
2021-07-26,19.05
2021-07-27,17.613333
2021-07-28,17.986666
2021-07-29,16.446669
2021-07-30,16.806665
2021-07-31,16.843332
2021-08-01,16.646666
2021-08-02,15.366666
2021-08-03,15.196666
2021-08-04,16.283333
2021-08-05,16.366667
2021-08-06,17.953333
2021-08-07,16.246668
2021-08-08,16.539999
2021-08-09,16.703333
2021-08-10,17.376665
2021-08-11,16.61
2021-08-12,18.183332
2021-08-13,17.446667
2021-08-14,18.230001
2021-08-15,18.013334
2021-08-16,16.38
2021-08-17,15.416667
2021-08-18,18.243332
2021-08-19,16.723333
2021-08-20,17.383333
2021-08-21,17.723333
2021-08-22,18.460001
2021-08-23,18.066668
2021-08-24,17.266665
2021-08-25,17.166666
2021-08-26,16.59
2021-08-27,15.506667
2021-08-28,15.473332
2021-08-29,15.256667
2021-08-30,16.003332
2021-08-31,16.586668
2021-09-01,16.453333
2021-09-02,17.036665
2021-09-03,16.956667
2021-09-04,16.993334
2021-09-05,19.143333
2021-09-06,19.776665
2021-09-07,21.056665
2021-09-08,21.303333
2021-09-09,19.183334
2021-09-10,19.08
2021-09-11,18.83
2021-09-12,15.596665
2021-09-13,16.659998
2021-09-14,18.53
2021-09-15,18.026667
2021-09-16,16.093332
2021-09-17,16.83
2021-09-18,17.67
2021-09-19,16.78
2021-09-20,16.203333
2021-09-21,14.773334
2021-09-22,14.679999
2021-09-23,15.583333
2021-09-24,17.166666
2021-09-25,16.42
2021-09-26,17.363335
2021-09-27,16.88
2021-09-28,14.506665
2021-09-29,12.373333
2021-09-30,11.313333
2021-10-01,15.979999
2021-10-02,11.796666
2021-10-03,13.650001
2021-10-04,13.68
2021-10-05,13.463333
2021-10-06,13.529999
2021-10-07,14.143333
2021-10-08,15.240001
2021-10-09,12.733333
2021-10-10,13.626667
2021-10-11,11.3533325
2021-10-12,11.503334
2021-10-13,12.223332
2021-10-14,13.966666
2021-10-15,12.72
2021-10-16,13.083333
2021-10-17,13.170001
2021-10-18,12.853333
2021-10-19,17.56
2021-10-20,16.533333
2021-10-21,10.543334
2021-10-22,9.2
2021-10-23,11.633334
2021-10-24,12.623333
2021-10-25,13.786667
2021-10-26,12.349999
2021-10-27,15.123333
2021-10-28,13.913333
2021-10-29,13.98
2021-10-30,12.636666
2021-10-31,11.82
2021-11-01,11.436666
2021-11-02,8.026667
2021-11-03,6.2866664
2021-11-04,7.5699997
2021-11-05,5.8266664
2021-11-06,9.53
2021-11-07,10.433333
2021-11-08,7.7533326
2021-11-09,12.393333
2021-11-10,12.203332
2021-11-11,11.003333
2021-11-12,11.723332
2021-11-13,11.663333
2021-11-14,11.576667
2021-11-15,10.086666
2021-11-16,7.47
2021-11-17,9.68
2021-11-18,8.653333
2021-11-19,11.136666
2021-11-20,9.996667
2021-11-21,7.963333
2021-11-22,6.5
2021-11-23,5.366667
2021-11-24,4.3033333
2021-11-25,5.1566663
2021-11-26,5.8999996
2021-11-27,3.84
2021-11-28,2.5966666
2021-11-29,1.27
2021-11-30,7.3566666
2021-12-01,9.75
2021-12-02,3.5933332
2021-12-03,5.08
2021-12-04,6.8799996
2021-12-05,5.463333
2021-12-06,5.1
2021-12-07,5.06
2021-12-08,7.2999997
2021-12-09,6.67
2021-12-10,6.4933333
2021-12-11,5.3799996
2021-12-12,10.93
2021-12-13,10.733333
2021-12-14,10.303333
2021-12-15,10.763333
2021-12-16,10.179999
2021-12-17,9.306666
2021-12-18,7.9533334
2021-12-19,5.5833335
2021-12-20,5.306667
2021-12-21,4.9466667
2021-12-22,1.3466667
2021-12-23,6.9233336
2021-12-24,8.650001
2021-12-25,8.086666
2021-12-26,8.896667
2021-12-27,8.723332
2021-12-28,10.646667
2021-12-29,11.113334
2021-12-30,12.73
2021-12-31,12.86
