time,DE21J
2021-08-16,15.943333
2021-08-17,15.536667
2021-08-18,15.88
2021-08-19,16.414999
2021-08-20,15.663333
2021-08-21,14.919999
2021-08-22,15.3933325
2021-08-23,16.765
2021-08-24,14.536666
2021-08-25,14.766665
2021-08-26,13.791665
2021-08-27,14.776668
2021-08-28,15.043332
2021-08-29,15.736667
2021-08-30,15.643333
2021-08-31,15.721665
2021-09-01,16.656668
2021-09-02,16.365
2021-09-03,14.851666
2021-09-04,14.825
2021-09-05,15.161667
2021-09-06,15.995
2021-09-07,15.986667
2021-09-08,16.443335
2021-09-09,18.144999
2021-09-10,18.331665
2021-09-11,18.503334
2021-09-12,18.071665
2021-09-13,15.136666
2021-09-14,14.928333
2021-09-15,15.751667
2021-09-16,16.71
2021-09-17,14.5183325
2021-09-18,14.299999
2021-09-19,12.726666
2021-09-20,11.941666
2021-09-21,11.721667
2021-09-22,13.98
2021-09-23,13.768333
2021-09-24,14.7699995
2021-09-25,15.961665
2021-09-26,16.849998
2021-09-27,17.27
2021-09-28,14.04
2021-09-29,11.209999
2021-09-30,11.203332
2021-10-01,12.691666
2021-10-02,12.871666
2021-10-03,17.221666
2021-10-04,13.260001
2021-10-05,11.424999
2021-10-06,12.23
2021-10-07,10.408333
2021-10-08,11.12
2021-10-09,7.980001
2021-10-10,7.6733327
2021-10-11,10.038333
2021-10-12,8.735
2021-10-13,8.945
2021-10-14,11.474999
2021-10-15,11.211666
2021-10-16,9.25
2021-10-17,9.458334
2021-10-18,10.156667
2021-10-19,11.645
2021-10-20,15.739999
2021-10-21,10.764999
2021-10-22,7.646666
2021-10-23,8.15
2021-10-24,7.8333335
2021-10-25,7.1416664
2021-10-26,10.626666
2021-10-27,13.035
2021-10-28,12.573334
2021-10-29,9.033333
2021-10-30,9.393333
2021-10-31,12.013333
2021-11-01,10.68
2021-11-02,8.391666
2021-11-03,7.205
2021-11-04,8.205001
2021-11-05,9.229999
2021-11-06,9.536667
2021-11-07,8.995
2021-11-08,8.171666
2021-11-09,8.073334
2021-11-10,7.7466664
2021-11-11,9.08
2021-11-12,8.53
2021-11-13,6.09
2021-11-14,7.741667
2021-11-15,6.261667
2021-11-16,5.431666
2021-11-17,5.465
2021-11-18,8.315
2021-11-19,11.829999
2021-11-20,10.906666
2021-11-21,7.7683334
2021-11-22,3.6233332
2021-11-23,7.8116665
2021-11-24,7.4516664
2021-11-25,5.4366665
2021-11-26,3.6483333
2021-11-27,2.2033331
2021-11-28,2.1583333
2021-11-29,1.7283331
2021-11-30,2.8383334
2021-12-01,3.793333
2021-12-02,1.1566666
2021-12-03,1.5233334
2021-12-04,2.9816666
2021-12-05,2.415
2021-12-06,1.4549999
2021-12-07,-0.98166674
2021-12-08,-0.7083333
2021-12-09,-1.6983334
2021-12-10,-1.0916666
2021-12-11,0.7033333
2021-12-12,2.3266666
2021-12-13,6.9516664
2021-12-14,6.5449996
2021-12-15,8.453333
2021-12-16,7.0883336
2021-12-17,5.3483334
2021-12-18,6.041666
2021-12-19,5.7100005
2021-12-20,2.0616667
2021-12-21,-0.475
2021-12-22,-0.90166664
2021-12-23,-1.4383334
2021-12-24,-1.1149999
2021-12-25,-5.5749993
2021-12-26,-6.858333
2021-12-27,-5.388333
2021-12-28,-2.2333333
2021-12-29,0.48166665
2021-12-30,6.0383334
2021-12-31,10.59
