time,FI1D3
2021-01-01,2.135714
2021-01-02,1.9878571
2021-01-03,2.3078573
2021-01-04,3.7099998
2021-01-05,3.3685715
2021-01-06,0.5278572
2021-01-07,1.29
2021-01-08,-2.1671429
2021-01-09,-3.102857
2021-01-10,-3.412857
2021-01-11,-4.012857
2021-01-12,-1.8907144
2021-01-13,-2.2835712
2021-01-14,-3.4378572
2021-01-15,-5.2885714
2021-01-16,-10.8099985
2021-01-17,-10.130714
2021-01-18,-11.610715
2021-01-19,-11.1214285
2021-01-20,-4.3650002
2021-01-21,2.0121427
2021-01-22,3.9192855
2021-01-23,4.222857
2021-01-24,4.2892857
2021-01-25,0.9992857
2021-01-26,-2.445
2021-01-27,-4.487857
2021-01-28,-3.7921429
2021-01-29,-2.947143
2021-01-30,-0.20999996
2021-01-31,-0.45785713
2021-02-01,-0.5742856
2021-02-02,0.49357137
2021-02-03,2.2192855
2021-02-04,5.788571
2021-02-05,3.3964288
2021-02-06,1.9049999
2021-02-07,2.378571
2021-02-08,3.534286
2021-02-09,2.4171429
2021-02-10,3.2442853
2021-02-11,-0.3407143
2021-02-12,-10.338572
2021-02-13,-12.269285
2021-02-14,-8.625715
2021-02-15,-6.3135715
2021-02-16,-7.485715
2021-02-17,-4.6885715
2021-02-18,-2.6200001
2021-02-19,-4.419286
2021-02-20,1.5342858
2021-02-21,1.2407143
2021-02-22,2.8621426
2021-02-23,4.5642858
2021-02-24,4.927857
2021-02-25,7.623572
2021-02-26,7.696428
2021-02-27,4.2699995
2021-02-28,2.5392854
2021-03-01,2.8514287
2021-03-02,3.2928574
2021-03-03,4.46
2021-03-04,4.1528573
2021-03-05,3.6221428
2021-03-06,-1.5492858
2021-03-07,-2.3128572
2021-03-08,-0.96500003
2021-03-09,-2.185
2021-03-10,-2.0064285
2021-03-11,-2.7428572
2021-03-12,0.552143
2021-03-13,2.732857
2021-03-14,4.278571
2021-03-15,2.6835713
2021-03-16,0.11857136
2021-03-17,0.27285713
2021-03-18,0.4657143
2021-03-19,-1.8828572
2021-03-20,-2.61
2021-03-21,-2.2914283
2021-03-22,-1.4314286
2021-03-23,-1.9542856
2021-03-24,-0.47357136
2021-03-25,0.7057142
2021-03-26,2.8928568
2021-03-27,5.558571
2021-03-28,4.2242856
2021-03-29,3.1335716
2021-03-30,6.5342855
2021-03-31,8.804285
2021-04-01,10.142858
2021-04-02,8.231428
2021-04-03,3.5935714
2021-04-04,1.8242857
2021-04-05,2.97
2021-04-06,2.6092858
2021-04-07,-0.31928572
2021-04-08,-0.73357135
2021-04-09,1.5864284
2021-04-10,4.9435716
2021-04-11,7.837143
2021-04-12,12.155715
2021-04-13,9.414287
2021-04-14,4.3785715
2021-04-15,1.4207143
2021-04-16,1.7057143
2021-04-17,4.475
2021-04-18,4.9564285
2021-04-19,6.830714
2021-04-20,7.6742854
2021-04-21,7.712143
2021-04-22,8.1757145
2021-04-23,5.952857
2021-04-24,5.2157145
2021-04-25,6.178571
2021-04-26,4.702857
2021-04-27,4.100714
2021-04-28,6.6278567
2021-04-29,11.1614275
2021-04-30,12.447144
2021-05-01,12.764999
2021-05-02,15.304999
2021-05-03,10.006429
2021-05-04,7.630714
2021-05-05,11.902856
2021-05-06,9.176429
2021-05-07,8.015714
2021-05-08,6.982143
2021-05-09,7.534286
2021-05-10,13.223571
2021-05-11,16.185713
2021-05-12,17.042856
2021-05-13,13.2699995
2021-05-14,11.025001
2021-05-15,12.851428
2021-05-16,12.214999
2021-05-17,12.72643
2021-05-18,10.9092865
2021-05-19,11.702857
2021-05-20,9.687142
2021-05-21,11.394285
2021-05-22,11.937857
2021-05-23,12.930715
2021-05-24,13.242857
2021-05-25,16.214285
2021-05-26,14.253572
2021-05-27,14.002143
2021-05-28,13.615001
2021-05-29,11.379998
2021-05-30,10.29
2021-05-31,9.680715
2021-06-01,8.887143
2021-06-02,9.655
2021-06-03,12.231429
2021-06-04,14.839998
2021-06-05,13.440001
2021-06-06,14.8714285
2021-06-07,14.850715
2021-06-08,15.992857
2021-06-09,16.452856
2021-06-10,15.012143
2021-06-11,15.427858
2021-06-12,15.691427
2021-06-13,13.56357
2021-06-14,12.005714
2021-06-15,14.427856
2021-06-16,16.821428
2021-06-17,18.005
2021-06-18,19.594284
2021-06-19,18.295
2021-06-20,17.717144
2021-06-21,19.090714
2021-06-22,20.981428
2021-06-23,22.766428
2021-06-24,23.119284
2021-06-25,23.957855
2021-06-26,18.905
2021-06-27,18.23643
2021-06-28,18.691427
2021-06-29,20.177145
2021-06-30,21.77857
2021-07-01,18.680714
2021-07-02,15.565
2021-07-03,14.307143
2021-07-04,16.539286
2021-07-05,18.162857
2021-07-06,20.126429
2021-07-07,21.310713
2021-07-08,22.347855
2021-07-09,22.040712
2021-07-10,20.634998
2021-07-11,20.013569
2021-07-12,21.133572
2021-07-13,21.362858
2021-07-14,22.786427
2021-07-15,22.662857
2021-07-16,21.43857
2021-07-17,21.772858
2021-07-18,21.880001
2021-07-19,19.282856
2021-07-20,17.805
2021-07-21,15.050714
2021-07-22,16.250715
2021-07-23,16.220713
2021-07-24,17.758572
2021-07-25,18.110712
2021-07-26,21.145
2021-07-27,23.080715
2021-07-28,23.060715
2021-07-29,21.789999
2021-07-30,20.924284
2021-07-31,21.07643
2021-08-01,20.612856
2021-08-02,19.925
2021-08-03,17.329287
2021-08-04,18.105
2021-08-05,19.050714
2021-08-06,16.395714
2021-08-07,16.769285
2021-08-08,19.142857
2021-08-09,20.40143
2021-08-10,19.627857
2021-08-11,18.805714
2021-08-12,17.772858
2021-08-13,17.384287
2021-08-14,18.549286
2021-08-15,20.738571
2021-08-16,22.043573
2021-08-17,21.087858
2021-08-18,15.310714
2021-08-19,13.388571
2021-08-20,15.513571
2021-08-21,16.463572
2021-08-22,17.589285
2021-08-23,18.48
2021-08-24,17.030714
2021-08-25,14.572858
2021-08-26,13.536428
2021-08-27,11.860715
2021-08-28,12.664999
2021-08-29,12.899999
2021-08-30,13.565001
2021-08-31,12.485715
2021-09-01,13.345714
2021-09-02,12.252856
2021-09-03,11.956429
2021-09-04,12.969285
2021-09-05,12.545714
2021-09-06,10.932143
2021-09-07,11.846429
2021-09-08,13.316429
2021-09-09,13.9021435
2021-09-10,14.696427
2021-09-11,15.324285
2021-09-12,15.558571
2021-09-13,15.948569
2021-09-14,16.334286
2021-09-15,15.905714
2021-09-16,16.660715
2021-09-17,16.179285
2021-09-18,13.116427
2021-09-19,9.719999
2021-09-20,7.3578568
2021-09-21,6.304286
2021-09-22,5.3578568
2021-09-23,6.768571
2021-09-24,9.085714
2021-09-25,10.157858
2021-09-26,14.127856
2021-09-27,13.610715
2021-09-28,12.088572
2021-09-29,10.963571
2021-09-30,9.773572
2021-10-01,10.297856
2021-10-02,9.992857
2021-10-03,10.436427
2021-10-04,11.114286
2021-10-05,12.778571
2021-10-06,9.794999
2021-10-07,8.059286
2021-10-08,5.168571
2021-10-09,3.412143
2021-10-10,6.1721425
2021-10-11,6.3321424
2021-10-12,6.3721423
2021-10-13,4.7164283
2021-10-14,3.9764285
2021-10-15,5.2114286
2021-10-16,7.0299993
2021-10-17,6.7192855
2021-10-18,5.902858
2021-10-19,6.202143
2021-10-20,7.6585703
2021-10-21,9.6449995
2021-10-22,10.503571
2021-10-23,7.7464285
2021-10-24,3.2235713
2021-10-25,3.9650002
2021-10-26,5.392143
2021-10-27,5.0635715
2021-10-28,6.6128573
