time,DEG0F
2021-08-11,16.920527
2021-08-12,16.49
2021-08-13,17.949472
2021-08-14,19.545263
2021-08-15,18.930527
2021-08-16,19.127367
2021-08-17,17.674738
2021-08-18,14.691578
2021-08-19,15.877894
2021-08-20,16.818947
2021-08-21,15.685265
2021-08-22,13.935263
2021-08-23,14.499474
2021-08-24,12.156315
2021-08-25,11.995263
2021-08-26,12.965789
2021-08-27,14.90421
2021-08-28,16.153156
2021-08-29,15.064735
2021-08-30,15.405264
2021-08-31,14.906841
2021-09-01,14.1026325
2021-09-02,11.92842
2021-09-03,12.800526
2021-09-04,9.793683
2021-09-05,8.213158
2021-09-06,10.23
2021-09-07,13.839999
2021-09-08,15.036316
2021-09-09,17.55579
2021-09-10,17.227894
2021-09-11,16.648949
2021-09-12,16.542631
2021-09-13,15.063159
2021-09-14,12.082631
2021-09-15,11.277895
2021-09-16,11.0078945
2021-09-17,11.277894
2021-09-18,8.7736845
2021-09-19,6.9963155
2021-09-20,5.4242105
2021-09-21,6.4573684
2021-09-22,7.3857894
2021-09-23,7.970526
2021-09-24,9.961579
2021-09-25,11.7857895
2021-09-26,11.283157
2021-09-27,9.510526
2021-09-28,9.673683
2021-09-29,10.175262
2021-09-30,9.072632
2021-10-01,9.7578945
2021-10-02,10.462105
2021-10-03,11.487369
2021-10-04,11.764737
2021-10-05,12.594736
2021-10-06,12.280525
2021-10-07,8.921053
2021-10-08,4.9626317
2021-10-09,6.0657897
2021-10-10,7.001053
2021-10-11,5.2110524
2021-10-12,6.178421
2021-10-13,5.355263
2021-10-14,5.5710526
2021-10-15,8.351052
2021-10-16,8.55579
2021-10-17,7.9431577
2021-10-18,6.189473
2021-10-19,5.6163154
2021-10-20,10.408421
2021-10-21,13.091053
2021-10-22,7.9857893
2021-10-23,5.691053
2021-10-24,3.771579
2021-10-25,4.8905263
2021-10-26,5.1089478
2021-10-27,8.497368
2021-10-28,11.663684
2021-10-29,10.242105
2021-10-30,9.087894
2021-10-31,9.132105
2021-11-01,7.3647366
2021-11-02,5.1626315
2021-11-03,7.025264
2021-11-04,6.7289476
2021-11-05,7.8857894
2021-11-06,6.661579
2021-11-07,6.761579
2021-11-08,4.5205264
2021-11-09,0.3015789
2021-11-10,4.107895
2021-11-11,5.8463154
2021-11-12,5.3557897
2021-11-13,2.7978945
2021-11-14,2.511579
2021-11-15,0.2268421
2021-11-16,1.3289474
2021-11-17,1.7694737
2021-11-18,3.8242104
2021-11-19,6.181579
2021-11-20,6.538947
2021-11-21,4.681578
2021-11-22,-0.47578946
2021-11-23,-0.16473684
2021-11-24,3.4278946
2021-11-25,4.1142106
2021-11-26,3.4578946
2021-11-27,1.6757894
2021-11-28,-0.080526315
2021-11-29,0.78894734
2021-11-30,-1.4568421
2021-12-01,-2.2805262
2021-12-02,2.1673684
2021-12-03,-0.5357895
2021-12-04,-1.6310525
2021-12-05,-3.8273685
2021-12-06,-9.76
2021-12-07,-12.936841
2021-12-08,-11.769473
2021-12-09,-10.671053
2021-12-10,-1.748421
2021-12-11,1.7668421
2021-12-12,0.11210527
2021-12-13,-1.9678947
2021-12-14,-2.4373684
2021-12-15,1.1763158
2021-12-16,3.9257894
2021-12-17,2.672105
2021-12-18,1.81
2021-12-19,1.6242105
2021-12-20,-3.6015785
2021-12-21,-8.20579
2021-12-22,-10.722104
2021-12-23,-8.371579
2021-12-24,-3.4263158
2021-12-25,-4.503684
2021-12-26,-5.463684
2021-12-27,-6.1273685
2021-12-28,-8.672105
2021-12-29,-9.489473
2021-12-30,-5.6042104
2021-12-31,1.1052631
