time,FRI21
2021-08-14,22.82111
2021-08-15,21.109999
2021-08-16,22.265556
2021-08-17,16.822224
2021-08-18,16.294443
2021-08-19,18.18111
2021-08-20,18.361109
2021-08-21,17.928888
2021-08-22,19.140001
2021-08-23,17.073334
2021-08-24,15.793333
2021-08-25,14.822222
2021-08-26,15.0211115
2021-08-27,14.043334
2021-08-28,14.442222
2021-08-29,15.078888
2021-08-30,14.610001
2021-08-31,15.637778
2021-09-01,16.131111
2021-09-02,16.441109
2021-09-03,15.975555
2021-09-04,14.994444
2021-09-05,15.034444
2021-09-06,15.065556
2021-09-07,16.687778
2021-09-08,16.983334
2021-09-09,18.39
2021-09-10,19.32
2021-09-11,18.79889
2021-09-12,18.057777
2021-09-13,17.406666
2021-09-14,16.678888
2021-09-15,17.941109
2021-09-16,18.970001
2021-09-17,15.219999
2021-09-18,13.236668
2021-09-19,11.266666
2021-09-20,10.64111
2021-09-21,10.642222
2021-09-22,11.901112
2021-09-23,14.84
2021-09-24,15.313334
2021-09-25,17.174442
2021-09-26,18.147778
2021-09-27,16.93
2021-09-28,15.928889
2021-09-29,13.546667
2021-09-30,11.556667
2021-10-01,10.032223
2021-10-02,13.27889
2021-10-03,14.944445
2021-10-04,15.068889
2021-10-05,17.658888
2021-10-06,14.535555
2021-10-07,12.361111
2021-10-08,9.4788885
2021-10-09,7.885555
2021-10-10,6.1055555
2021-10-11,5.8688884
2021-10-12,8.052222
2021-10-13,6.51
2021-10-14,7.161111
2021-10-15,11.577778
2021-10-16,7.584444
2021-10-17,8.547778
2021-10-18,9.753332
2021-10-19,11.343333
2021-10-20,16.061111
2021-10-21,14.041112
2021-10-22,8.397778
2021-10-23,6.608889
2021-10-24,5.1055555
2021-10-25,6.7477775
2021-10-26,7.246667
2021-10-27,9.776666
2021-10-28,9.397778
2021-10-29,8.781111
2021-10-30,9.971111
2021-10-31,12.075555
2021-11-01,10.745556
2021-11-02,8.666667
2021-11-03,7.542222
2021-11-04,9.296666
2021-11-05,7.542222
2021-11-06,8.023334
2021-11-07,6.198889
2021-11-08,7.3466663
2021-11-09,6.876667
2021-11-10,5.412222
2021-11-11,4.057778
2021-11-12,3.4033332
2021-11-13,5.5933332
2021-11-14,3.9911113
2021-11-15,4.4666667
2021-11-16,5.2422223
2021-11-17,4.441111
2021-11-18,7.102222
