time,DEA13
2021-01-01,10.0720005
2021-01-02,10.809999
2021-01-03,10.388
2021-01-04,7.6119995
2021-01-05,6.6879997
2021-01-06,8.638
2021-01-07,8.115999
2021-01-08,9.526
2021-01-09,9.016001
2021-01-10,8.738
2021-01-11,7.6079993
2021-01-12,7.6879997
2021-01-13,7.0220003
2021-01-14,6.384
2021-01-15,7.4939995
2021-01-16,4.9560003
2021-01-17,3.2919998
2021-01-18,4.694
2021-01-19,4.974
2021-01-20,8.67
2021-01-21,13.528
2021-01-22,13.62
2021-01-23,11.681999
2021-01-24,9.921999
2021-01-25,7.822
2021-01-26,6.3719997
2021-01-27,4.982
2021-01-28,6.8739996
2021-01-29,9.337999
2021-01-30,11.254
2021-01-31,10.122
2021-02-01,9.414
2021-02-02,12.268
2021-02-03,13.086
2021-02-04,13.153999
2021-02-05,13.476
2021-02-06,12.547998
2021-02-07,13.9
2021-02-08,10.712
2021-02-09,11.5720005
2021-02-10,10.9800005
2021-02-11,12.724
2021-02-12,7.3219995
2021-02-13,4.2459993
2021-02-14,2.156
2021-02-15,3.324
2021-02-16,4.2179995
2021-02-17,6.942
2021-02-18,8.626
2021-02-19,9.325999
2021-02-20,11.032
2021-02-21,11.118
2021-02-22,12.073999
2021-02-23,11.468
2021-02-24,14.202001
2021-02-25,14.217999
2021-02-26,12.313999
2021-02-27,10.405999
2021-02-28,9.278
2021-03-01,9.033999
2021-03-02,10.168
2021-03-03,12.041999
2021-03-04,9.014
2021-03-05,8.894
2021-03-06,6.7739997
2021-03-07,6.178
2021-03-08,8.940001
2021-03-09,9.1380005
2021-03-10,8.686
2021-03-11,8.51
2021-03-12,11.598
2021-03-13,12.552
2021-03-14,9.982
2021-03-15,9.065999
2021-03-16,8.691999
2021-03-17,7.482001
2021-03-18,6.686
2021-03-19,5.6379995
2021-03-20,6.882
2021-03-21,7.7739997
2021-03-22,7.7139997
2021-03-23,7.5020003
2021-03-24,8.351999
2021-03-25,9.28
2021-03-26,10.262
2021-03-27,11.4800005
2021-03-28,12.801999
2021-03-29,12.908
2021-03-30,13.875999
2021-03-31,15.487999
2021-04-01,18.058
2021-04-02,14.839999
2021-04-03,14.289999
2021-04-04,10.886
2021-04-05,9.356
2021-04-06,8.289999
2021-04-07,7.041999
2021-04-08,7.7479997
2021-04-09,9.280001
2021-04-10,9.761999
2021-04-11,12.271999
2021-04-12,12.848
2021-04-13,9.83
2021-04-14,8.356
2021-04-15,9.495999
2021-04-16,10.736
2021-04-17,10.404
2021-04-18,10.712
2021-04-19,9.716
2021-04-20,10.708
2021-04-21,12.700001
2021-04-22,11.658
2021-04-23,12.668
2021-04-24,13.710001
2021-04-25,13.997999
2021-04-26,14.05
2021-04-27,14.273999
2021-04-28,15.014
2021-04-29,17.258001
2021-04-30,18.948
2021-05-01,17.674
2021-05-02,17.026
2021-05-03,13.403999
2021-05-04,14.283999
2021-05-05,15.303999
2021-05-06,16.223999
2021-05-07,16.929998
2021-05-08,15.102
2021-05-09,16.66
2021-05-10,17.782
2021-05-11,18.067999
2021-05-12,16.415998
2021-05-13,15.241999
2021-05-14,14.768
2021-05-15,14.476
2021-05-16,16.738
2021-05-17,17.807999
2021-05-18,16.192
2021-05-19,15.582001
2021-05-20,15.006
2021-05-21,16.140001
2021-05-22,16.448
2021-05-23,19.566
2021-05-24,21.038
2021-05-25,18.487999
2021-05-26,17.666
2021-05-27,17.798
2021-05-28,16.676
2021-05-29,17.14
2021-05-30,16.866001
2021-05-31,16.731998
2021-06-01,15.856
2021-06-02,18.344
2021-06-03,19.409998
2021-06-04,19.888
2021-06-05,20.658
2021-06-06,20.470001
2021-06-07,18.506
2021-06-08,18.57
2021-06-09,19.636
2021-06-10,20.133999
2021-06-11,20.084
2021-06-12,21.022
2021-06-13,19.984
2021-06-14,20.678
2021-06-15,21.142
2021-06-16,20.234
2021-06-17,22.064
2021-06-18,22.661999
2021-06-19,23.651999
2021-06-20,24.758
2021-06-21,26.338001
2021-06-22,25.703999
2021-06-23,26.401999
2021-06-24,26.712
2021-06-25,25.357998
2021-06-26,24.119999
2021-06-27,24.742
2021-06-28,26.0
2021-06-29,26.482
2021-06-30,25.212
2021-07-01,23.679998
2021-07-02,23.236
2021-07-03,24.116001
2021-07-04,23.297998
2021-07-05,22.981998
2021-07-06,24.05
2021-07-07,26.829998
2021-07-08,27.762
2021-07-09,25.8
2021-07-10,23.728
2021-07-11,24.072
2021-07-12,24.519999
2021-07-13,25.469997
2021-07-14,23.634
2021-07-15,23.697998
2021-07-16,20.914
2021-07-17,20.084
2021-07-18,21.838001
2021-07-19,22.719997
2021-07-20,23.378
2021-07-21,23.816
2021-07-22,24.118
2021-07-23,24.578
2021-07-24,25.565998
2021-07-25,28.044
2021-07-26,28.548
2021-07-27,26.922
2021-07-28,27.741999
2021-07-29,26.995998
2021-07-30,27.13
2021-07-31,28.183996
2021-08-01,29.88
2021-08-02,25.571999
2021-08-03,25.046
2021-08-04,27.775997
2021-08-05,25.404
2021-08-06,24.755999
2021-08-07,26.286001
2021-08-08,28.212
2021-08-09,28.079998
2021-08-10,27.501999
2021-08-11,27.976002
2021-08-12,27.544
2021-08-13,27.337997
2021-08-14,27.194
2021-08-15,27.185999
2021-08-16,28.429998
2021-08-17,25.76
2021-08-18,24.464
2021-08-19,23.91
2021-08-20,23.646
2021-08-21,24.703999
2021-08-22,26.094
2021-08-23,23.385998
2021-08-24,23.411999
2021-08-25,22.11
2021-08-26,23.966
2021-08-27,22.237997
2021-08-28,20.934
2021-08-29,20.55
2021-08-30,20.8
2021-08-31,20.843998
2021-09-01,22.237999
2021-09-02,23.245998
2021-09-03,22.957998
2021-09-04,21.943998
2021-09-05,22.807999
2021-09-06,22.592
2021-09-07,22.926
2021-09-08,21.612
2021-09-09,22.064
2021-09-10,22.984
2021-09-11,22.899998
2021-09-12,22.062
2021-09-13,22.212
2021-09-14,22.811998
2021-09-15,25.184
2021-09-16,22.998
2021-09-17,22.406002
2021-09-18,23.208
2021-09-19,22.982
2021-09-20,22.193996
2021-09-21,19.526
2021-09-22,19.276
2021-09-23,19.16
2021-09-24,19.397999
2021-09-25,20.962
2021-09-26,21.466
2021-09-27,21.904
2021-09-28,21.25
2021-09-29,22.204
2021-09-30,21.098001
2021-10-01,20.355999
2021-10-02,20.093998
2021-10-03,21.784
2021-10-04,22.162
2021-10-05,20.782
2021-10-06,20.133999
2021-10-07,17.012
2021-10-08,16.512
2021-10-09,15.283999
2021-10-10,15.120001
2021-10-11,14.658
2021-10-12,14.662
2021-10-13,14.754
2021-10-14,13.356
2021-10-15,13.607999
2021-10-16,14.181999
2021-10-17,15.483999
2021-10-18,16.399998
2021-10-19,16.166
2021-10-20,15.242
2021-10-21,17.628
2021-10-22,18.674
2021-10-23,18.846
2021-10-24,17.720001
2021-10-25,16.529999
2021-10-26,16.684
2021-10-27,16.592
2021-10-28,15.796
2021-10-29,15.242
2021-10-30,15.599998
2021-10-31,16.886
2021-11-01,16.514
2021-11-02,18.446
2021-11-03,18.039999
2021-11-04,18.274
2021-11-05,15.486
2021-11-06,16.470001
2021-11-07,18.536
2021-11-08,16.23
2021-11-09,16.978
2021-11-10,17.394001
2021-11-11,15.94
2021-11-12,16.664
2021-11-13,16.897999
2021-11-14,14.217999
2021-11-15,16.228
2021-11-16,13.552
2021-11-17,14.12
2021-11-18,14.389999
2021-11-19,13.205999
2021-11-20,15.469998
2021-11-21,14.802
2021-11-22,14.581999
2021-11-23,12.466
2021-11-24,13.733999
2021-11-25,13.306
2021-11-26,13.359999
2021-11-27,15.094
2021-11-28,12.76
2021-11-29,6.678
2021-11-30,8.393999
2021-12-01,9.3220005
2021-12-02,11.576
2021-12-03,9.608
2021-12-04,10.446
2021-12-05,12.527999
2021-12-06,8.932
2021-12-07,8.283999
2021-12-08,9.626
2021-12-09,10.917999
2021-12-10,9.466
2021-12-11,7.936
2021-12-12,6.686
2021-12-13,8.191999
2021-12-14,9.638
2021-12-15,9.46
2021-12-16,10.575999
2021-12-17,10.643999
2021-12-18,8.104
2021-12-19,10.0199995
2021-12-20,8.702001
2021-12-21,8.464
2021-12-22,8.46
2021-12-23,9.3
2021-12-24,11.910001
2021-12-25,10.5720005
2021-12-26,12.782
2021-12-27,13.116
2021-12-28,13.758
2021-12-29,14.581999
2021-12-30,13.278
2021-12-31,12.342
