time,DEA1C
2021-01-01,-0.045000006
2021-01-02,3.75
2021-01-03,5.8224998
2021-01-04,5.3324995
2021-01-05,3.1062498
2021-01-06,1.5825
2021-01-07,1.52375
2021-01-08,0.33375
2021-01-09,0.59624994
2021-01-10,-2.19625
2021-01-11,-3.0512497
2021-01-12,-4.4475
2021-01-13,0.22625
2021-01-14,0.013750002
2021-01-15,-1.0625
2021-01-16,-3.85625
2021-01-17,-4.43375
2021-01-18,-7.7725
2021-01-19,-0.54625
2021-01-20,3.19625
2021-01-21,5.13875
2021-01-22,7.6675
2021-01-23,7.24125
2021-01-24,3.0474997
2021-01-25,2.0812497
2021-01-26,0.59875
2021-01-27,0.22625
2021-01-28,-0.9975
2021-01-29,1.8225
2021-01-30,5.2474995
2021-01-31,0.38125
2021-02-01,-1.55
2021-02-02,-0.28125
2021-02-03,3.4049997
2021-02-04,6.79625
2021-02-05,3.96125
2021-02-06,3.745
2021-02-07,1.81125
2021-02-08,1.48125
2021-02-09,-1.5375
2021-02-10,-1.8587499
2021-02-11,-5.2887497
2021-02-12,-7.8187494
2021-02-13,-6.7275
2021-02-14,-4.74125
2021-02-15,-4.71625
2021-02-16,-2.8874998
2021-02-17,2.4824998
2021-02-18,5.31625
2021-02-19,2.0375
2021-02-20,1.7849998
2021-02-21,3.30125
2021-02-22,6.63
2021-02-23,4.4974995
2021-02-24,7.2999997
2021-02-25,8.865
2021-02-26,8.50875
2021-02-27,5.97125
2021-02-28,4.4762497
2021-03-01,4.9175
2021-03-02,4.6924996
2021-03-03,5.36125
2021-03-04,5.68875
2021-03-05,3.7525
2021-03-06,0.375
2021-03-07,0.67999995
2021-03-08,-0.275
2021-03-09,-0.7425
2021-03-10,0.90874994
2021-03-11,0.65874994
2021-03-12,7.23625
2021-03-13,6.6800003
2021-03-14,7.0637503
2021-03-15,4.9275
2021-03-16,4.11375
2021-03-17,4.3849998
2021-03-18,3.01125
2021-03-19,0.83124995
2021-03-20,-0.70625
2021-03-21,-2.5025
2021-03-22,3.0575
2021-03-23,3.6949997
2021-03-24,5.50625
2021-03-25,5.615
2021-03-26,8.684999
2021-03-27,10.52375
2021-03-28,7.3575
2021-03-29,8.39875
2021-03-30,14.9275
2021-03-31,13.626249
2021-04-01,15.38625
2021-04-02,12.424999
2021-04-03,6.4174995
2021-04-04,4.7425003
2021-04-05,6.28125
2021-04-06,3.9325
2021-04-07,1.7362499
2021-04-08,2.83375
2021-04-09,5.3287497
2021-04-10,11.42375
2021-04-11,11.716249
2021-04-12,12.497499
2021-04-13,3.185
2021-04-14,4.68375
2021-04-15,4.1012497
2021-04-16,4.615
2021-04-17,6.52375
2021-04-18,8.49375
2021-04-19,9.0625
2021-04-20,10.44625
2021-04-21,10.4574995
2021-04-22,10.2625
2021-04-23,7.4775
2021-04-24,7.72
2021-04-25,9.211249
2021-04-26,5.8625
2021-04-27,6.8025
2021-04-28,10.679999
2021-04-29,15.512501
2021-04-30,15.65625
2021-05-01,16.07
2021-05-02,13.28125
2021-05-03,9.3324995
2021-05-04,11.4525
2021-05-05,13.481249
2021-05-06,9.24625
2021-05-07,11.74625
2021-05-08,8.8475
2021-05-09,13.883749
2021-05-10,19.29375
2021-05-11,21.8275
2021-05-12,17.9825
2021-05-13,12.51
2021-05-14,11.98125
2021-05-15,12.348749
2021-05-16,15.23875
2021-05-17,12.3675
2021-05-18,13.3075
2021-05-19,11.205
2021-05-20,13.78
2021-05-21,12.9825
2021-05-22,12.715
2021-05-23,10.5
2021-05-24,10.622499
2021-05-25,12.52
2021-05-26,11.716249
2021-05-27,13.385
2021-05-28,13.19875
2021-05-29,13.096251
2021-05-30,12.40625
2021-05-31,12.855
2021-06-01,13.567499
2021-06-02,15.52625
2021-06-03,16.075
2021-06-04,17.758749
2021-06-05,19.3325
2021-06-06,20.64125
2021-06-07,19.377499
2021-06-08,20.082499
2021-06-09,20.74375
2021-06-10,20.06375
2021-06-11,19.400002
2021-06-12,21.05625
2021-06-13,16.59625
2021-06-14,15.2074995
2021-06-15,17.27375
2021-06-16,20.98
2021-06-17,21.7575
2021-06-18,23.0875
2021-06-19,23.946249
2021-06-20,24.6675
2021-06-21,25.474998
2021-06-22,24.83375
2021-06-23,24.7375
2021-06-24,26.38625
2021-06-25,22.72125
2021-06-26,21.83375
2021-06-27,21.90375
2021-06-28,23.7725
2021-06-29,25.85125
2021-06-30,21.55375
