time,DK022
2021-01-01,2.1233332
2021-01-02,3.3966665
2021-01-03,3.3466666
2021-01-04,2.7333333
2021-01-05,2.7233334
2021-01-06,1.54
2021-01-07,2.0733335
2021-01-08,1.5333333
2021-01-09,1.4799999
2021-01-10,1.4699999
2021-01-11,4.2899995
2021-01-12,4.316667
2021-01-13,2.7633333
2021-01-14,-0.18333332
2021-01-15,0.16
2021-01-16,0.24666667
2021-01-17,2.0266666
2021-01-18,3.9133332
2021-01-19,7.1433334
2021-01-20,8.546666
2021-01-21,7.2566667
2021-01-22,3.57
2021-01-23,2.32
2021-01-24,1.05
2021-01-25,0.59999996
2021-01-26,3.2099998
2021-01-27,3.4566667
2021-01-28,3.3133335
2021-01-29,4.513334
2021-01-30,-0.59666663
2021-01-31,-2.2033331
2021-02-01,-0.38333333
2021-02-02,1.37
2021-02-03,7.2166667
2021-02-04,5.486666
2021-02-05,4.15
2021-02-06,0.6466667
2021-02-07,-4.8366666
2021-02-08,-5.77
2021-02-09,-4.766667
2021-02-10,-3.8233335
2021-02-11,-5.49
2021-02-12,-6.6666665
2021-02-13,-7.7066665
2021-02-14,-3.4333332
2021-02-15,1.7400001
2021-02-16,5.793333
2021-02-17,8.45
2021-02-18,8.473332
2021-02-19,6.76
2021-02-20,11.473332
2021-02-21,11.003333
2021-02-22,11.213333
2021-02-23,12.826665
2021-02-24,13.046666
2021-02-25,11.093333
2021-02-26,6.4199996
2021-02-27,4.1
2021-02-28,3.1066666
2021-03-01,4.726667
2021-03-02,5.2766666
2021-03-03,3.9399998
2021-03-04,3.37
2021-03-05,1.18
2021-03-06,1.7966666
2021-03-07,2.3333333
2021-03-08,4.35
2021-03-09,4.47
2021-03-10,5.273333
2021-03-11,8.32
2021-03-12,6.33
2021-03-13,6.6233335
2021-03-14,6.0499997
2021-03-15,6.1
2021-03-16,5.7533326
2021-03-17,3.8799999
2021-03-18,3.2766666
2021-03-19,3.4099998
2021-03-20,3.26
2021-03-21,5.8633327
2021-03-22,5.6666665
2021-03-23,6.8933334
2021-03-24,7.443333
2021-03-25,7.7433333
2021-03-26,9.713333
2021-03-27,5.9266663
2021-03-28,8.993333
2021-03-29,11.936666
2021-03-30,12.2
2021-03-31,13.753333
2021-04-01,8.673333
2021-04-02,5.1199994
2021-04-03,6.6
2021-04-04,6.0499997
2021-04-05,3.0200002
2021-04-06,1.7033333
2021-04-07,2.9633334
2021-04-08,4.7833333
2021-04-09,6.92
2021-04-10,4.843333
2021-04-11,3.6266668
2021-04-12,3.0033333
2021-04-13,4.113333
2021-04-14,3.6566665
2021-04-15,4.9266667
2021-04-16,6.1200004
2021-04-17,6.3199997
2021-04-18,8.206666
2021-04-19,9.633332
2021-04-20,10.743333
2021-04-21,6.99
2021-04-22,6.2766666
2021-04-23,6.593333
2021-04-24,6.556667
2021-04-25,6.49
2021-04-26,5.943333
2021-04-27,7.653333
2021-04-28,9.97
2021-04-29,7.6966662
2021-04-30,8.316667
2021-05-01,8.19
2021-05-02,6.7766666
2021-05-03,9.043334
2021-05-04,8.493333
2021-05-05,6.883333
2021-05-06,6.0099998
2021-05-07,6.6966667
2021-05-08,9.133333
2021-05-09,18.62
2021-05-10,16.306665
2021-05-11,13.426666
2021-05-12,13.329999
2021-05-13,12.253333
2021-05-14,9.436667
2021-05-15,10.206667
2021-05-16,10.86
2021-05-17,11.126667
2021-05-18,10.386666
2021-05-19,9.88
2021-05-20,11.5199995
2021-05-21,12.856667
2021-05-22,10.363333
2021-05-23,10.726666
2021-05-24,11.8099985
2021-05-25,9.9
2021-05-26,10.54
2021-05-27,10.53
2021-05-28,12.209999
2021-05-29,11.8533325
2021-05-30,13.489999
2021-05-31,14.413334
2021-06-01,18.019999
2021-06-02,19.523333
2021-06-03,20.233332
2021-06-04,20.263332
2021-06-05,16.333334
2021-06-06,14.973332
2021-06-07,16.39
2021-06-08,17.22
2021-06-09,19.266665
2021-06-10,19.536667
2021-06-11,19.506666
2021-06-12,16.376665
2021-06-13,15.989999
2021-06-14,19.533333
2021-06-15,17.063334
2021-06-16,21.056665
2021-06-17,24.783333
2021-06-18,22.303331
2021-06-19,19.543333
2021-06-20,18.786667
2021-06-21,13.073333
2021-06-22,14.006667
2021-06-23,14.366666
2021-06-24,14.913333
2021-06-25,15.459999
2021-06-26,19.276667
2021-06-27,20.186666
2021-06-28,20.596666
2021-06-29,16.706665
2021-06-30,14.240001
2021-07-01,15.693334
2021-07-02,16.626665
2021-07-03,18.756666
2021-07-04,18.4
2021-07-05,17.029999
2021-07-06,18.033333
2021-07-07,17.483334
2021-07-08,18.036667
2021-07-09,18.263334
2021-07-10,17.756666
2021-07-11,19.17
2021-07-12,20.333334
2021-07-13,19.55
2021-07-14,20.043333
2021-07-15,18.230001
2021-07-16,17.416666
2021-07-17,19.523333
2021-07-18,19.263334
2021-07-19,16.633331
2021-07-20,16.91
2021-07-21,18.220001
2021-07-22,17.28
2021-07-23,16.26
2021-07-24,19.123333
2021-07-25,19.63
2021-07-26,19.589998
2021-07-27,18.5
2021-07-28,17.323334
2021-07-29,16.783333
2021-07-30,16.993334
2021-07-31,16.703333
2021-08-01,15.203334
2021-08-02,15.079999
2021-08-03,15.136665
2021-08-04,16.733334
2021-08-05,17.699999
2021-08-06,17.966665
2021-08-07,17.403334
2021-08-08,16.546667
2021-08-09,16.4
2021-08-10,16.363333
2021-08-11,17.166666
2021-08-12,18.769999
2021-08-13,17.4
2021-08-14,17.696667
2021-08-15,19.143333
2021-08-16,15.863334
2021-08-17,15.256665
2021-08-18,16.556665
2021-08-19,16.243334
2021-08-20,17.043333
2021-08-21,18.196667
2021-08-22,17.75
2021-08-23,17.726667
2021-08-24,16.293333
2021-08-25,15.193334
2021-08-26,16.183332
2021-08-27,15.316666
2021-08-28,16.366667
2021-08-29,16.14
2021-08-30,17.533333
2021-08-31,16.396666
2021-09-01,15.66
2021-09-02,14.803333
2021-09-03,14.616666
2021-09-04,15.18
2021-09-05,14.543334
2021-09-06,15.506667
2021-09-07,17.986666
2021-09-08,19.016668
2021-09-09,19.826666
2021-09-10,19.39
2021-09-11,17.876665
2021-09-12,15.9800005
2021-09-13,14.87
2021-09-14,16.516666
2021-09-15,17.576668
2021-09-16,15.446667
2021-09-17,14.983333
2021-09-18,14.369999
2021-09-19,14.146667
2021-09-20,10.973332
2021-09-21,12.666667
2021-09-22,13.763332
2021-09-23,14.806666
2021-09-24,17.023333
2021-09-25,17.283333
2021-09-26,17.156668
2021-09-27,15.563333
2021-09-28,13.089999
2021-09-29,10.983334
2021-09-30,11.863334
2021-10-01,13.516666
2021-10-02,14.266666
2021-10-03,13.293334
2021-10-04,13.223332
2021-10-05,12.383334
2021-10-06,10.916667
2021-10-07,8.046666
2021-10-08,9.616666
2021-10-09,9.666667
2021-10-10,9.463333
2021-10-11,11.583333
2021-10-12,10.206666
2021-10-13,10.466666
2021-10-14,13.16
2021-10-15,10.533333
2021-10-16,8.87
2021-10-17,10.753334
2021-10-18,11.5
2021-10-19,15.57
2021-10-20,15.393333
2021-10-21,9.48
2021-10-22,7.8333335
2021-10-23,8.419999
2021-10-24,7.6966667
2021-10-25,9.726666
2021-10-26,12.143333
2021-10-27,13.163333
2021-10-28,11.426666
2021-10-29,12.766666
2021-10-30,12.056666
2021-10-31,11.903333
2021-11-01,9.863334
2021-11-02,7.26
2021-11-03,5.61
2021-11-04,6.693333
2021-11-05,7.69
2021-11-06,9.49
2021-11-07,9.093333
2021-11-08,8.11
2021-11-09,7.683333
2021-11-10,7.903333
2021-11-11,9.223332
2021-11-12,7.853333
2021-11-13,9.73
2021-11-14,8.81
2021-11-15,6.09
2021-11-16,4.6733336
2021-11-17,7.3233333
2021-11-18,9.429999
2021-11-19,11.56
2021-11-20,10.043334
2021-11-21,7.7599998
2021-11-22,4.3433337
2021-11-23,6.636667
2021-11-24,6.0699997
2021-11-25,4.53
2021-11-26,4.1600003
2021-11-27,3.5266666
2021-11-28,2.9866667
2021-11-29,3.0133333
2021-11-30,7.3466663
2021-12-01,7.853333
2021-12-02,1.8066667
2021-12-03,2.9099998
2021-12-04,4.5933332
2021-12-05,3.7066667
2021-12-06,2.793333
2021-12-07,3.1299999
2021-12-08,4.6299996
2021-12-09,2.8799999
2021-12-10,2.7866666
2021-12-11,0.68666667
2021-12-12,7.34
2021-12-13,9.19
2021-12-14,8.676666
2021-12-15,9.576667
2021-12-16,8.873334
2021-12-17,8.386666
2021-12-18,6.9799995
2021-12-19,6.843333
2021-12-20,2.34
2021-12-21,-1.2133332
2021-12-22,-3.0933332
2021-12-23,1.14
2021-12-24,5.5099998
2021-12-25,-1.1733333
2021-12-26,-1.5566667
2021-12-27,2.8066666
2021-12-28,7.013334
2021-12-29,7.69
2021-12-30,11.636666
2021-12-31,12.823334
