time,EE00A
2021-08-12,19.74846
2021-08-13,18.768461
2021-08-14,19.68769
2021-08-15,21.600769
2021-08-16,22.592306
2021-08-17,23.01769
2021-08-18,17.203077
2021-08-19,15.128462
2021-08-20,16.746922
2021-08-21,17.9
2021-08-22,18.297691
2021-08-23,19.554613
2021-08-24,19.150768
2021-08-25,15.936153
2021-08-26,15.270767
2021-08-27,14.453075
2021-08-28,14.690767
2021-08-29,15.003847
2021-08-30,15.773077
2021-08-31,13.544616
2021-09-01,14.335383
2021-09-02,13.848461
2021-09-03,13.15
2021-09-04,14.106923
2021-09-05,13.663847
2021-09-06,12.768462
2021-09-07,12.893846
2021-09-08,14.224615
2021-09-09,14.533845
2021-09-10,14.98
2021-09-11,16.31846
2021-09-12,16.33154
2021-09-13,16.762306
2021-09-14,17.143078
2021-09-15,17.183846
2021-09-16,18.070768
2021-09-17,18.592308
2021-09-18,15.6207695
2021-09-19,13.490768
2021-09-20,10.718462
2021-09-21,8.615385
2021-09-22,6.9061537
2021-09-23,7.745384
2021-09-24,9.874615
2021-09-25,12.148461
2021-09-26,15.291536
2021-09-27,14.590769
2021-09-28,13.149231
2021-09-29,11.265385
2021-09-30,10.946923
2021-10-01,11.445385
2021-10-02,9.889231
2021-10-03,10.551538
2021-10-04,11.341537
2021-10-05,10.91923
2021-10-06,9.378462
2021-10-07,9.461538
2021-10-08,6.8753843
2021-10-09,5.677692
2021-10-10,6.963078
2021-10-11,7.701538
2021-10-12,8.154615
2021-10-13,6.3438463
2021-10-14,5.4038463
2021-10-15,5.9023075
2021-10-16,8.1376915
2021-10-17,7.677692
2021-10-18,6.7323074
2021-10-19,7.3892307
2021-10-20,8.113077
2021-10-21,10.197692
2021-10-22,12.398462
2021-10-23,9.6146145
2021-10-24,4.5623074
2021-10-25,3.2753842
2021-10-26,5.716923
2021-10-27,5.5730767
2021-10-28,5.8576922
2021-10-29,7.442307
2021-10-30,8.553077
2021-10-31,6.835385
2021-11-01,4.6207695
2021-11-02,5.6330767
2021-11-03,7.716923
2021-11-04,13.406153
2021-11-05,13.526923
2021-11-06,10.2846155
2021-11-07,9.530769
2021-11-08,7.2753854
2021-11-09,4.379231
2021-11-10,2.3353846
2021-11-11,2.0853846
2021-11-12,1.9761539
2021-11-13,4.074615
2021-11-14,5.1707687
2021-11-15,4.210769
2021-11-16,4.6815386
2021-11-17,1.9153845
2021-11-18,1.2276924
2021-11-19,2.535385
2021-11-20,6.339231
2021-11-21,3.866923
2021-11-22,2.359231
2021-11-23,2.4576926
2021-11-24,-0.19769232
2021-11-25,-0.75846153
2021-11-26,2.0207691
2021-11-27,6.382307
2021-11-28,6.606923
2021-11-29,5.8799996
2021-11-30,0.2130769
2021-12-01,1.7284615
2021-12-02,4.7046156
2021-12-03,3.6838465
2021-12-04,-0.8076923
2021-12-05,0.07384615
2021-12-06,2.9046156
2021-12-07,1.1499999
2021-12-08,0.39692307
2021-12-09,1.0753846
2021-12-10,3.0476918
2021-12-11,2.4961536
2021-12-12,4.1584616
2021-12-13,1.5723075
2021-12-14,0.37307695
2021-12-15,-0.12846152
2021-12-16,0.36153844
2021-12-17,1.443077
2021-12-18,0.6038461
2021-12-19,2.5984614
2021-12-20,0.30461535
2021-12-21,-3.7484615
2021-12-22,-6.154615
2021-12-23,-7.786922
2021-12-24,-0.7438462
2021-12-25,4.65923
2021-12-26,2.6761537
2021-12-27,0.8738461
2021-12-28,-0.05538461
2021-12-29,0.47230765
2021-12-30,2.413846
2021-12-31,3.6099997
