time,DEA2B
2021-01-01,9.73
2021-01-02,10.834999
2021-01-03,9.344999
2021-01-04,5.585
2021-01-05,3.73
2021-01-06,7.6
2021-01-07,10.96
2021-01-08,15.09
2021-01-09,14.43
2021-01-10,11.74
2021-01-11,10.725
2021-01-12,9.275
2021-01-13,8.795
2021-01-14,4.7699995
2021-01-15,6.3149996
2021-01-16,5.4399996
2021-01-17,3.3249998
2021-01-18,6.175
2021-01-19,6.075
2021-01-20,8.455
2021-01-21,15.389999
2021-01-22,14.74
2021-01-23,9.915
2021-01-24,11.974999
2021-01-25,11.295
2021-01-26,7.75
2021-01-27,5.25
2021-01-28,8.879999
2021-01-29,10.24
2021-01-30,8.799999
2021-01-31,6.075
2021-02-01,11.584999
2021-02-02,18.21
2021-02-03,21.07
2021-02-04,16.74
2021-02-05,18.06
2021-02-06,14.424999
2021-02-07,
2021-02-08,4.995
2021-02-09,
2021-02-10,
2021-02-11,
2021-02-12,10.049999
2021-02-13,8.625
2021-02-14,0.61
2021-02-15,1.85
2021-02-16,3.705
2021-02-17,8.79
2021-02-18,8.83
2021-02-19,8.755
2021-02-20,10.78
2021-02-21,12.094999
2021-02-22,12.68
2021-02-23,9.255
2021-02-24,13.379999
2021-02-25,12.08
2021-02-26,11.78
2021-02-27,8.719999
2021-02-28,
2021-03-01,7.29
2021-03-02,9.215
2021-03-03,
2021-03-04,8.139999
2021-03-05,3.875
2021-03-06,5.5649996
2021-03-07,6.6349998
2021-03-08,8.895
2021-03-09,9.73
2021-03-10,10.424999
2021-03-11,9.2699995
2021-03-12,10.18
2021-03-13,13.844999
2021-03-14,9.67
2021-03-15,9.674999
2021-03-16,8.82
2021-03-17,6.1
2021-03-18,
2021-03-19,
2021-03-20,5.505
2021-03-21,9.924999
2021-03-22,7.2699995
2021-03-23,5.14
2021-03-24,5.67
2021-03-25,
2021-03-26,
2021-03-27,9.684999
2021-03-28,10.4
2021-03-29,9.92
2021-03-30,10.195
2021-03-31,12.5
2021-04-01,
2021-04-02,8.629999
2021-04-03,14.485
2021-04-04,13.115
2021-04-05,10.02
2021-04-06,
2021-04-07,9.7699995
2021-04-08,6.9799995
2021-04-09,9.389999
2021-04-10,7.9249997
2021-04-11,13.61
2021-04-12,10.45
2021-04-13,10.865
2021-04-14,8.924999
2021-04-15,10.7
2021-04-16,12.455
2021-04-17,10.245
2021-04-18,12.059999
2021-04-19,8.545
2021-04-20,9.53
2021-04-21,14.059999
2021-04-22,8.605
2021-04-23,10.344999
2021-04-24,11.75
2021-04-25,10.065001
2021-04-26,13.389999
2021-04-27,17.43
2021-04-28,16.759998
2021-04-29,19.31
2021-04-30,19.275
2021-05-01,16.425
2021-05-02,15.184999
