time,DEG0M
2021-08-11,16.867647
2021-08-12,16.117058
2021-08-13,17.421766
2021-08-14,18.755293
2021-08-15,17.955294
2021-08-16,18.37941
2021-08-17,17.669998
2021-08-18,14.549412
2021-08-19,14.901765
2021-08-20,16.29235
2021-08-21,14.7576475
2021-08-22,13.534117
2021-08-23,13.579412
2021-08-24,11.457647
2021-08-25,11.453529
2021-08-26,13.331764
2021-08-27,15.183531
2021-08-28,16.06588
2021-08-29,15.018235
2021-08-30,15.644116
2021-08-31,14.663528
2021-09-01,13.465294
2021-09-02,11.261176
2021-09-03,11.78294
2021-09-04,8.76294
2021-09-05,7.3788238
2021-09-06,9.392353
2021-09-07,13.010589
2021-09-08,15.225883
2021-09-09,17.351175
2021-09-10,16.858822
2021-09-11,16.867647
2021-09-12,16.789413
2021-09-13,15.023529
2021-09-14,11.108234
2021-09-15,9.371177
2021-09-16,9.225293
2021-09-17,9.804707
2021-09-18,7.882941
2021-09-19,6.200588
2021-09-20,4.9605885
2021-09-21,5.4782352
2021-09-22,6.5394115
2021-09-23,7.001765
2021-09-24,9.216471
2021-09-25,10.631175
2021-09-26,10.06647
2021-09-27,8.480588
2021-09-28,8.237647
2021-09-29,9.171177
2021-09-30,8.310588
2021-10-01,8.572352
2021-10-02,9.532352
2021-10-03,10.649412
2021-10-04,11.026471
2021-10-05,11.022942
2021-10-06,11.062353
2021-10-07,7.1711764
2021-10-08,4.0035295
2021-10-09,4.523529
2021-10-10,5.7088237
2021-10-11,4.71
2021-10-12,5.334706
2021-10-13,5.0758824
2021-10-14,4.9823527
2021-10-15,6.827059
2021-10-16,7.7164702
2021-10-17,7.574117
2021-10-18,5.3599997
2021-10-19,4.1729407
2021-10-20,8.845294
2021-10-21,12.94
2021-10-22,7.8470583
2021-10-23,5.1129413
2021-10-24,2.8135293
2021-10-25,4.2582355
2021-10-26,4.647059
2021-10-27,8.074119
2021-10-28,11.255294
2021-10-29,9.870587
2021-10-30,9.06647
2021-10-31,8.172354
2021-11-01,6.352353
2021-11-02,4.702941
