time,FRB06
2021-01-01,3.52
2021-01-02,4.41
2021-01-03,5.295
2021-01-04,4.075
2021-01-05,5.575
2021-01-06,3.76
2021-01-07,0.695
2021-01-08,1.185
2021-01-09,-0.73999995
2021-01-10,-0.62499994
2021-01-11,-1.37
2021-01-12,-2.195
2021-01-13,-0.044999998
2021-01-14,0.175
2021-01-15,-1.1899999
2021-01-16,-1.325
2021-01-17,-2.17
2021-01-18,-2.03
2021-01-19,0.76
2021-01-20,6.96
2021-01-21,8.93
2021-01-22,10.625
2021-01-23,8.625
2021-01-24,3.9499998
2021-01-25,-0.004999995
2021-01-26,0.84499997
2021-01-27,0.63
2021-01-28,1.9949999
2021-01-29,5.7749996
2021-01-30,4.505
2021-01-31,0.065
2021-02-01,-1.36
2021-02-02,-0.77
2021-02-03,6.67
2021-02-04,11.209999
2021-02-05,9.985001
2021-02-06,8.96
2021-02-07,9.815001
2021-02-08,6.5950003
2021-02-09,2.995
2021-02-10,3.54
2021-02-11,-1.99
2021-02-12,-4.8999996
2021-02-13,-5.055
2021-02-14,-2.125
2021-02-15,-1.76
2021-02-16,2.23
2021-02-17,4.105
2021-02-18,4.37
2021-02-19,8.045
2021-02-20,6.39
2021-02-21,8.165
2021-02-22,10.43
2021-02-23,9.48
2021-02-24,9.86
2021-02-25,10.195
2021-02-26,10.244999
2021-02-27,7.285
2021-02-28,4.645
2021-03-01,4.64
2021-03-02,5.01
2021-03-03,6.355
2021-03-04,8.809999
2021-03-05,8.98
2021-03-06,2.5349998
2021-03-07,1.025
2021-03-08,4.1049995
2021-03-09,4.175
2021-03-10,2.925
2021-03-11,4.785
2021-03-12,9.375
2021-03-13,8.674999
2021-03-14,7.6349998
2021-03-15,5.75
2021-03-16,4.625
2021-03-17,3.7999997
2021-03-18,4.35
2021-03-19,1.645
2021-03-20,1.54
2021-03-21,0.96
2021-03-22,4.4
2021-03-23,5.04
2021-03-24,7.345
2021-03-25,6.96
2021-03-26,9.434999
2021-03-27,12.65
2021-03-28,9.379999
2021-03-29,10.145
2021-03-30,14.36
2021-03-31,14.375
2021-04-01,15.554999
2021-04-02,15.235
2021-04-03,9.469999
2021-04-04,5.975
2021-04-05,7.3099995
2021-04-06,1.9999999
2021-04-07,1.3599999
2021-04-08,3.81
2021-04-09,6.765
2021-04-10,11.91
2021-04-11,12.625
2021-04-12,11.754999
2021-04-13,4.1749997
2021-04-14,5.4749994
2021-04-15,4.6099997
2021-04-16,5.0249996
2021-04-17,6.465
2021-04-18,7.8199997
2021-04-19,7.56
2021-04-20,9.21
2021-04-21,10.44
2021-04-22,12.105
2021-04-23,9.969999
2021-04-24,10.639999
2021-04-25,12.485
2021-04-26,9.495
2021-04-27,6.8450003
2021-04-28,9.094999
2021-04-29,14.18
2021-04-30,16.869999
2021-05-01,18.835
2021-05-02,15.895
2021-05-03,10.815
2021-05-04,12.809999
2021-05-05,14.474999
2021-05-06,9.639999
2021-05-07,8.525
2021-05-08,9.764999
2021-05-09,15.23
2021-05-10,19.3
2021-05-11,19.99
2021-05-12,16.474998
2021-05-13,14.36
2021-05-14,14.004999
2021-05-15,14.75
2021-05-16,15.855
2021-05-17,13.219999
2021-05-18,13.15
2021-05-19,11.549999
2021-05-20,13.285
2021-05-21,13.969999
2021-05-22,16.224998
2021-05-23,14.805
2021-05-24,11.15
2021-05-25,11.969999
2021-05-26,12.945
2021-05-27,14.36
2021-05-28,14.555
2021-05-29,12.91
2021-05-30,12.434999
2021-05-31,13.264999
2021-06-01,14.655
2021-06-02,15.48
2021-06-03,17.4
2021-06-04,19.055
2021-06-05,21.205
2021-06-06,19.3
2021-06-07,20.375
2021-06-08,20.29
2021-06-09,20.704998
2021-06-10,20.539999
2021-06-11,19.705
2021-06-12,20.17
2021-06-13,19.685
2021-06-14,15.99
2021-06-15,17.895
2021-06-16,20.955
2021-06-17,21.965
2021-06-18,22.919998
2021-06-19,24.06
2021-06-20,25.015
2021-06-21,27.465
2021-06-22,26.56
2021-06-23,25.535
2021-06-24,27.664999
2021-06-25,24.275
2021-06-26,22.345
2021-06-27,23.05
2021-06-28,24.649998
2021-06-29,26.23
2021-06-30,23.984999
2021-07-01,17.005
2021-07-02,18.615
2021-07-03,20.71
2021-07-04,20.355
2021-07-05,20.865
2021-07-06,23.05
2021-07-07,26.884998
2021-07-08,26.599998
2021-07-09,26.48
2021-07-10,22.015
2021-07-11,22.029999
2021-07-12,23.31
2021-07-13,26.755
2021-07-14,23.375
2021-07-15,21.55
2021-07-16,22.439999
2021-07-17,21.31
2021-07-18,21.895
2021-07-19,22.705
2021-07-20,21.060001
2021-07-21,19.595001
2021-07-22,20.220001
2021-07-23,20.185
2021-07-24,22.224998
2021-07-25,24.899998
2021-07-26,25.015
2021-07-27,24.425
2021-07-28,26.43
2021-07-29,24.255
2021-07-30,25.66
2021-07-31,23.27
2021-08-01,22.015
2021-08-02,20.83
2021-08-03,20.97
2021-08-04,20.74
2021-08-05,19.105
2021-08-06,19.93
2021-08-07,22.63
2021-08-08,22.849998
2021-08-09,22.404999
2021-08-10,23.46
2021-08-11,24.425
2021-08-12,24.43
2021-08-13,25.029999
2021-08-14,25.97
2021-08-15,26.154999
2021-08-16,25.57
2021-08-17,19.224998
2021-08-18,18.384998
2021-08-19,17.9
2021-08-20,20.71
2021-08-21,21.335
2021-08-22,22.45
2021-08-23,18.4
2021-08-24,18.154999
2021-08-25,16.314999
2021-08-26,15.82
2021-08-27,16.17
2021-08-28,14.62
2021-08-29,14.974999
2021-08-30,14.8949995
2021-08-31,17.169998
2021-09-01,16.945
2021-09-02,16.285
2021-09-03,16.5
2021-09-04,16.82
2021-09-05,17.16
2021-09-06,16.994999
2021-09-07,16.76
2021-09-08,16.86
2021-09-09,16.305
2021-09-10,16.74
2021-09-11,17.634998
2021-09-12,19.294998
2021-09-13,19.404999
2021-09-14,20.045
2021-09-15,21.65
2021-09-16,22.445
2021-09-17,17.685
2021-09-18,15.984999
2021-09-19,15.625
2021-09-20,13.41
2021-09-21,12.965
2021-09-22,13.049999
2021-09-23,12.709999
2021-09-24,15.58
2021-09-25,16.145
2021-09-26,17.705
2021-09-27,17.6
2021-09-28,17.42
2021-09-29,16.665
2021-09-30,15.16
2021-10-01,12.1
2021-10-02,12.865
2021-10-03,16.715
2021-10-04,18.939999
2021-10-05,17.914999
2021-10-06,15.25
2021-10-07,11.455
2021-10-08,11.299999
2021-10-09,9.125
2021-10-10,6.8849998
2021-10-11,9.299999
2021-10-12,8.245
2021-10-13,7.495
2021-10-14,7.255
2021-10-15,7.6549997
