time,BE213
2021-01-01,1.0641667
2021-01-02,-0.5491667
2021-01-03,0.40583333
2021-01-04,0.8499999
2021-01-05,1.1324999
2021-01-06,1.1841667
2021-01-07,0.96416664
2021-01-08,0.17916667
2021-01-09,-0.1875
2021-01-10,-1.2899998
2021-01-11,-2.0058334
2021-01-12,2.485
2021-01-13,2.58
2021-01-14,3.0699997
2021-01-15,-0.7133333
2021-01-16,-4.3208337
2021-01-17,0.945
2021-01-18,2.4058332
2021-01-19,2.5225
2021-01-20,6.601667
2021-01-21,7.6966667
2021-01-22,5.0741663
2021-01-23,2.8058336
2021-01-24,0.83083326
2021-01-25,0.7433334
2021-01-26,0.59999996
2021-01-27,1.4358331
2021-01-28,7.6783333
2021-01-29,8.803333
2021-01-30,6.5033326
2021-01-31,4.3700004
2021-02-01,6.6066666
2021-02-02,8.091666
2021-02-03,9.974167
2021-02-04,6.7466664
2021-02-05,7.935
2021-02-06,7.2500005
2021-02-07,4.603333
2021-02-08,-0.30166665
2021-02-09,-2.1241667
2021-02-10,-4.7208333
2021-02-11,-5.5366664
2021-02-12,-4.521667
2021-02-13,-4.7158337
2021-02-14,-2.638333
2021-02-15,2.5808332
2021-02-16,7.327501
2021-02-17,7.9475
2021-02-18,7.3591666
2021-02-19,7.6675
2021-02-20,10.980832
2021-02-21,12.4766655
2021-02-22,11.089166
2021-02-23,14.194165
2021-02-24,12.5925
2021-02-25,12.278333
2021-02-26,7.710833
2021-02-27,4.716666
2021-02-28,5.4108334
2021-03-01,6.145
2021-03-02,8.355
2021-03-03,9.279166
2021-03-04,7.986666
2021-03-05,4.0766664
2021-03-06,2.5766666
2021-03-07,2.7175
2021-03-08,1.9458332
2021-03-09,3.6091669
2021-03-10,5.5533333
2021-03-11,9.14
2021-03-12,6.7066665
2021-03-13,6.258333
2021-03-14,4.5441666
2021-03-15,5.8766665
2021-03-16,3.8399994
2021-03-17,4.4666667
2021-03-18,3.2825
2021-03-19,3.3491666
2021-03-20,2.7808332
2021-03-21,4.2391667
2021-03-22,4.0875
2021-03-23,6.4016666
2021-03-24,8.5425005
2021-03-25,7.910834
2021-03-26,8.994166
2021-03-27,7.1299996
2021-03-28,8.861667
2021-03-29,12.539166
2021-03-30,14.1375
2021-03-31,16.032501
2021-04-01,15.2891655
2021-04-02,9.727499
2021-04-03,6.5925
2021-04-04,6.4575
2021-04-05,4.1158333
2021-04-06,0.73333335
2021-04-07,2.2975
2021-04-08,5.2708335
2021-04-09,9.2325
2021-04-10,10.035
2021-04-11,6.9391665
2021-04-12,3.6083333
2021-04-13,4.420833
2021-04-14,3.4183333
2021-04-15,3.6808336
2021-04-16,3.6599998
2021-04-17,7.263334
2021-04-18,8.293333
2021-04-19,8.305834
2021-04-20,9.812501
2021-04-21,11.452499
2021-04-22,9.8075
2021-04-23,9.906665
2021-04-24,10.854167
2021-04-25,9.84
2021-04-26,9.8125
2021-04-27,9.970834
2021-04-28,10.851666
2021-04-29,9.751667
2021-04-30,6.6124997
2021-05-01,7.6075006
2021-05-02,7.7924995
2021-05-03,8.0
2021-05-04,9.550833
2021-05-05,7.6275
2021-05-06,6.945833
2021-05-07,8.406667
2021-05-08,11.947498
2021-05-09,18.37
2021-05-10,16.460001
2021-05-11,12.259167
2021-05-12,11.148334
2021-05-13,10.4625
2021-05-14,10.574166
2021-05-15,9.996667
2021-05-16,11.8533325
2021-05-17,11.1325
2021-05-18,10.641666
2021-05-19,9.156667
2021-05-20,11.115833
2021-05-21,12.86
2021-05-22,11.138332
2021-05-23,11.229167
2021-05-24,11.06
2021-05-25,9.795833
2021-05-26,10.474999
2021-05-27,11.7074995
2021-05-28,12.6225
2021-05-29,14.580834
2021-05-30,14.605832
2021-05-31,15.598334
2021-06-01,16.675833
2021-06-02,18.749166
2021-06-03,19.9225
2021-06-04,19.269999
2021-06-05,15.397498
2021-06-06,15.034165
2021-06-07,16.726667
2021-06-08,18.449999
2021-06-09,19.6975
2021-06-10,19.909166
2021-06-11,20.831667
2021-06-12,18.935
2021-06-13,18.042501
2021-06-14,19.835833
2021-06-15,21.521667
2021-06-16,23.323334
2021-06-17,24.788332
2021-06-18,24.014168
2021-06-19,22.838333
2021-06-20,21.159164
2021-06-21,19.993334
2021-06-22,16.897501
2021-06-23,17.573332
2021-06-24,15.6224985
2021-06-25,16.740831
2021-06-26,18.6675
2021-06-27,19.194164
2021-06-28,20.190832
2021-06-29,16.422503
2021-06-30,14.412498
2021-07-01,15.625833
2021-07-02,17.416666
2021-07-03,19.192501
2021-07-04,18.24
2021-07-05,18.055834
2021-07-06,18.0275
2021-07-07,17.504166
2021-07-08,17.435833
2021-07-09,17.417498
2021-07-10,17.9425
2021-07-11,17.7525
2021-07-12,17.338333
2021-07-13,16.268333
2021-07-14,15.105
2021-07-15,16.361666
2021-07-16,17.313334
2021-07-17,18.674166
2021-07-18,20.726665
2021-07-19,20.679167
2021-07-20,18.788334
2021-07-21,19.740833
2021-07-22,19.971666
2021-07-23,20.759998
2021-07-24,19.906666
2021-07-25,18.866665
2021-07-26,18.549166
2021-07-27,17.575834
2021-07-28,17.9125
2021-07-29,17.481665
2021-07-30,18.216665
2021-07-31,16.734167
2021-08-01,16.683332
2021-08-02,16.525
2021-08-03,15.484166
2021-08-04,16.118332
2021-08-05,17.9675
2021-08-06,17.845
2021-08-07,16.730833
2021-08-08,15.835002
2021-08-09,16.739998
2021-08-10,18.245832
2021-08-11,20.049166
2021-08-12,21.544998
2021-08-13,22.555
2021-08-14,22.101667
2021-08-15,22.042501
2021-08-16,18.520832
2021-08-17,14.119166
2021-08-18,16.351665
2021-08-19,17.44333
2021-08-20,17.603334
2021-08-21,19.500834
2021-08-22,18.516665
2021-08-23,17.6075
2021-08-24,17.011665
2021-08-25,16.43
2021-08-26,15.397499
2021-08-27,14.62
2021-08-28,14.564999
2021-08-29,14.578332
2021-08-30,16.473331
2021-08-31,16.141666
2021-09-01,15.563333
2021-09-02,16.672499
2021-09-03,18.135834
