time,DE80L
2021-08-21,18.19125
2021-08-22,17.57375
2021-08-23,17.64125
2021-08-24,17.14375
2021-08-25,17.00625
2021-08-26,16.16375
2021-08-27,15.549999
2021-08-28,15.9725
2021-08-29,15.1525
2021-08-30,16.043749
2021-08-31,16.17
2021-09-01,16.123749
2021-09-02,16.638752
2021-09-03,16.696249
2021-09-04,16.56625
2021-09-05,18.05375
2021-09-06,19.78375
2021-09-07,20.988749
2021-09-08,21.463749
2021-09-09,20.1325
2021-09-10,19.748749
2021-09-11,18.69875
2021-09-12,15.90625
2021-09-13,16.2125
2021-09-14,17.332499
2021-09-15,17.2375
2021-09-16,16.36
2021-09-17,16.65375
2021-09-18,18.231249
2021-09-19,17.541248
2021-09-20,15.708751
2021-09-21,15.174999
2021-09-22,15.784999
2021-09-23,16.3075
2021-09-24,17.387499
2021-09-25,17.68375
2021-09-26,17.35
2021-09-27,15.924999
2021-09-28,14.375
2021-09-29,12.33625
2021-09-30,11.541249
2021-10-01,15.04375
2021-10-02,10.489999
2021-10-03,12.748749
2021-10-04,13.365
2021-10-05,12.47375
2021-10-06,12.619999
2021-10-07,14.277499
2021-10-08,15.33
2021-10-09,13.39125
2021-10-10,13.30625
2021-10-11,11.602501
2021-10-12,11.776249
2021-10-13,12.094999
2021-10-14,12.845
2021-10-15,11.73
2021-10-16,11.196249
2021-10-17,12.409999
2021-10-18,12.838749
2021-10-19,17.81
2021-10-20,15.161249
2021-10-21,9.233749
2021-10-22,8.78125
2021-10-23,10.43875
2021-10-24,11.978749
2021-10-25,12.65125
2021-10-26,11.339999
2021-10-27,14.58
2021-10-28,13.79375
2021-10-29,12.98375
2021-10-30,11.193749
2021-10-31,9.82125
2021-11-01,10.483749
2021-11-02,7.4287496
2021-11-03,6.0687494
2021-11-04,7.5912495
2021-11-05,6.5950003
2021-11-06,9.881249
2021-11-07,9.934999
2021-11-08,6.9325
2021-11-09,11.376249
2021-11-10,11.341249
2021-11-11,11.157499
2021-11-12,10.789999
2021-11-13,11.76125
2021-11-14,10.8525
2021-11-15,9.8425
2021-11-16,8.2074995
2021-11-17,9.24
2021-11-18,9.025
2021-11-19,10.805
2021-11-20,9.503749
2021-11-21,7.12
2021-11-22,6.23
2021-11-23,5.3737497
2021-11-24,5.0762496
2021-11-25,4.75125
2021-11-26,4.77125
2021-11-27,3.1825
2021-11-28,1.2375
2021-11-29,0.61499995
2021-11-30,7.08375
2021-12-01,8.872499
2021-12-02,2.77125
2021-12-03,4.01875
2021-12-04,5.0950003
2021-12-05,4.825
2021-12-06,3.65625
2021-12-07,3.4674997
2021-12-08,5.5925
2021-12-09,5.54
2021-12-10,5.30875
2021-12-11,3.78125
2021-12-12,10.094999
2021-12-13,10.20875
2021-12-14,9.683749
2021-12-15,9.309999
2021-12-16,8.88625
2021-12-17,6.35
2021-12-18,6.27125
2021-12-19,4.4125
2021-12-20,5.3875
2021-12-21,3.5149999
2021-12-22,1.3337499
2021-12-23,5.5099998
2021-12-24,7.07625
2021-12-25,5.6887503
2021-12-26,5.725
2021-12-27,7.2462497
2021-12-28,9.025
2021-12-29,8.94875
2021-12-30,11.205
2021-12-31,13.0625
