time,FRH04
2021-01-01,-0.5204167
2021-01-02,-0.25416666
2021-01-03,0.13375
2021-01-04,0.28666663
2021-01-05,1.7162501
2021-01-06,1.5733331
2021-01-07,0.12416666
2021-01-08,0.33624998
2021-01-09,0.37500003
2021-01-10,0.17083333
2021-01-11,0.028333334
2021-01-12,0.75125
2021-01-13,0.123333335
2021-01-14,-0.37958336
2021-01-15,-1.8241667
2021-01-16,-3.0983334
2021-01-17,-6.472916
2021-01-18,-8.398334
2021-01-19,-0.93291664
2021-01-20,3.56125
2021-01-21,6.365
2021-01-22,6.2895837
2021-01-23,1.9745833
2021-01-24,0.26791668
2021-01-25,0.36874998
2021-01-26,0.53124994
2021-01-27,0.50916666
2021-01-28,0.29000002
2021-01-29,-1.4874998
2021-01-30,-1.7045833
2021-01-31,-3.4162502
2021-02-01,-3.9537497
2021-02-02,-1.3116666
2021-02-03,1.1
2021-02-04,0.7475
2021-02-05,-2.5600002
2021-02-06,-4.164167
2021-02-07,-7.20875
2021-02-08,-8.866666
2021-02-09,-7.3541665
2021-02-10,-8.3637495
2021-02-11,-6.028332
2021-02-12,-6.567499
2021-02-13,-2.6770833
2021-02-14,-3.0258331
2021-02-15,-5.5291667
2021-02-16,-2.3391666
2021-02-17,1.3808333
2021-02-18,2.1458333
2021-02-19,3.0108335
2021-02-20,3.8316662
2021-02-21,5.995833
2021-02-22,5.432916
2021-02-23,6.5924993
2021-02-24,10.837916
2021-02-25,10.218332
2021-02-26,7.7720833
2021-02-27,5.234583
2021-02-28,3.699583
2021-03-01,4.3091664
2021-03-02,3.6870832
2021-03-03,4.8766665
2021-03-04,3.7575
2021-03-05,0.42874995
2021-03-06,0.47875
2021-03-07,2.5824997
2021-03-08,0.0037499964
2021-03-09,-1.295
2021-03-10,-0.13625
2021-03-11,2.4420831
2021-03-12,6.214583
2021-03-13,5.4212494
2021-03-14,4.5112505
2021-03-15,4.7599998
2021-03-16,3.6541665
2021-03-17,3.2133331
2021-03-18,1.4620833
2021-03-19,0.26
2021-03-20,-0.29541665
2021-03-21,3.3041666
2021-03-22,3.3670828
2021-03-23,5.092083
2021-03-24,6.468333
2021-03-25,7.034167
2021-03-26,8.139999
2021-03-27,8.513333
2021-03-28,6.27
2021-03-29,10.555417
2021-03-30,14.108333
2021-03-31,12.956665
2021-04-01,10.2925005
2021-04-02,4.8108335
2021-04-03,4.050833
2021-04-04,3.9008331
2021-04-05,3.4049997
2021-04-06,2.67375
2021-04-07,2.7583332
2021-04-08,4.4024997
2021-04-09,6.6266656
2021-04-10,6.0875
2021-04-11,11.111667
2021-04-12,8.549583
2021-04-13,4.540833
2021-04-14,4.290833
2021-04-15,3.675833
2021-04-16,5.044166
2021-04-17,7.789999
2021-04-18,8.20375
2021-04-19,10.051667
2021-04-20,9.205
2021-04-21,9.263333
2021-04-22,6.5887504
2021-04-23,6.587916
2021-04-24,6.5695825
2021-04-25,4.4279165
2021-04-26,3.4129164
2021-04-27,4.7245836
2021-04-28,8.542499
2021-04-29,10.100416
2021-04-30,8.0275
2021-05-01,6.3579164
2021-05-02,7.009582
2021-05-03,6.674167
2021-05-04,8.382083
2021-05-05,9.6433325
2021-05-06,7.835833
2021-05-07,5.9483323
2021-05-08,7.9366665
2021-05-09,15.144168
2021-05-10,19.254583
2021-05-11,21.007082
2021-05-12,19.2725
2021-05-13,13.954582
2021-05-14,11.457084
2021-05-15,12.5650015
2021-05-16,12.847916
2021-05-17,12.789166
2021-05-18,12.452084
2021-05-19,11.4037485
2021-05-20,10.81375
2021-05-21,13.267918
2021-05-22,12.586667
2021-05-23,12.100417
2021-05-24,13.328748
2021-05-25,14.094998
2021-05-26,11.339166
2021-05-27,11.860833
2021-05-28,11.46125
2021-05-29,11.844584
2021-05-30,11.7425
2021-05-31,12.49125
2021-06-01,14.145833
2021-06-02,15.97375
2021-06-03,17.03625
2021-06-04,17.456667
2021-06-05,17.925833
2021-06-06,17.510416
2021-06-07,17.821667
2021-06-08,18.002083
2021-06-09,17.790419
2021-06-10,18.148333
2021-06-11,19.087915
2021-06-12,17.675
2021-06-13,14.160417
2021-06-14,16.144583
2021-06-15,18.104998
2021-06-16,16.201666
2021-06-17,21.684584
2021-06-18,25.272919
2021-06-19,26.433334
2021-06-20,27.113749
2021-06-21,26.428331
2021-06-22,21.45125
2021-06-23,17.847502
2021-06-24,17.241251
2021-06-25,17.837915
2021-06-26,17.816668
2021-06-27,17.941664
2021-06-28,20.180834
2021-06-29,22.3375
2021-06-30,21.5625
2021-07-01,17.631666
2021-07-02,18.9275
2021-07-03,18.517082
2021-07-04,20.003332
2021-07-05,21.220417
2021-07-06,21.63833
2021-07-07,20.965834
2021-07-08,17.714167
2021-07-09,19.964582
2021-07-10,19.065
2021-07-11,20.226665
2021-07-12,21.19
2021-07-13,22.802916
2021-07-14,23.82042
2021-07-15,23.16333
2021-07-16,23.084167
