time,FRD12
2021-08-17,21.905556
2021-08-18,20.199999
2021-08-19,20.404442
2021-08-20,21.605555
2021-08-21,22.70222
2021-08-22,24.291111
2021-08-23,22.097778
2021-08-24,19.797777
2021-08-25,17.84
2021-08-26,18.022224
2021-08-27,16.59111
2021-08-28,15.238888
2021-08-29,15.555555
2021-08-30,16.157778
2021-08-31,18.22111
2021-09-01,18.045555
2021-09-02,17.613335
2021-09-03,17.773333
2021-09-04,18.554443
2021-09-05,18.736668
2021-09-06,18.462221
2021-09-07,17.926666
2021-09-08,17.946665
2021-09-09,18.117777
2021-09-10,18.529999
2021-09-11,19.146666
2021-09-12,19.900002
2021-09-13,20.597778
2021-09-14,21.277779
2021-09-15,23.097778
2021-09-16,22.983334
2021-09-17,20.49
2021-09-18,17.464443
2021-09-19,17.353333
2021-09-20,13.984445
2021-09-21,13.183332
2021-09-22,12.783332
2021-09-23,13.324444
2021-09-24,16.513332
2021-09-25,18.087778
2021-09-26,19.614445
2021-09-27,20.595554
2021-09-28,19.004446
2021-09-29,18.00222
2021-09-30,15.882222
2021-10-01,13.217777
2021-10-02,14.193333
2021-10-03,16.613335
2021-10-04,18.847778
2021-10-05,18.751112
2021-10-06,16.28222
2021-10-07,12.469999
2021-10-08,10.84
2021-10-09,9.382222
2021-10-10,7.3144436
2021-10-11,8.991111
2021-10-12,8.673333
2021-10-13,7.703333
2021-10-14,6.784445
2021-10-15,7.8900003
2021-10-16,9.585556
2021-10-17,9.494444
2021-10-18,9.172222
2021-10-19,10.111111
2021-10-20,12.923333
2021-10-21,16.455557
2021-10-22,13.191112
2021-10-23,10.393333
2021-10-24,7.3099995
2021-10-25,6.141111
2021-10-26,6.953333
2021-10-27,8.114445
2021-10-28,6.841111
2021-10-29,6.67
2021-10-30,6.3144445
2021-10-31,8.56
2021-11-01,11.994444
2021-11-02,10.514444
2021-11-03,10.667777
2021-11-04,14.509999
2021-11-05,9.082222
2021-11-06,8.287777
2021-11-07,9.398889
2021-11-08,8.232222
2021-11-09,8.1888895
2021-11-10,6.544444
2021-11-11,6.2599998
2021-11-12,5.7466664
2021-11-13,7.5577774
2021-11-14,7.8166676
2021-11-15,7.2122226
2021-11-16,6.3433332
2021-11-17,6.9855556
2021-11-18,7.441111
2021-11-19,5.9355555
2021-11-20,6.99
2021-11-21,6.4877777
2021-11-22,5.293333
2021-11-23,6.3233333
2021-11-24,2.772222
2021-11-25,5.1722217
2021-11-26,5.874444
2021-11-27,5.6677775
2021-11-28,6.681111
2021-11-29,2.4977777
2021-11-30,2.4977777
2021-12-01,8.402223
2021-12-02,8.707777
2021-12-03,4.4677777
2021-12-04,2.5122223
2021-12-05,4.2944446
2021-12-06,3.9511108
2021-12-07,1.3666666
2021-12-08,1.9277778
2021-12-09,1.9288888
2021-12-10,1.7566667
2021-12-11,2.77
2021-12-12,1.9877777
2021-12-13,2.4166667
2021-12-14,4.5633335
2021-12-15,5.3333335
2021-12-16,5.1611114
2021-12-17,6.082222
2021-12-18,3.7066667
2021-12-19,4.021111
2021-12-20,2.9455557
2021-12-21,1.0133333
2021-12-22,0.5711111
2021-12-23,1.1600001
2021-12-24,6.591111
2021-12-25,10.062222
2021-12-26,3.542222
2021-12-27,1.7922221
2021-12-28,3.8977776
2021-12-29,5.8766665
2021-12-30,7.138889
2021-12-31,8.6866665
