time,DE406
2021-01-01,2.1699998
2021-01-02,0.59
2021-01-03,0.96
2021-01-04,1.5799999
2021-01-05,3.1899998
2021-01-06,1.79
2021-01-07,-0.57
2021-01-08,-0.22999999
2021-01-09,-1.68
2021-01-10,0.47
2021-01-11,6.0899997
2021-01-12,7.19
2021-01-13,8.11
2021-01-14,7.94
2021-01-15,4.2799997
2021-01-16,3.9199998
2021-01-17,4.06
2021-01-18,6.49
2021-01-19,8.01
2021-01-20,4.0299997
2021-01-21,3.26
2021-01-22,2.35
2021-01-23,1.01
2021-01-24,-0.14
2021-01-25,1.37
2021-01-26,4.29
2021-01-27,8.11
2021-01-28,9.86
2021-01-29,8.04
2021-01-30,4.5
2021-01-31,3.0
2021-02-01,4.5899997
2021-02-02,6.95
2021-02-03,7.29
2021-02-04,8.15
2021-02-05,5.13
2021-02-06,4.45
2021-02-07,3.74
2021-02-08,2.4099998
2021-02-09,1.18
2021-02-10,1.39
2021-02-11,1.4599999
2021-02-12,2.79
2021-02-13,4.7799997
2021-02-14,7.0
2021-02-15,10.07
2021-02-16,9.559999
2021-02-17,8.16
2021-02-18,6.08
2021-02-19,8.309999
2021-02-20,9.71
2021-02-21,9.33
2021-02-22,7.35
2021-02-23,9.78
2021-02-24,10.09
2021-02-25,7.0899997
2021-02-26,6.25
2021-02-27,7.0299997
2021-02-28,5.96
2021-03-01,5.17
2021-03-02,3.05
2021-03-03,3.52
2021-03-04,4.2999997
2021-03-05,4.43
2021-03-06,2.84
2021-03-07,4.0099998
2021-03-08,6.3999996
2021-03-09,8.03
2021-03-10,10.0199995
2021-03-11,6.7599998
2021-03-12,4.93
2021-03-13,5.49
2021-03-14,7.1099997
2021-03-15,9.59
2021-03-16,11.7
2021-03-17,7.5699997
2021-03-18,10.49
2021-03-19,8.47
2021-03-20,7.8799996
2021-03-21,9.51
2021-03-22,8.74
2021-03-23,9.88
2021-03-24,8.429999
2021-03-25,9.25
2021-03-26,5.6299996
2021-03-27,6.69
2021-03-28,10.53
2021-03-29,14.309999
2021-03-30,12.66
2021-03-31,10.32
2021-04-01,8.38
2021-04-02,7.39
2021-04-03,5.5299997
2021-04-04,6.5099998
2021-04-05,4.44
2021-04-06,3.05
2021-04-07,4.29
2021-04-08,7.5299997
2021-04-09,5.87
2021-04-10,2.35
2021-04-11,2.9199998
2021-04-12,6.23
2021-04-13,6.06
2021-04-14,6.83
2021-04-15,6.48
2021-04-16,6.0299997
2021-04-17,6.3999996
2021-04-18,9.33
2021-04-19,9.0
2021-04-20,9.55
2021-04-21,8.62
2021-04-22,7.89
2021-04-23,8.13
2021-04-24,9.5199995
2021-04-25,8.08
2021-04-26,8.32
2021-04-27,9.34
2021-04-28,8.3
2021-04-29,5.6099997
2021-04-30,4.65
2021-05-01,5.2599998
2021-05-02,7.2599998
2021-05-03,9.139999
2021-05-04,7.68
2021-05-05,6.12
2021-05-06,5.4
2021-05-07,6.0499997
2021-05-08,11.84
2021-05-09,12.11
2021-05-10,12.25
2021-05-11,10.65
2021-05-12,7.54
2021-05-13,8.47
2021-05-14,9.059999
2021-05-15,10.24
2021-05-16,9.849999
2021-05-17,9.79
2021-05-18,9.44
2021-05-19,10.4
2021-05-20,11.309999
2021-05-21,9.91
2021-05-22,8.22
2021-05-23,9.66
2021-05-24,8.57
2021-05-25,10.66
2021-05-26,11.059999
2021-05-27,11.309999
2021-05-28,12.57
2021-05-29,13.94
2021-05-30,14.349999
2021-05-31,14.0199995
2021-06-01,16.0
2021-06-02,15.23
2021-06-03,15.929999
2021-06-04,14.12
2021-06-05,14.63
2021-06-06,11.96
2021-06-07,14.049999
2021-06-08,15.799999
2021-06-09,18.01
2021-06-10,18.02
2021-06-11,16.46
2021-06-12,15.16
2021-06-13,18.65
2021-06-14,14.9
2021-06-15,14.679999
2021-06-16,14.63
2021-06-17,13.37
2021-06-18,10.73
2021-06-19,11.63
2021-06-20,14.03
2021-06-21,13.599999
2021-06-22,11.55
2021-06-23,14.28
2021-06-24,15.059999
2021-06-25,11.87
2021-06-26,12.009999
2021-06-27,13.44
2021-06-28,15.13
2021-06-29,16.42
2021-06-30,15.04
2021-07-01,14.509999
2021-07-02,15.259999
2021-07-03,16.31
2021-07-04,17.23
2021-07-05,15.03
2021-07-06,13.639999
2021-07-07,16.26
2021-07-08,15.82
2021-07-09,15.969999
2021-07-10,16.38
2021-07-11,14.73
2021-07-12,17.26
2021-07-13,15.94
2021-07-14,16.82
2021-07-15,19.359999
2021-07-16,19.949999
2021-07-17,20.63
2021-07-18,20.08
2021-07-19,19.609999
2021-07-20,19.199999
2021-07-21,19.93
2021-07-22,19.66
2021-07-23,19.97
2021-07-24,17.47
2021-07-25,17.279999
2021-07-26,15.48
2021-07-27,17.08
2021-07-28,14.37
2021-07-29,14.46
2021-07-30,15.679999
2021-07-31,15.889999
2021-08-01,15.099999
2021-08-02,12.2699995
2021-08-03,14.0199995
2021-08-04,16.23
2021-08-05,17.449999
2021-08-06,16.09
2021-08-07,15.4
2021-08-08,16.39
2021-08-09,14.73
2021-08-10,15.969999
2021-08-11,17.48
2021-08-12,14.62
2021-08-13,16.07
2021-08-14,14.559999
2021-08-15,16.02
2021-08-16,14.34
2021-08-17,15.559999
2021-08-18,14.74
2021-08-19,15.38
2021-08-20,17.08
2021-08-21,16.94
2021-08-22,16.42
2021-08-23,15.45
2021-08-24,16.46
2021-08-25,15.94
2021-08-26,16.38
2021-08-27,15.61
2021-08-28,14.589999
2021-08-29,13.79
2021-08-30,15.11
2021-08-31,14.28
2021-09-01,15.259999
2021-09-02,12.45
2021-09-03,13.53
2021-09-04,15.74
2021-09-05,17.57
2021-09-06,18.31
2021-09-07,17.779999
2021-09-08,18.47
2021-09-09,18.66
2021-09-10,17.449999
2021-09-11,16.69
2021-09-12,13.929999
2021-09-13,13.91
2021-09-14,16.699999
2021-09-15,16.23
2021-09-16,14.799999
2021-09-17,16.42
2021-09-18,13.73
2021-09-19,14.58
2021-09-20,13.4
2021-09-21,14.5199995
2021-09-22,17.109999
2021-09-23,15.71
2021-09-24,16.57
2021-09-25,19.02
2021-09-26,17.58
2021-09-27,12.28
2021-09-28,11.57
2021-09-29,10.37
2021-09-30,12.34
2021-10-01,10.98
2021-10-02,10.8
2021-10-03,10.889999
2021-10-04,11.28
2021-10-05,10.849999
2021-10-06,12.389999
2021-10-07,15.54
2021-10-08,16.98
2021-10-09,15.87
2021-10-10,11.62
2021-10-11,9.83
2021-10-12,11.33
2021-10-13,11.99
2021-10-14,12.4
2021-10-15,10.33
2021-10-16,11.82
2021-10-17,14.57
2021-10-18,15.73
2021-10-19,16.26
2021-10-20,10.49
2021-10-21,7.6699996
2021-10-22,9.23
2021-10-23,11.259999
2021-10-24,14.13
2021-10-25,11.179999
2021-10-26,12.7
2021-10-27,15.63
2021-10-28,13.91
2021-10-29,10.69
2021-10-30,8.57
2021-10-31,9.22
2021-11-01,8.679999
2021-11-02,6.8599997
2021-11-03,6.48
2021-11-04,6.3999996
2021-11-05,7.8799996
2021-11-06,11.04
2021-11-07,9.059999
2021-11-08,10.3
2021-11-09,12.69
2021-11-10,9.099999
2021-11-11,9.66
2021-11-12,11.759999
2021-11-13,11.059999
2021-11-14,11.37
2021-11-15,9.929999
2021-11-16,9.0199995
2021-11-17,9.44
2021-11-18,11.15
2021-11-19,11.24
2021-11-20,10.44
2021-11-21,4.69
2021-11-22,3.29
2021-11-23,3.33
2021-11-24,4.74
2021-11-25,4.15
2021-11-26,4.2799997
2021-11-27,3.6699998
2021-11-28,2.7
2021-11-29,5.6099997
2021-11-30,7.71
2021-12-01,6.2799997
2021-12-02,4.94
2021-12-03,4.5
2021-12-04,4.2
2021-12-05,4.21
2021-12-06,4.2799997
2021-12-07,5.37
2021-12-08,4.0699997
2021-12-09,5.94
2021-12-10,4.9
2021-12-11,7.22
2021-12-12,10.7
2021-12-13,6.56
2021-12-14,4.75
2021-12-15,7.74
2021-12-16,8.42
2021-12-17,6.3799996
2021-12-18,5.75
2021-12-19,4.5499997
2021-12-20,5.8799996
2021-12-21,5.89
2021-12-22,8.36
2021-12-23,9.33
2021-12-24,6.94
2021-12-25,7.14
2021-12-26,8.0
2021-12-27,5.38
2021-12-28,9.559999
2021-12-29,8.66
2021-12-30,11.91
2021-12-31,13.04
