time,SI032
2021-01-01,13.12
2021-01-02,10.13
2021-01-03,10.849999
2021-01-04,12.9
2021-01-05,11.349999
2021-01-06,9.429999
2021-01-07,11.23
2021-01-08,8.28
2021-01-09,6.79
2021-01-10,6.46
2021-01-11,7.21
2021-01-12,8.82
2021-01-13,7.2999997
2021-01-14,5.42
2021-01-15,3.97
2021-01-16,5.22
2021-01-17,3.6999998
2021-01-18,3.29
2021-01-19,0.0
2021-01-20,-0.39999998
2021-01-21,-0.049999997
2021-01-22,7.5299997
2021-01-23,9.4
2021-01-24,12.78
2021-01-25,11.95
2021-01-26,8.3
2021-01-27,8.36
2021-01-28,6.75
2021-01-29,4.0699997
2021-01-30,8.38
2021-01-31,9.63
2021-02-01,4.8199997
2021-02-02,5.48
2021-02-03,7.2
2021-02-04,8.96
2021-02-05,7.99
2021-02-06,6.93
2021-02-07,6.48
2021-02-08,9.69
2021-02-09,12.98
2021-02-10,13.009999
2021-02-11,12.799999
2021-02-12,8.59
2021-02-13,
2021-02-14,
2021-02-15,3.3
2021-02-16,-1.1
2021-02-17,-3.9199998
2021-02-18,4.29
2021-02-19,0.26
2021-02-20,-1.3399999
2021-02-21,3.28
2021-02-22,2.59
2021-02-23,4.75
2021-02-24,3.1799998
2021-02-25,6.98
2021-02-26,11.61
2021-02-27,11.09
2021-02-28,9.08
2021-03-01,3.55
2021-03-02,4.63
2021-03-03,3.6
2021-03-04,8.639999
2021-03-05,10.98
2021-03-06,9.429999
2021-03-07,1.76
2021-03-08,6.41
2021-03-09,6.16
2021-03-10,4.94
2021-03-11,4.2799997
2021-03-12,1.24
2021-03-13,3.79
2021-03-14,5.24
2021-03-15,11.179999
2021-03-16,10.71
2021-03-17,8.059999
2021-03-18,7.14
2021-03-19,7.7
2021-03-20,7.06
2021-03-21,7.0299997
2021-03-22,8.24
2021-03-23,7.22
2021-03-24,2.6599998
2021-03-25,3.35
2021-03-26,6.8399997
2021-03-27,7.77
2021-03-28,9.23
2021-03-29,8.34
2021-03-30,6.75
2021-03-31,6.21
2021-04-01,9.61
2021-04-02,12.219999
2021-04-03,9.86
2021-04-04,10.95
2021-04-05,7.95
2021-04-06,12.759999
2021-04-07,13.049999
2021-04-08,8.74
2021-04-09,7.52
2021-04-10,7.87
2021-04-11,6.95
2021-04-12,7.58
2021-04-13,13.23
2021-04-14,12.9
2021-04-15,10.94
2021-04-16,10.719999
2021-04-17,9.54
2021-04-18,13.549999
2021-04-19,14.32
2021-04-20,14.17
2021-04-21,13.049999
2021-04-22,12.969999
2021-04-23,14.46
2021-04-24,13.0199995
2021-04-25,11.88
2021-04-26,13.36
2021-04-27,13.78
2021-04-28,11.8
2021-04-29,13.84
2021-04-30,15.839999
2021-05-01,18.23
2021-05-02,20.64
2021-05-03,22.88
2021-05-04,17.08
2021-05-05,16.859999
2021-05-06,16.73
2021-05-07,16.869999
2021-05-08,18.66
2021-05-09,13.599999
2021-05-10,10.429999
2021-05-11,14.21
2021-05-12,13.33
2021-05-13,15.25
2021-05-14,17.9
2021-05-15,18.0
2021-05-16,17.0
2021-05-17,18.56
2021-05-18,17.13
2021-05-19,16.67
2021-05-20,17.69
2021-05-21,17.85
2021-05-22,17.59
2021-05-23,19.23
2021-05-24,18.38
2021-05-25,17.85
2021-05-26,19.63
2021-05-27,20.56
2021-05-28,19.88
2021-05-29,20.6
2021-05-30,19.98
2021-05-31,16.67
2021-06-01,14.15
2021-06-02,15.429999
2021-06-03,16.06
2021-06-04,17.029999
2021-06-05,17.71
2021-06-06,17.31
2021-06-07,18.76
2021-06-08,19.33
2021-06-09,20.55
2021-06-10,20.77
2021-06-11,20.35
2021-06-12,20.14
2021-06-13,20.029999
2021-06-14,18.279999
2021-06-15,19.31
2021-06-16,19.779999
2021-06-17,19.039999
2021-06-18,20.38
2021-06-19,19.619999
2021-06-20,20.17
2021-06-21,22.199999
2021-06-22,21.67
2021-06-23,21.59
2021-06-24,24.369999
2021-06-25,25.859999
2021-06-26,25.93
2021-06-27,24.59
2021-06-28,23.539999
2021-06-29,24.58
2021-06-30,25.029999
2021-07-01,25.56
2021-07-02,25.41
2021-07-03,23.529999
2021-07-04,21.939999
2021-07-05,23.279999
2021-07-06,23.24
2021-07-07,22.609999
2021-07-08,22.68
2021-07-09,22.31
2021-07-10,25.15
2021-07-11,27.099998
2021-07-12,23.769999
2021-07-13,23.91
2021-07-14,24.689999
2021-07-15,27.25
2021-07-16,26.949999
2021-07-17,27.449999
2021-07-18,27.539999
2021-07-19,28.859999
2021-07-20,27.23
2021-07-21,24.68
2021-07-22,22.859999
2021-07-23,21.42
2021-07-24,23.619999
2021-07-25,24.58
2021-07-26,24.42
2021-07-27,26.369999
2021-07-28,27.519999
2021-07-29,27.96
2021-07-30,25.519999
2021-07-31,26.41
2021-08-01,25.699999
2021-08-02,30.57
2021-08-03,26.64
2021-08-04,26.07
2021-08-05,28.18
2021-08-06,29.06
2021-08-07,24.529999
2021-08-08,23.9
2021-08-09,25.779999
2021-08-10,27.349998
2021-08-11,26.609999
2021-08-12,26.22
2021-08-13,23.9
2021-08-14,23.119999
2021-08-15,22.9
2021-08-16,24.99
2021-08-17,25.84
2021-08-18,25.019999
2021-08-19,23.09
2021-08-20,20.689999
2021-08-21,23.439999
2021-08-22,22.359999
2021-08-23,21.66
2021-08-24,23.9
2021-08-25,26.269999
2021-08-26,23.939999
2021-08-27,24.93
2021-08-28,23.21
2021-08-29,26.18
2021-08-30,24.609999
2021-08-31,22.92
2021-09-01,22.32
2021-09-02,21.029999
2021-09-03,17.609999
2021-09-04,20.289999
2021-09-05,21.13
2021-09-06,18.3
2021-09-07,17.9
2021-09-08,17.76
2021-09-09,19.5
2021-09-10,19.66
2021-09-11,21.34
2021-09-12,21.15
2021-09-13,20.939999
2021-09-14,21.869999
2021-09-15,22.48
2021-09-16,21.55
2021-09-17,20.789999
2021-09-18,23.23
2021-09-19,22.41
2021-09-20,20.17
2021-09-21,17.66
2021-09-22,13.71
2021-09-23,13.67
2021-09-24,13.66
2021-09-25,15.809999
2021-09-26,16.97
2021-09-27,17.09
2021-09-28,17.71
2021-09-29,14.82
2021-09-30,16.06
2021-10-01,15.28
2021-10-02,15.4
2021-10-03,13.65
2021-10-04,15.08
2021-10-05,14.65
2021-10-06,13.42
2021-10-07,14.86
2021-10-08,15.96
2021-10-09,17.859999
2021-10-10,15.2
2021-10-11,15.37
2021-10-12,16.109999
2021-10-13,16.27
2021-10-14,14.53
2021-10-15,15.11
2021-10-16,14.62
2021-10-17,15.099999
2021-10-18,15.32
2021-10-19,12.33
2021-10-20,13.24
2021-10-21,14.509999
2021-10-22,17.289999
2021-10-23,16.98
2021-10-24,14.37
2021-10-25,10.349999
2021-10-26,11.11
2021-10-27,11.49
2021-10-28,12.83
2021-10-29,14.929999
2021-10-30,13.23
2021-10-31,13.83
2021-11-01,17.19
2021-11-02,17.3
2021-11-03,16.699999
2021-11-04,17.199999
2021-11-05,21.09
2021-11-06,18.73
2021-11-07,14.219999
2021-11-08,16.38
2021-11-09,16.16
2021-11-10,7.99
2021-11-11,9.16
2021-11-12,10.07
2021-11-13,11.969999
2021-11-14,15.23
2021-11-15,12.61
2021-11-16,13.259999
2021-11-17,9.44
2021-11-18,8.63
2021-11-19,8.8
2021-11-20,10.969999
2021-11-21,9.96
2021-11-22,14.62
2021-11-23,10.849999
2021-11-24,7.95
