time,DE21A
2021-01-01,0.97499996
2021-01-02,0.48499998
2021-01-03,0.39
2021-01-04,-0.19999999
2021-01-05,0.125
2021-01-06,0.54999995
2021-01-07,-0.225
2021-01-08,0.0
2021-01-09,-0.9
2021-01-10,-1.78
2021-01-11,-2.205
2021-01-12,0.73
2021-01-13,0.68
2021-01-14,-0.06
2021-01-15,-1.635
2021-01-16,-2.44
2021-01-17,-2.295
2021-01-18,1.4949999
2021-01-19,2.17
2021-01-20,5.13
2021-01-21,7.0249996
2021-01-22,4.1549997
2021-01-23,1.3299999
2021-01-24,0.40999997
2021-01-25,-1.6949999
2021-01-26,-0.049999997
2021-01-27,0.089999996
2021-01-28,1.395
2021-01-29,4.46
2021-01-30,0.635
2021-01-31,-1.72
2021-02-01,0.54499996
2021-02-02,4.825
2021-02-03,8.440001
2021-02-04,5.3999996
2021-02-05,3.1149998
2021-02-06,0.78499997
2021-02-07,-5.135
2021-02-08,-9.224999
2021-02-09,-13.08
2021-02-10,-13.035
2021-02-11,-7.97
2021-02-12,-10.33
2021-02-13,-11.455
2021-02-14,-10.725
2021-02-15,-4.1899996
2021-02-16,2.995
2021-02-17,5.0249996
2021-02-18,3.915
2021-02-19,4.76
2021-02-20,6.125
2021-02-21,7.76
2021-02-22,4.385
2021-02-23,8.615
2021-02-24,9.73
2021-02-25,9.434999
2021-02-26,3.9099998
2021-02-27,2.75
2021-02-28,3.94
2021-03-01,3.11
2021-03-02,5.0199995
2021-03-03,5.3549995
2021-03-04,4.92
2021-03-05,1.16
2021-03-06,-1.11
2021-03-07,-0.84999996
2021-03-08,0.05
2021-03-09,0.99
2021-03-10,4.385
2021-03-11,7.38
2021-03-12,5.5649996
2021-03-13,4.795
2021-03-14,3.7549999
2021-03-15,3.5749998
2021-03-16,3.195
2021-03-17,1.2249999
2021-03-18,0.57
2021-03-19,1.015
2021-03-20,0.08499999
2021-03-21,3.8899999
2021-03-22,3.8799999
2021-03-23,4.2349997
2021-03-24,5.465
2021-03-25,7.6099997
2021-03-26,9.205
2021-03-27,4.555
2021-03-28,6.79
2021-03-29,12.075
2021-03-30,11.36
2021-03-31,12.965
2021-04-01,11.584999
2021-04-02,6.2
2021-04-03,4.6899996
2021-04-04,3.875
2021-04-05,1.76
2021-04-06,0.44
2021-04-07,0.415
2021-04-08,1.7749999
2021-04-09,6.085
2021-04-10,6.7
2021-04-11,6.85
2021-04-12,2.485
2021-04-13,1.66
2021-04-14,1.265
2021-04-15,1.655
2021-04-16,4.66
2021-04-17,4.67
2021-04-18,6.865
2021-04-19,7.075
2021-04-20,7.795
2021-04-21,9.495
2021-04-22,5.6549997
2021-04-23,5.38
2021-04-24,5.97
2021-04-25,4.515
2021-04-26,5.2
2021-04-27,7.4349995
2021-04-28,11.085
2021-04-29,9.825
2021-04-30,7.435
2021-05-01,9.375
2021-05-02,6.95
2021-05-03,7.475
2021-05-04,8.85
2021-05-05,5.29
2021-05-06,5.795
2021-05-07,5.66
2021-05-08,8.68
2021-05-09,18.075
2021-05-10,16.67
2021-05-11,13.344999
2021-05-12,12.055
2021-05-13,11.58
2021-05-14,12.24
2021-05-15,10.275
2021-05-16,9.95
2021-05-17,9.805
2021-05-18,9.405
2021-05-19,9.975
2021-05-20,11.545
2021-05-21,13.245
2021-05-22,9.715
2021-05-23,9.855
2021-05-24,12.18
2021-05-25,8.405001
2021-05-26,8.605
2021-05-27,9.434999
2021-05-28,11.639999
2021-05-29,10.945
2021-05-30,12.2
2021-05-31,13.975
2021-06-01,15.315
2021-06-02,17.56
2021-06-03,19.49
2021-06-04,18.970001
2021-06-05,18.21
2021-06-06,16.055
2021-06-07,16.189999
2021-06-08,17.759998
2021-06-09,17.974998
2021-06-10,18.575
2021-06-11,19.474998
2021-06-12,17.805
2021-06-13,14.625
2021-06-14,17.505001
2021-06-15,19.29
2021-06-16,21.720001
2021-06-17,24.04
2021-06-18,24.75
2021-06-19,24.86
2021-06-20,23.115
2021-06-21,19.5
2021-06-22,15.105
2021-06-23,17.35
2021-06-24,16.32
2021-06-25,17.02
2021-06-26,17.369999
2021-06-27,19.89
2021-06-28,22.255001
2021-06-29,18.785
2021-06-30,15.824999
2021-07-01,13.059999
2021-07-02,14.58
2021-07-03,17.31
2021-07-04,17.09
2021-07-05,17.130001
2021-07-06,18.02
2021-07-07,18.3
2021-07-08,17.61
2021-07-09,15.15
2021-07-10,17.01
2021-07-11,15.969999
2021-07-12,18.369999
2021-07-13,18.41
2021-07-14,15.719999
2021-07-15,16.880001
2021-07-16,17.595001
2021-07-17,19.369999
2021-07-18,19.075
2021-07-19,17.335
2021-07-20,15.5
2021-07-21,15.674999
2021-07-22,17.18
2021-07-23,18.45
2021-07-24,19.925
2021-07-25,19.48
2021-07-26,19.29
2021-07-27,18.044998
2021-07-28,17.535
2021-07-29,17.044998
2021-07-30,18.259998
2021-07-31,16.974998
2021-08-01,15.789999
2021-08-02,15.11
2021-08-03,14.15
2021-08-04,15.684999
2021-08-05,16.634998
2021-08-06,16.59
2021-08-07,16.47
2021-08-08,14.949999
2021-08-09,15.19
2021-08-10,15.0
2021-08-11,17.23
2021-08-12,18.785
2021-08-13,20.439999
2021-08-14,19.68
2021-08-15,18.654999
2021-08-16,15.115
2021-08-17,12.594999
2021-08-18,14.76
2021-08-19,16.635
2021-08-20,16.865
2021-08-21,17.704998
2021-08-22,16.02
2021-08-23,14.69
2021-08-24,12.74
2021-08-25,14.525
2021-08-26,14.014999
2021-08-27,12.565001
2021-08-28,13.775
2021-08-29,13.95
2021-08-30,14.76
2021-08-31,14.61
2021-09-01,13.205
2021-09-02,14.139999
2021-09-03,15.674999
2021-09-04,15.3949995
2021-09-05,14.5199995
2021-09-06,16.035
2021-09-07,16.465
2021-09-08,16.935
2021-09-09,18.369999
2021-09-10,19.024998
2021-09-11,17.75
2021-09-12,15.865
2021-09-13,14.424999
2021-09-14,16.989998
2021-09-15,17.805
2021-09-16,14.959999
2021-09-17,13.344999
2021-09-18,13.719999
2021-09-19,11.395
2021-09-20,9.325
2021-09-21,9.125
2021-09-22,11.33
2021-09-23,13.83
2021-09-24,15.549999
2021-09-25,14.695
2021-09-26,16.814999
2021-09-27,16.685001
2021-09-28,12.264999
2021-09-29,10.355
2021-09-30,9.24
2021-10-01,10.494999
2021-10-02,14.17
2021-10-03,17.52
2021-10-04,11.684999
2021-10-05,11.145
2021-10-06,10.355
2021-10-07,10.539999
2021-10-08,8.594999
2021-10-09,7.175
2021-10-10,5.295
2021-10-11,6.615
2021-10-12,7.46
2021-10-13,7.1499996
2021-10-14,9.12
2021-10-15,8.135
2021-10-16,5.395
2021-10-17,6.745
2021-10-18,6.6499996
2021-10-19,10.21
2021-10-20,14.08
2021-10-21,9.9
2021-10-22,6.2
2021-10-23,4.535
2021-10-24,4.06
2021-10-25,5.535
2021-10-26,9.605
2021-10-27,9.335
2021-10-28,7.04
2021-10-29,8.0199995
2021-10-30,7.19
2021-10-31,13.869999
2021-11-01,9.834999
2021-11-02,6.72
2021-11-03,6.63
2021-11-04,6.4449997
2021-11-05,6.4799995
2021-11-06,6.185
2021-11-07,6.105
2021-11-08,6.47
2021-11-09,5.135
2021-11-10,1.66
2021-11-11,0.615
2021-11-12,1.0699999
2021-11-13,4.165
2021-11-14,6.555
2021-11-15,5.005
2021-11-16,4.1
2021-11-17,4.4849997
2021-11-18,5.8050003
2021-11-19,7.665
2021-11-20,8.054999
2021-11-21,5.74
2021-11-22,2.6399999
2021-11-23,1.2149999
2021-11-24,3.6
2021-11-25,1.71
2021-11-26,1.765
2021-11-27,1.39
2021-11-28,0.375
2021-11-29,0.69499993
2021-11-30,3.1399999
2021-12-01,5.3149996
2021-12-02,1.68
2021-12-03,-0.575
2021-12-04,1.935
2021-12-05,2.53
2021-12-06,0.33999997
2021-12-07,1.3199999
2021-12-08,1.875
2021-12-09,2.045
2021-12-10,1.3299999
2021-12-11,0.004999999
2021-12-12,2.405
2021-12-13,5.3849998
2021-12-14,5.49
2021-12-15,5.7799997
2021-12-16,5.99
2021-12-17,5.42
2021-12-18,4.73
2021-12-19,5.005
