time,NO0A3
2021-01-01,3.8349998
2021-01-02,3.5637498
2021-01-03,3.72125
2021-01-04,3.76125
2021-01-05,5.1099997
2021-01-06,2.37125
2021-01-07,3.4774997
2021-01-08,0.47000003
2021-01-09,-1.4962499
2021-01-10,-2.1174998
2021-01-11,-1.5537498
2021-01-12,-0.53000003
2021-01-13,-0.5575
2021-01-14,-2.4125
2021-01-15,-2.5275
2021-01-16,-7.32375
2021-01-17,-7.5125
2021-01-18,-8.75625
2021-01-19,-8.345
2021-01-20,-1.7575
2021-01-21,2.5649998
2021-01-22,4.17375
2021-01-23,5.745
2021-01-24,6.1187496
2021-01-25,3.13625
2021-01-26,0.09624999
2021-01-27,-1.66625
2021-01-28,-1.8612498
2021-01-29,-0.83500004
2021-01-30,3.3175
2021-01-31,1.2237499
2021-02-01,0.48624998
2021-02-02,2.35875
2021-02-03,4.5275
2021-02-04,9.1875
2021-02-05,5.0287495
2021-02-06,4.7625
2021-02-07,5.125
2021-02-08,6.5049996
2021-02-09,5.02875
2021-02-10,5.72125
2021-02-11,0.31374997
2021-02-12,-8.10125
2021-02-13,-9.59375
2021-02-14,-5.67375
2021-02-15,-3.5024998
2021-02-16,-3.98625
2021-02-17,-1.8874998
2021-02-18,0.11999999
2021-02-19,-0.86249995
2021-02-20,2.6774998
2021-02-21,1.97375
2021-02-22,2.86875
2021-02-23,3.9212499
2021-02-24,5.0174994
2021-02-25,7.5325
2021-02-26,8.918749
2021-02-27,6.2075005
2021-02-28,3.8762498
2021-03-01,3.9687498
2021-03-02,4.64
2021-03-03,5.9062495
2021-03-04,5.4774995
2021-03-05,5.8812504
2021-03-06,1.7462499
2021-03-07,0.265
2021-03-08,1.205
2021-03-09,0.51624995
2021-03-10,0.375
2021-03-11,-0.39124998
2021-03-12,4.4874997
2021-03-13,6.145
2021-03-14,7.6850004
2021-03-15,5.31875
2021-03-16,3.58875
2021-03-17,3.1712499
2021-03-18,2.8149998
2021-03-19,1.05625
2021-03-20,-0.3275
2021-03-21,0.2225
2021-03-22,0.9599999
2021-03-23,1.69875
2021-03-24,2.4637501
2021-03-25,2.7199998
2021-03-26,5.4762497
2021-03-27,7.74875
2021-03-28,7.48875
2021-03-29,5.475
2021-03-30,9.39875
2021-03-31,10.9075
