time,FRC24
2021-01-01,4.745
2021-01-02,6.8224993
2021-01-03,8.6225
2021-01-04,6.16
2021-01-05,5.1525
2021-01-06,5.4849997
2021-01-07,4.0775
2021-01-08,3.1
2021-01-09,1.7049999
2021-01-10,0.6075
2021-01-11,-0.057499997
2021-01-12,-0.23499998
2021-01-13,-0.067499995
2021-01-14,0.114999995
2021-01-15,-0.07249999
2021-01-16,-1.6274999
2021-01-17,-2.915
2021-01-18,-4.305
2021-01-19,0.96999997
2021-01-20,5.7774997
2021-01-21,8.0425
2021-01-22,9.92
2021-01-23,10.9025
2021-01-24,8.525001
2021-01-25,2.9175
2021-01-26,2.0874999
2021-01-27,1.6375
2021-01-28,1.3874999
2021-01-29,6.4825
2021-01-30,8.6025
2021-01-31,4.055
2021-02-01,0.79999995
2021-02-02,1.6475
2021-02-03,7.95
2021-02-04,12.11
2021-02-05,10.559999
2021-02-06,10.17
2021-02-07,12.0375
2021-02-08,10.41
2021-02-09,7.8524995
2021-02-10,9.75
2021-02-11,0.39749998
2021-02-12,-4.0575
2021-02-13,-5.8574996
2021-02-14,-2.805
2021-02-15,-1.27
2021-02-16,-0.87749994
2021-02-17,2.6950002
2021-02-18,6.7825003
2021-02-19,7.2924995
2021-02-20,7.305
2021-02-21,6.845
2021-02-22,8.965
2021-02-23,9.559999
2021-02-24,9.295
2021-02-25,10.7275
2021-02-26,11.9175005
2021-02-27,8.42
2021-02-28,6.495
2021-03-01,5.2675004
2021-03-02,5.6075
2021-03-03,7.4925
2021-03-04,8.8975
2021-03-05,9.389999
2021-03-06,3.4075
2021-03-07,1.55
2021-03-08,4.08
2021-03-09,2.945
2021-03-10,3.49
2021-03-11,3.7675
2021-03-12,8.577499
2021-03-13,10.309999
2021-03-14,10.7
2021-03-15,4.985
2021-03-16,6.3899994
2021-03-17,5.045
2021-03-18,4.0325003
2021-03-19,2.5349998
2021-03-20,2.4875
2021-03-21,1.6899999
2021-03-22,2.8525
2021-03-23,4.4249997
2021-03-24,5.8849993
2021-03-25,5.3174996
2021-03-26,8.16
2021-03-27,11.285
2021-03-28,10.994999
2021-03-29,9.845
2021-03-30,12.384999
2021-03-31,14.23
2021-04-01,14.945
2021-04-02,15.625
2021-04-03,9.7225
2021-04-04,6.0625
2021-04-05,7.435
2021-04-06,4.2349997
2021-04-07,3.125
2021-04-08,4.4325
2021-04-09,7.66
2021-04-10,11.1275
2021-04-11,11.094999
2021-04-12,15.285
2021-04-13,6.01
2021-04-14,4.835
