time,DEE0B
2021-08-21,18.58
2021-08-22,17.5225
2021-08-23,17.324999
2021-08-24,14.997499
2021-08-25,15.102499
2021-08-26,15.227499
2021-08-27,13.73
2021-08-28,14.429999
2021-08-29,15.205
2021-08-30,16.365
2021-08-31,16.8525
2021-09-01,16.1
2021-09-02,15.497499
2021-09-03,15.174999
2021-09-04,14.419999
2021-09-05,12.764999
2021-09-06,14.6375
2021-09-07,16.84
2021-09-08,18.08
2021-09-09,20.032501
2021-09-10,20.5525
2021-09-11,18.6575
2021-09-12,17.91
2021-09-13,14.702499
2021-09-14,17.115
2021-09-15,18.7575
2021-09-16,15.795
2021-09-17,14.6825
2021-09-18,13.575
2021-09-19,13.025
2021-09-20,12.389999
2021-09-21,12.4125
2021-09-22,14.192499
2021-09-23,14.442499
2021-09-24,15.5475
2021-09-25,17.445
2021-09-26,18.1225
2021-09-27,18.4625
2021-09-28,14.0625
2021-09-29,11.959999
2021-09-30,11.75
2021-10-01,13.7925
2021-10-02,14.654999
2021-10-03,19.3725
2021-10-04,13.307499
2021-10-05,12.155
2021-10-06,12.589999
2021-10-07,11.4425
2021-10-08,10.225
2021-10-09,8.7425
2021-10-10,7.345
2021-10-11,9.977499
2021-10-12,9.092499
2021-10-13,8.5175
2021-10-14,11.5575
2021-10-15,10.485
2021-10-16,8.135
2021-10-17,9.535
2021-10-18,11.265
2021-10-19,13.202499
2021-10-20,15.887499
2021-10-21,10.6425
2021-10-22,7.4425
2021-10-23,7.2499995
2021-10-24,6.87
2021-10-25,8.93
2021-10-26,12.2225
2021-10-27,13.1325
2021-10-28,11.1275
2021-10-29,10.8475
2021-10-30,11.4475
2021-10-31,14.15
2021-11-01,11.622499
2021-11-02,7.7199993
2021-11-03,6.8249993
2021-11-04,7.1949997
2021-11-05,8.065001
2021-11-06,8.67
2021-11-07,9.21
2021-11-08,8.2675
2021-11-09,8.4225
2021-11-10,4.6775
2021-11-11,6.7324996
2021-11-12,6.7749996
2021-11-13,6.0624995
2021-11-14,6.9700003
2021-11-15,5.48
2021-11-16,4.415
2021-11-17,5.8475
2021-11-18,8.572499
2021-11-19,10.9275
2021-11-20,10.275
2021-11-21,7.065
2021-11-22,3.1225
2021-11-23,5.745
2021-11-24,6.1875
2021-11-25,4.515
2021-11-26,3.5874999
2021-11-27,3.4099998
2021-11-28,1.575
2021-11-29,2.345
2021-11-30,4.7200003
2021-12-01,7.33
2021-12-02,1.7149999
2021-12-03,1.715
2021-12-04,3.1499999
2021-12-05,3.5724998
2021-12-06,1.5699999
2021-12-07,2.005
2021-12-08,2.6274998
2021-12-09,2.2699997
2021-12-10,1.9424999
2021-12-11,0.4225
2021-12-12,4.6475
2021-12-13,8.9725
2021-12-14,7.8824997
2021-12-15,8.49
2021-12-16,8.0175
2021-12-17,6.8549995
2021-12-18,6.7999997
2021-12-19,6.375
2021-12-20,-0.35
2021-12-21,-3.3874998
2021-12-22,-3.215
2021-12-23,0.2125
2021-12-24,4.295
2021-12-25,-4.585
2021-12-26,-6.575
2021-12-27,-0.61
2021-12-28,4.7999997
2021-12-29,6.5424995
2021-12-30,11.190001
2021-12-31,13.0875
