time,DE21F
2021-01-01,1.48
2021-01-02,3.09
2021-01-03,3.27
2021-01-04,3.31
2021-01-05,3.3899999
2021-01-06,2.48
2021-01-07,1.25
2021-01-08,1.15
2021-01-09,2.27
2021-01-10,0.77
2021-01-11,2.9299998
2021-01-12,3.28
2021-01-13,2.1299999
2021-01-14,2.1399999
2021-01-15,-0.56
2021-01-16,-0.95
2021-01-17,-1.9599999
2021-01-18,0.13
2021-01-19,2.98
2021-01-20,6.85
2021-01-21,7.1099997
2021-01-22,5.27
2021-01-23,1.17
2021-01-24,0.93
2021-01-25,1.0699999
2021-01-26,1.56
2021-01-27,1.13
2021-01-28,0.63
2021-01-29,-0.69
2021-01-30,-1.01
2021-01-31,-2.47
2021-02-01,-3.48
2021-02-02,-0.78
2021-02-03,0.13
2021-02-04,0.97999996
2021-02-05,-0.62
2021-02-06,-1.64
2021-02-07,-3.87
2021-02-08,-3.3
2021-02-09,-5.2799997
2021-02-10,-2.21
2021-02-11,-3.78
2021-02-12,-5.02
2021-02-13,-4.14
2021-02-14,-4.22
2021-02-15,-3.06
2021-02-16,0.65999997
2021-02-17,3.75
2021-02-18,6.02
2021-02-19,5.31
2021-02-20,6.7799997
2021-02-21,8.75
2021-02-22,9.07
2021-02-23,11.16
2021-02-24,12.84
2021-02-25,11.15
2021-02-26,6.2599998
2021-02-27,4.63
2021-02-28,4.24
2021-03-01,3.02
2021-03-02,1.16
2021-03-03,3.6299999
2021-03-04,2.72
2021-03-05,1.6999999
2021-03-06,1.9399999
2021-03-07,3.06
2021-03-08,0.75
2021-03-09,1.09
2021-03-10,2.45
2021-03-11,6.0299997
2021-03-12,6.41
2021-03-13,4.9
2021-03-14,4.91
2021-03-15,4.31
2021-03-16,3.1499999
2021-03-17,2.44
2021-03-18,2.9099998
2021-03-19,0.84
2021-03-20,1.6999999
2021-03-21,5.04
2021-03-22,4.31
2021-03-23,5.38
2021-03-24,7.94
2021-03-25,7.33
2021-03-26,10.09
2021-03-27,6.85
2021-03-28,6.69
2021-03-29,10.95
2021-03-30,12.259999
2021-03-31,11.69
2021-04-01,6.6
2021-04-02,4.79
2021-04-03,4.85
2021-04-04,4.5699997
2021-04-05,3.6799998
2021-04-06,2.9399998
2021-04-07,3.49
2021-04-08,4.81
2021-04-09,5.93
2021-04-10,5.16
2021-04-11,6.68
2021-04-12,4.67
2021-04-13,4.46
2021-04-14,4.81
2021-04-15,5.16
2021-04-16,6.72
2021-04-17,7.72
2021-04-18,6.8999996
2021-04-19,7.56
2021-04-20,8.03
2021-04-21,7.3199997
2021-04-22,7.08
2021-04-23,7.56
2021-04-24,6.68
2021-04-25,6.0299997
2021-04-26,4.8199997
2021-04-27,5.5299997
2021-04-28,9.059999
2021-04-29,7.43
2021-04-30,7.2799997
2021-05-01,7.1299996
2021-05-02,6.94
2021-05-03,7.5
2021-05-04,8.65
2021-05-05,7.31
2021-05-06,6.92
2021-05-07,6.3799996
2021-05-08,9.099999
2021-05-09,17.72
2021-05-10,18.949999
2021-05-11,12.38
2021-05-12,11.78
2021-05-13,10.37
2021-05-14,9.65
2021-05-15,9.98
2021-05-16,11.809999
2021-05-17,11.46
2021-05-18,11.09
2021-05-19,11.139999
2021-05-20,10.87
2021-05-21,11.42
2021-05-22,11.73
2021-05-23,11.5199995
2021-05-24,15.24
2021-05-25,11.46
2021-05-26,10.65
2021-05-27,11.04
2021-05-28,12.17
2021-05-29,11.509999
2021-05-30,12.3
2021-05-31,13.7
2021-06-01,14.349999
2021-06-02,16.05
2021-06-03,19.41
2021-06-04,18.44
2021-06-05,18.93
2021-06-06,18.76
2021-06-07,17.369999
2021-06-08,17.26
2021-06-09,18.029999
2021-06-10,18.01
2021-06-11,19.189999
2021-06-12,16.789999
2021-06-13,15.21
2021-06-14,18.27
2021-06-15,16.07
2021-06-16,18.52
2021-06-17,25.07
2021-06-18,27.689999
2021-06-19,24.619999
2021-06-20,22.59
2021-06-21,18.64
2021-06-22,16.15
2021-06-23,16.24
2021-06-24,17.449999
2021-06-25,17.039999
2021-06-26,17.52
2021-06-27,18.22
2021-06-28,20.66
2021-06-29,20.609999
2021-06-30,19.91
2021-07-01,18.279999
2021-07-02,19.48
2021-07-03,16.98
2021-07-04,19.63
2021-07-05,18.89
2021-07-06,20.16
2021-07-07,20.05
2021-07-08,20.15
2021-07-09,17.779999
2021-07-10,18.029999
2021-07-11,20.15
2021-07-12,21.619999
2021-07-13,21.97
2021-07-14,22.48
2021-07-15,21.539999
2021-07-16,22.539999
2021-07-17,21.92
2021-07-18,20.109999
2021-07-19,17.48
2021-07-20,18.05
2021-07-21,18.06
2021-07-22,17.07
2021-07-23,17.47
2021-07-24,21.98
2021-07-25,23.22
2021-07-26,22.06
2021-07-27,21.109999
2021-07-28,20.41
2021-07-29,17.91
2021-07-30,18.76
2021-07-31,17.73
2021-08-01,17.0
2021-08-02,16.56
2021-08-03,16.59
2021-08-04,16.99
2021-08-05,18.66
2021-08-06,19.09
2021-08-07,18.119999
2021-08-08,17.25
2021-08-09,17.43
2021-08-10,16.26
2021-08-11,17.449999
2021-08-12,20.09
2021-08-13,21.21
2021-08-14,18.67
2021-08-15,17.91
2021-08-16,15.799999
2021-08-17,16.0
2021-08-18,16.07
2021-08-19,17.05
2021-08-20,15.79
2021-08-21,16.24
2021-08-22,16.33
2021-08-23,17.039999
2021-08-24,15.82
2021-08-25,15.19
2021-08-26,14.889999
2021-08-27,15.16
2021-08-28,15.12
2021-08-29,15.86
2021-08-30,16.22
2021-08-31,16.57
2021-09-01,17.02
2021-09-02,16.49
2021-09-03,15.5
2021-09-04,15.559999
2021-09-05,15.339999
2021-09-06,15.99
2021-09-07,16.42
2021-09-08,17.47
2021-09-09,19.689999
2021-09-10,18.56
2021-09-11,18.76
2021-09-12,18.359999
2021-09-13,15.559999
2021-09-14,15.559999
2021-09-15,15.96
2021-09-16,16.64
2021-09-17,14.48
2021-09-18,14.7
2021-09-19,12.91
2021-09-20,12.719999
2021-09-21,13.059999
2021-09-22,14.839999
2021-09-23,14.0
2021-09-24,15.2
2021-09-25,16.63
2021-09-26,18.55
2021-09-27,17.57
2021-09-28,14.799999
2021-09-29,11.969999
2021-09-30,11.69
2021-10-01,13.32
2021-10-02,13.259999
2021-10-03,18.08
2021-10-04,13.45
2021-10-05,11.219999
2021-10-06,12.58
2021-10-07,11.509999
2021-10-08,11.88
2021-10-09,9.82
2021-10-10,8.63
2021-10-11,10.99
2021-10-12,9.83
2021-10-13,10.2
2021-10-14,11.87
2021-10-15,11.79
2021-10-16,9.84
2021-10-17,9.559999
2021-10-18,10.679999
2021-10-19,12.389999
2021-10-20,15.96
2021-10-21,11.0
2021-10-22,7.85
2021-10-23,9.429999
2021-10-24,8.5199995
2021-10-25,8.01
2021-10-26,11.25
2021-10-27,13.429999
2021-10-28,12.84
2021-10-29,9.95
2021-10-30,10.26
2021-10-31,12.639999
2021-11-01,11.179999
2021-11-02,8.69
2021-11-03,8.07
2021-11-04,8.05
2021-11-05,9.53
2021-11-06,9.51
2021-11-07,9.179999
2021-11-08,8.95
2021-11-09,8.809999
2021-11-10,7.95
2021-11-11,9.37
2021-11-12,8.45
2021-11-13,5.81
2021-11-14,7.6
2021-11-15,6.3999996
2021-11-16,5.0099998
2021-11-17,5.52
2021-11-18,8.5
2021-11-19,12.009999
2021-11-20,11.09
2021-11-21,8.22
2021-11-22,4.46
2021-11-23,7.93
2021-11-24,7.56
2021-11-25,5.37
2021-11-26,3.62
2021-11-27,2.1599998
2021-11-28,2.3999999
2021-11-29,2.25
2021-11-30,3.6799998
2021-12-01,4.64
2021-12-02,1.8199999
2021-12-03,1.7199999
2021-12-04,3.12
2021-12-05,1.56
2021-12-06,1.43
2021-12-07,0.01
2021-12-08,0.14999999
2021-12-09,-1.31
2021-12-10,-0.21
2021-12-11,1.63
2021-12-12,3.49
2021-12-13,8.2
2021-12-14,6.85
2021-12-15,9.05
2021-12-16,7.41
2021-12-17,5.65
2021-12-18,6.5299997
2021-12-19,6.24
2021-12-20,3.28
2021-12-21,0.77
2021-12-22,-1.26
2021-12-23,-1.66
2021-12-24,-0.35
2021-12-25,-4.5499997
2021-12-26,-6.19
2021-12-27,-5.16
2021-12-28,-1.23
2021-12-29,0.87
2021-12-30,6.8999996
2021-12-31,11.38
