time,CH053
2021-01-01,2.65
2021-01-02,3.715
2021-01-03,3.31
2021-01-04,2.585
2021-01-05,2.6100001
2021-01-06,1.415
2021-01-07,1.43
2021-01-08,1.125
2021-01-09,0.36
2021-01-10,1.7149999
2021-01-11,4.6899996
2021-01-12,4.3149996
2021-01-13,3.0499997
2021-01-14,0.04
2021-01-15,0.43499997
2021-01-16,0.225
2021-01-17,0.755
2021-01-18,3.71
2021-01-19,6.7149997
2021-01-20,8.469999
2021-01-21,7.47
2021-01-22,3.775
2021-01-23,1.9449999
2021-01-24,0.285
2021-01-25,0.355
2021-01-26,2.23
2021-01-27,2.645
2021-01-28,1.81
2021-01-29,1.235
2021-01-30,-1.78
2021-01-31,-2.96
2021-02-01,-1.865
2021-02-02,0.265
2021-02-03,4.5299997
2021-02-04,2.4
2021-02-05,2.21
2021-02-06,-0.120000005
2021-02-07,-4.41
2021-02-08,-3.56
2021-02-09,-3.5099998
2021-02-10,-3.445
2021-02-11,-4.465
2021-02-12,-6.305
2021-02-13,-6.7299995
2021-02-14,-3.755
2021-02-15,1.1199999
2021-02-16,4.87
2021-02-17,7.6
2021-02-18,8.33
2021-02-19,6.7299995
2021-02-20,11.195
2021-02-21,10.190001
2021-02-22,10.2
2021-02-23,11.9
2021-02-24,12.665
2021-02-25,10.71
2021-02-26,6.1899996
2021-02-27,4.395
2021-02-28,2.245
2021-03-01,3.9899998
2021-03-02,5.1099997
2021-03-03,3.6549997
2021-03-04,3.1999998
2021-03-05,1.03
2021-03-06,2.4699998
2021-03-07,3.3899999
2021-03-08,3.715
2021-03-09,3.55
2021-03-10,5.24
2021-03-11,7.935
2021-03-12,5.74
2021-03-13,5.85
2021-03-14,6.005
2021-03-15,5.705
2021-03-16,5.7349997
2021-03-17,3.925
2021-03-18,3.07
2021-03-19,3.1599998
2021-03-20,3.04
2021-03-21,5.79
2021-03-22,5.85
2021-03-23,7.16
2021-03-24,7.875
2021-03-25,7.47
2021-03-26,9.485
2021-03-27,5.5
2021-03-28,8.17
2021-03-29,11.705
2021-03-30,11.705
2021-03-31,12.885
2021-04-01,7.2200003
2021-04-02,5.6099997
2021-04-03,6.45
2021-04-04,6.0299997
2021-04-05,2.8049998
2021-04-06,1.545
2021-04-07,2.735
2021-04-08,4.745
2021-04-09,6.265
2021-04-10,4.87
2021-04-11,3.235
2021-04-12,2.965
2021-04-13,4.0099998
2021-04-14,4.0099998
2021-04-15,4.6049995
2021-04-16,5.7999997
2021-04-17,6.055
2021-04-18,8.125
2021-04-19,9.52
2021-04-20,10.1449995
2021-04-21,6.5299997
2021-04-22,6.345
2021-04-23,6.165
2021-04-24,6.52
2021-04-25,6.49
