time,DEA5A
2021-01-01,5.285
2021-01-02,6.6283326
2021-01-03,6.1266665
2021-01-04,4.588333
2021-01-05,4.6549997
2021-01-06,2.9350002
2021-01-07,2.5233333
2021-01-08,2.428333
2021-01-09,1.89
2021-01-10,2.9233334
2021-01-11,0.93333334
2021-01-12,0.35333332
2021-01-13,0.235
2021-01-14,1.3783332
2021-01-15,3.22
2021-01-16,1.035
2021-01-17,0.6016666
2021-01-18,-0.2383333
2021-01-19,-2.5416667
2021-01-20,0.7716667
2021-01-21,2.2549999
2021-01-22,5.643333
2021-01-23,6.901666
2021-01-24,3.6016667
2021-01-25,2.0866663
2021-01-26,2.6016667
2021-01-27,0.83
2021-01-28,1.02
2021-01-29,2.005
2021-01-30,4.488333
2021-01-31,6.271666
2021-02-01,4.4483333
2021-02-02,4.7516665
2021-02-03,5.4933333
2021-02-04,7.3216667
2021-02-05,8.063333
2021-02-06,8.57
2021-02-07,9.536666
2021-02-08,9.488334
2021-02-09,9.173333
2021-02-10,9.946667
2021-02-11,7.0766664
2021-02-12,3.5049999
2021-02-13,0.565
2021-02-14,0.52666664
2021-02-15,0.9533333
2021-02-16,4.261667
2021-02-17,6.2333336
2021-02-18,7.775
2021-02-19,8.745
2021-02-20,8.669999
2021-02-21,7.9483333
2021-02-22,8.391666
2021-02-23,7.0366664
2021-02-24,10.461666
2021-02-25,11.36
2021-02-26,10.695
2021-02-27,8.658334
2021-02-28,7.1049995
2021-03-01,6.843333
2021-03-02,7.6966667
2021-03-03,8.025001
2021-03-04,8.613334
2021-03-05,10.613334
2021-03-06,6.6283336
2021-03-07,4.9616666
2021-03-08,6.055
2021-03-09,6.886667
2021-03-10,7.5316663
2021-03-11,8.425
2021-03-12,10.23
2021-03-13,10.068333
2021-03-14,7.763333
2021-03-15,7.5483336
2021-03-16,8.5199995
2021-03-17,8.009999
2021-03-18,6.5066667
2021-03-19,5.06
2021-03-20,4.453333
2021-03-21,5.0299993
2021-03-22,7.5766664
2021-03-23,8.118333
2021-03-24,8.321667
2021-03-25,9.37
2021-03-26,10.323333
2021-03-27,11.233333
2021-03-28,12.153333
2021-03-29,12.643333
2021-03-30,14.076667
2021-03-31,15.191666
2021-04-01,16.336668
2021-04-02,16.883333
2021-04-03,12.421666
2021-04-04,9.423333
2021-04-05,9.294999
2021-04-06,5.7516665
2021-04-07,4.6299996
2021-04-08,7.9483333
2021-04-09,9.87
2021-04-10,11.6466675
2021-04-11,11.495
2021-04-12,12.396667
2021-04-13,7.74
2021-04-14,7.7583327
2021-04-15,7.3766665
2021-04-16,7.85
2021-04-17,8.378333
2021-04-18,9.503333
2021-04-19,10.328333
2021-04-20,11.899999
2021-04-21,12.56
2021-04-22,13.075
2021-04-23,12.938333
2021-04-24,14.251667
2021-04-25,15.648334
2021-04-26,13.696666
2021-04-27,12.215
2021-04-28,13.996666
2021-04-29,15.464999
2021-04-30,17.03
2021-05-01,15.968333
2021-05-02,16.416666
2021-05-03,14.166667
2021-05-04,15.331666
2021-05-05,16.811666
2021-05-06,15.953334
2021-05-07,18.58
2021-05-08,15.735001
2021-05-09,16.538332
2021-05-10,17.958332
2021-05-11,16.128332
2021-05-12,16.015001
2021-05-13,15.649999
2021-05-14,14.858334
2021-05-15,15.936666
2021-05-16,17.6
2021-05-17,16.748333
2021-05-18,17.626667
2021-05-19,15.046666
2021-05-20,16.13
2021-05-21,17.836668
2021-05-22,18.46
2021-05-23,20.105
2021-05-24,15.701667
2021-05-25,17.646666
2021-05-26,16.789999
2021-05-27,18.641666
2021-05-28,18.400002
2021-05-29,19.568333
2021-05-30,18.486666
2021-05-31,18.088331
2021-06-01,18.323334
2021-06-02,19.804998
2021-06-03,21.618332
2021-06-04,22.648333
2021-06-05,23.726667
2021-06-06,20.955
2021-06-07,20.728334
2021-06-08,21.345001
2021-06-09,22.955
2021-06-10,22.643332
2021-06-11,21.88
2021-06-12,23.87
2021-06-13,24.858332
2021-06-14,23.385
2021-06-15,23.046667
2021-06-16,23.716665
2021-06-17,25.495
2021-06-18,25.725
2021-06-19,26.301666
2021-06-20,26.875
2021-06-21,27.571665
2021-06-22,26.721664
2021-06-23,26.113333
2021-06-24,26.554998
2021-06-25,24.463333
2021-06-26,24.731665
2021-06-27,25.946665
2021-06-28,26.411665
2021-06-29,27.451666
2021-06-30,25.39
2021-07-01,24.6
2021-07-02,24.871666
2021-07-03,25.376665
2021-07-04,22.858332
2021-07-05,23.913332
2021-07-06,25.730001
2021-07-07,27.523333
2021-07-08,26.345
2021-07-09,24.25
2021-07-10,25.115
2021-07-11,26.008331
2021-07-12,26.251665
2021-07-13,24.53333
2021-07-14,22.441666
2021-07-15,22.746668
2021-07-16,20.898333
2021-07-17,22.691666
2021-07-18,25.25
