time,FRY30
2021-01-01,3.8590474
2021-01-02,5.580952
2021-01-03,3.8438096
2021-01-04,4.698095
2021-01-05,0.30714285
2021-01-06,-2.6685715
2021-01-07,0.4038095
2021-01-08,-1.9233333
2021-01-09,-0.8042857
2021-01-10,0.5157143
2021-01-11,1.5670588
2021-01-12,4.5341177
2021-01-13,2.3135295
2021-01-14,2.2766666
2021-01-15,-1.5933332
2021-01-16,-7.581905
2021-01-17,-0.91
2021-01-18,-3.1247616
2021-01-19,-2.66
2021-01-20,-2.0738094
2021-01-21,-0.72
2021-01-22,-2.317143
2021-01-23,-5.251765
2021-01-24,0.72380954
2021-01-25,0.8709523
2021-01-26,-3.41
2021-01-27,1.17
2021-01-28,2.4933333
2021-01-29,2.6585712
2021-01-30,1.2533333
2021-01-31,2.485238
2021-02-01,5.2442856
2021-02-02,5.950476
2021-02-03,6.215238
2021-02-04,5.707143
2021-02-05,1.8566666
2021-02-06,5.3266664
2021-02-07,8.04
2021-02-08,3.0461903
2021-02-09,6.6038094
2021-02-10,4.4614286
2021-02-11,3.2709525
2021-02-12,-2.1976192
2021-02-13,-11.618571
2021-02-14,-9.878571
2021-02-15,-5.210952
2021-02-16,-2.5695238
2021-02-17,-1.3747618
2021-02-18,-3.665714
2021-02-19,-4.2147055
2021-02-20,-7.5466666
2021-02-21,-1.5728571
2021-02-22,-1.5476191
2021-02-23,10.049999
2021-02-24,5.587619
2021-02-25,1.6317645
2021-02-26,6.5266666
2021-02-27,-1.0180953
2021-02-28,-1.75
2021-03-01,0.13285711
2021-03-02,2.5666666
2021-03-03,0.15809524
2021-03-04,3.733333
2021-03-05,1.2919047
2021-03-06,-1.7233332
2021-03-07,2.6771429
2021-03-08,2.3957143
2021-03-09,-0.5509524
2021-03-10,-2.0228572
2021-03-11,-1.6704761
2021-03-12,-6.547647
2021-03-13,-6.571429
2021-03-14,-4.290952
2021-03-15,-0.46380952
2021-03-16,-1.1361905
2021-03-17,3.2714283
2021-03-18,-0.69904757
2021-03-19,-1.9609524
2021-03-20,-4.72619
2021-03-21,-1.3695238
2021-03-22,-1.7057142
2021-03-23,-7.1374993
2021-03-24,-4.5019045
2021-03-25,-3.635238
2021-03-26,-1.1895238
2021-03-27,-1.5509523
2021-03-28,-5.59
2021-03-29,-2.3180952
2021-03-30,-2.178095
2021-03-31,0.055882357
2021-04-01,2.1438093
2021-04-02,1.4541175
2021-04-03,-0.42647058
2021-04-04,-0.99380946
2021-04-05,4.193333
2021-04-06,3.3076193
2021-04-07,3.3590474
2021-04-08,2.1294117
2021-04-09,1.8157141
2021-04-10,-0.2928571
2021-04-11,-0.05571428
2021-04-12,5.1499996
2021-04-13,0.2652381
2021-04-14,1.1780951
2021-04-15,3.3419044
2021-04-16,6.2742853
2021-04-17,8.87619
2021-04-18,8.554762
2021-04-19,9.798571
2021-04-20,6.3338094
2021-04-21,7.198571
2021-04-22,4.3752375
2021-04-23,3.9685712
2021-04-24,6.390952
2021-04-25,8.604286
2021-04-26,9.61
2021-04-27,3.897619
2021-04-28,8.823333
2021-04-29,11.17762
2021-04-30,8.447143
2021-05-01,12.518095
2021-05-02,9.803333
2021-05-03,13.644284
2021-05-04,11.759523
2021-05-05,6.1099997
2021-05-06,7.6400003
2021-05-07,8.792857
2021-05-08,9.308095
2021-05-09,12.80143
2021-05-10,8.660476
2021-05-11,10.963333
2021-05-12,8.580476
2021-05-13,10.582353
2021-05-14,10.410476
2021-05-15,10.8652935
2021-05-16,10.570952
2021-05-17,10.291429
2021-05-18,9.435714
2021-05-19,8.557142
2021-05-20,9.404285
2021-05-21,13.791905
2021-05-22,13.3423815
2021-05-23,9.864762
2021-05-24,12.595238
2021-05-25,11.666667
2021-05-26,10.07238
2021-05-27,13.082857
2021-05-28,9.455238
2021-05-29,10.026191
2021-05-30,5.1141176
2021-05-31,7.575714
2021-06-01,8.2064705
2021-06-02,13.129999
2021-06-03,12.703529
2021-06-04,15.385293
2021-06-05,11.271176
2021-06-06,9.65647
2021-06-07,6.3599997
2021-06-08,9.734705
2021-06-09,13.35353
2021-06-10,12.79
2021-06-11,12.868235
2021-06-12,12.591764
2021-06-13,9.36294
2021-06-14,15.065882
2021-06-15,16.947058
2021-06-16,15.194706
2021-06-17,13.214705
2021-06-18,16.75706
2021-06-19,18.307646
2021-06-20,22.025883
2021-06-21,20.02588
2021-06-22,18.96941
2021-06-23,15.68
2021-06-24,14.699411
2021-06-25,13.324117
2021-06-26,13.21647
2021-06-27,16.207058
2021-06-28,14.50353
2021-06-29,16.617058
2021-06-30,15.3376465
2021-07-01,17.828823
2021-07-02,17.690832
2021-07-03,18.435
2021-07-04,19.615881
2021-07-05,18.457647
2021-07-06,18.731766
2021-07-07,21.313528
2021-07-08,21.119411
2021-07-09,16.594706
2021-07-10,18.57059
2021-07-11,18.549412
2021-07-12,20.952942
2021-07-13,21.618824
2021-07-14,17.747059
2021-07-15,20.282942
2021-07-16,16.492498
2021-07-17,18.50647
2021-07-18,21.779411
2021-07-19,18.787643
2021-07-20,20.492353
2021-07-21,18.47647
2021-07-22,13.284117
2021-07-23,11.6029415
2021-07-24,16.241175
2021-07-25,16.689411
2021-07-26,22.845882
2021-07-27,24.222355
2021-07-28,20.773527
2021-07-29,16.405294
2021-07-30,17.411764
2021-07-31,19.777645
2021-08-01,18.271175
2021-08-02,19.449999
2021-08-03,18.251175
2021-08-04,17.955294
2021-08-05,19.627058
2021-08-06,21.965881
2021-08-07,25.020586
2021-08-08,22.042501
2021-08-09,20.7675
2021-08-10,18.465883
2021-08-11,17.015884
2021-08-12,19.221766
2021-08-13,19.528234
2021-08-14,17.205294
2021-08-15,17.711176
2021-08-16,19.00706
2021-08-17,15.795882
2021-08-18,16.824118
2021-08-19,17.017647
2021-08-20,17.597645
2021-08-21,17.995293
2021-08-22,17.98
2021-08-23,14.301765
2021-08-24,14.700587
2021-08-25,20.421177
2021-08-26,21.850588
2021-08-27,18.505833
2021-08-28,16.83
2021-08-29,16.09647
