time,FRG03
2021-01-01,-1.3299999
2021-01-02,-0.089999996
2021-01-03,1.0799999
2021-01-04,1.09
2021-01-05,1.86
2021-01-06,1.24
2021-01-07,0.22
2021-01-08,0.26999998
2021-01-09,-0.19
2021-01-10,0.47
2021-01-11,-0.63
2021-01-12,0.51
2021-01-13,0.22999999
2021-01-14,-0.29999998
2021-01-15,-1.9499999
2021-01-16,-3.37
2021-01-17,-8.25
2021-01-18,-9.48
2021-01-19,-1.5999999
2021-01-20,4.0499997
2021-01-21,5.66
2021-01-22,7.08
2021-01-23,4.37
2021-01-24,1.5799999
2021-01-25,0.66999996
2021-01-26,0.84
2021-01-27,0.71999997
2021-01-28,0.16
2021-01-29,-1.7199999
2021-01-30,-1.67
2021-01-31,-4.24
2021-02-01,-6.5499997
2021-02-02,-0.84999996
2021-02-03,3.53
2021-02-04,2.87
2021-02-05,-1.8
2021-02-06,-2.81
2021-02-07,-6.62
2021-02-08,-9.45
2021-02-09,-8.65
2021-02-10,-8.49
2021-02-11,-8.16
2021-02-12,-8.08
2021-02-13,-3.86
2021-02-14,-3.6299999
2021-02-15,-5.6099997
2021-02-16,-2.84
2021-02-17,1.48
2021-02-18,2.8999999
2021-02-19,3.02
2021-02-20,3.25
2021-02-21,5.4
2021-02-22,4.23
2021-02-23,5.68
2021-02-24,9.87
2021-02-25,10.12
2021-02-26,7.8799996
2021-02-27,5.1099997
2021-02-28,4.44
2021-03-01,4.3399997
2021-03-02,4.85
2021-03-03,5.72
2021-03-04,4.79
2021-03-05,1.09
2021-03-06,0.59
2021-03-07,2.4199998
2021-03-08,1.26
2021-03-09,-1.12
2021-03-10,0.35
2021-03-11,2.1
2021-03-12,6.93
2021-03-13,6.33
2021-03-14,5.48
2021-03-15,4.69
2021-03-16,4.0699997
2021-03-17,3.6299999
2021-03-18,1.73
2021-03-19,0.68
2021-03-20,-1.4
2021-03-21,2.61
2021-03-22,3.52
2021-03-23,5.46
2021-03-24,6.64
2021-03-25,7.93
2021-03-26,9.32
2021-03-27,10.139999
2021-03-28,6.99
2021-03-29,11.09
2021-03-30,14.809999
2021-03-31,14.809999
2021-04-01,12.849999
2021-04-02,6.7599998
2021-04-03,4.93
2021-04-04,4.19
2021-04-05,4.69
2021-04-06,2.8
2021-04-07,2.8799999
2021-04-08,4.7
2021-04-09,6.6
2021-04-10,6.46
2021-04-11,12.07
2021-04-12,9.099999
2021-04-13,5.44
2021-04-14,4.79
2021-04-15,3.4499998
2021-04-16,4.7
2021-04-17,6.97
2021-04-18,8.4
2021-04-19,10.349999
2021-04-20,10.5199995
2021-04-21,11.03
2021-04-22,8.3
2021-04-23,6.6099997
2021-04-24,7.3599997
2021-04-25,5.77
2021-04-26,3.82
2021-04-27,4.39
2021-04-28,9.32
2021-04-29,12.059999
2021-04-30,9.82
2021-05-01,7.52
2021-05-02,7.83
2021-05-03,7.3599997
2021-05-04,9.0
2021-05-05,11.0
2021-05-06,9.0199995
2021-05-07,7.66
2021-05-08,8.42
2021-05-09,14.929999
2021-05-10,19.27
2021-05-11,22.41
2021-05-12,20.9
2021-05-13,16.97
2021-05-14,12.91
2021-05-15,13.219999
2021-05-16,14.19
2021-05-17,13.33
2021-05-18,13.73
2021-05-19,12.49
2021-05-20,12.009999
2021-05-21,13.4
2021-05-22,13.679999
2021-05-23,13.139999
2021-05-24,12.82
2021-05-25,14.34
2021-05-26,12.37
2021-05-27,12.83
2021-05-28,12.15
2021-05-29,11.36
2021-05-30,12.32
2021-05-31,13.7
2021-06-01,13.719999
2021-06-02,16.92
2021-06-03,16.41
2021-06-04,16.68
2021-06-05,18.5
2021-06-06,18.52
2021-06-07,19.14
2021-06-08,19.38
2021-06-09,19.09
2021-06-10,18.16
2021-06-11,19.48
2021-06-12,18.77
2021-06-13,14.28
2021-06-14,15.58
2021-06-15,19.039999
2021-06-16,19.189999
2021-06-17,22.09
2021-06-18,24.96
2021-06-19,25.84
2021-06-20,26.92
2021-06-21,27.01
2021-06-22,22.8
2021-06-23,19.289999
2021-06-24,19.06
2021-06-25,18.17
2021-06-26,18.92
2021-06-27,19.359999
2021-06-28,20.689999
2021-06-29,21.68
2021-06-30,21.6
2021-07-01,18.93
2021-07-02,18.449999
2021-07-03,18.88
2021-07-04,20.33
2021-07-05,20.8
2021-07-06,21.58
2021-07-07,22.0
2021-07-08,19.289999
2021-07-09,20.65
2021-07-10,19.57
2021-07-11,20.08
2021-07-12,21.26
2021-07-13,22.91
2021-07-14,24.16
2021-07-15,22.939999
2021-07-16,23.529999
2021-07-17,23.73
2021-07-18,22.72
2021-07-19,19.71
2021-07-20,17.71
2021-07-21,17.82
2021-07-22,19.25
2021-07-23,20.25
2021-07-24,21.07
2021-07-25,21.85
2021-07-26,22.779999
2021-07-27,23.189999
2021-07-28,22.06
2021-07-29,20.88
2021-07-30,19.51
2021-07-31,20.93
2021-08-01,18.72
2021-08-02,18.18
2021-08-03,17.26
2021-08-04,17.789999
2021-08-05,16.96
2021-08-06,18.51
2021-08-07,19.39
2021-08-08,20.15
2021-08-09,19.15
2021-08-10,19.359999
2021-08-11,18.67
2021-08-12,18.6
2021-08-13,21.359999
2021-08-14,22.73
2021-08-15,21.27
2021-08-16,21.89
2021-08-17,17.47
2021-08-18,16.65
2021-08-19,18.64
2021-08-20,18.4
2021-08-21,17.83
2021-08-22,18.39
2021-08-23,16.92
2021-08-24,15.92
2021-08-25,14.309999
2021-08-26,15.009999
2021-08-27,14.28
2021-08-28,14.53
2021-08-29,16.01
2021-08-30,15.58
2021-08-31,16.22
2021-09-01,16.19
2021-09-02,16.46
2021-09-03,15.849999
2021-09-04,14.759999
2021-09-05,14.86
2021-09-06,15.0199995
2021-09-07,17.31
2021-09-08,17.369999
2021-09-09,19.52
2021-09-10,19.779999
2021-09-11,19.31
2021-09-12,18.91
2021-09-13,17.67
2021-09-14,16.35
2021-09-15,18.039999
2021-09-16,19.15
2021-09-17,15.67
2021-09-18,13.04
2021-09-19,11.4
2021-09-20,11.0
2021-09-21,10.71
2021-09-22,11.849999
2021-09-23,14.04
2021-09-24,14.849999
2021-09-25,16.88
2021-09-26,17.039999
2021-09-27,16.57
2021-09-28,15.349999
2021-09-29,13.54
2021-09-30,12.2
2021-10-01,10.75
2021-10-02,14.37
2021-10-03,15.559999
2021-10-04,15.58
2021-10-05,17.609999
2021-10-06,15.03
2021-10-07,12.78
2021-10-08,10.04
2021-10-09,8.36
2021-10-10,7.2999997
2021-10-11,6.97
2021-10-12,8.84
2021-10-13,7.18
2021-10-14,8.32
2021-10-15,11.91
2021-10-16,8.72
2021-10-17,8.9
2021-10-18,9.58
2021-10-19,11.58
2021-10-20,15.87
2021-10-21,14.309999
2021-10-22,8.53
2021-10-23,7.22
2021-10-24,5.81
2021-10-25,7.27
2021-10-26,8.05
2021-10-27,10.4
2021-10-28,10.91
2021-10-29,9.79
2021-10-30,9.84
2021-10-31,12.65
2021-11-01,11.09
2021-11-02,8.66
2021-11-03,7.31
2021-11-04,8.73
2021-11-05,7.96
2021-11-06,8.26
2021-11-07,7.58
2021-11-08,7.3399997
2021-11-09,6.0
2021-11-10,6.22
2021-11-11,4.6
2021-11-12,5.24
2021-11-13,5.95
2021-11-14,4.11
2021-11-15,4.99
2021-11-16,5.5299997
2021-11-17,4.67
2021-11-18,7.1499996
2021-11-19,10.2
2021-11-20,10.88
2021-11-21,7.6099997
2021-11-22,4.63
2021-11-23,2.6499999
2021-11-24,5.96
2021-11-25,3.72
2021-11-26,3.04
2021-11-27,1.17
2021-11-28,0.51
2021-11-29,1.17
2021-11-30,2.6299999
2021-12-01,2.61
2021-12-02,3.6499999
2021-12-03,-0.099999994
2021-12-04,0.53999996
2021-12-05,0.32
2021-12-06,-0.17999999
2021-12-07,-1.3199999
2021-12-08,-2.34
2021-12-09,-2.95
2021-12-10,-0.68
2021-12-11,-3.6999998
2021-12-12,-2.5
2021-12-13,0.22999999
2021-12-14,3.1
2021-12-15,5.6
2021-12-16,6.69
2021-12-17,4.99
2021-12-18,3.86
2021-12-19,4.5099998
2021-12-20,1.41
2021-12-21,-0.58
2021-12-22,-2.86
2021-12-23,-3.48
2021-12-24,0.41
2021-12-25,-6.19
2021-12-26,-9.76
2021-12-27,-8.38
2021-12-28,-4.77
2021-12-29,0.39
2021-12-30,4.0
2021-12-31,9.53
