time,DEG02
2021-01-01,16.52
2021-01-02,16.43
2021-01-03,16.22
2021-01-04,15.2699995
2021-01-05,19.49
2021-01-06,20.16
2021-01-07,20.02
2021-01-08,16.42
2021-01-09,13.12
2021-01-10,14.11
2021-01-11,13.61
2021-01-12,14.45
2021-01-13,16.74
2021-01-14,15.88
2021-01-15,16.029999
2021-01-16,16.82
2021-01-17,16.02
2021-01-18,15.98
2021-01-19,16.65
2021-01-20,15.299999
2021-01-21,18.84
2021-01-22,18.23
2021-01-23,17.96
2021-01-24,18.14
2021-01-25,17.869999
2021-01-26,18.25
2021-01-27,17.3
2021-01-28,18.74
2021-01-29,17.67
2021-01-30,18.43
2021-01-31,19.73
2021-02-01,19.15
2021-02-02,18.57
2021-02-03,17.59
2021-02-04,14.7
2021-02-05,13.849999
2021-02-06,14.25
2021-02-07,15.759999
2021-02-08,17.58
2021-02-09,17.89
2021-02-10,17.619999
2021-02-11,17.449999
2021-02-12,18.06
2021-02-13,18.51
2021-02-14,17.93
2021-02-15,18.17
2021-02-16,17.84
2021-02-17,17.22
2021-02-18,17.47
2021-02-19,16.22
2021-02-20,17.47
2021-02-21,16.449999
2021-02-22,15.509999
2021-02-23,17.8
2021-02-24,17.8
2021-02-25,16.94
2021-02-26,16.18
2021-02-27,15.62
2021-02-28,16.19
2021-03-01,17.75
2021-03-02,17.72
2021-03-03,17.55
2021-03-04,17.57
2021-03-05,17.779999
2021-03-06,16.9
2021-03-07,17.619999
2021-03-08,17.65
2021-03-09,17.52
2021-03-10,17.8
2021-03-11,17.699999
2021-03-12,18.09
2021-03-13,18.05
2021-03-14,19.07
2021-03-15,17.72
2021-03-16,18.26
2021-03-17,17.5
2021-03-18,18.21
2021-03-19,18.81
2021-03-20,18.13
2021-03-21,16.72
2021-03-22,16.529999
2021-03-23,17.14
2021-03-24,19.13
2021-03-25,20.15
2021-03-26,19.39
2021-03-27,18.65
2021-03-28,17.57
2021-03-29,18.6
2021-03-30,18.119999
2021-03-31,19.279999
2021-04-01,19.199999
2021-04-02,18.279999
2021-04-03,18.63
2021-04-04,19.289999
2021-04-05,17.8
2021-04-06,18.55
2021-04-07,17.779999
2021-04-08,16.72
2021-04-09,18.96
2021-04-10,18.91
2021-04-11,19.74
2021-04-12,20.26
2021-04-13,20.6
2021-04-14,20.38
2021-04-15,19.6
2021-04-16,20.65
2021-04-17,20.43
2021-04-18,19.9
2021-04-19,19.41
2021-04-20,19.68
2021-04-21,19.31
2021-04-22,21.08
2021-04-23,19.34
2021-04-24,19.619999
2021-04-25,18.77
2021-04-26,21.27
2021-04-27,19.39
2021-04-28,19.06
2021-04-29,18.22
2021-04-30,18.279999
2021-05-01,17.42
2021-05-02,18.83
2021-05-03,18.72
2021-05-04,19.3
2021-05-05,19.32
2021-05-06,19.9
2021-05-07,19.91
2021-05-08,21.14
2021-05-09,20.67
2021-05-10,19.99
2021-05-11,18.73
2021-05-12,19.72
2021-05-13,20.119999
2021-05-14,20.57
2021-05-15,20.97
2021-05-16,20.97
2021-05-17,21.27
2021-05-18,22.35
2021-05-19,20.82
2021-05-20,22.85
2021-05-21,23.97
2021-05-22,21.81
2021-05-23,19.529999
2021-05-24,19.39
2021-05-25,20.09
2021-05-26,20.3
2021-05-27,19.97
2021-05-28,20.289999
2021-05-29,20.15
2021-05-30,21.539999
2021-05-31,20.689999
2021-06-01,19.859999
2021-06-02,19.68
2021-06-03,20.63
2021-06-04,20.25
2021-06-05,19.869999
2021-06-06,20.58
2021-06-07,21.279999
2021-06-08,21.26
2021-06-09,24.41
2021-06-10,27.13
2021-06-11,23.59
2021-06-12,21.68
2021-06-13,21.859999
2021-06-14,21.96
2021-06-15,21.71
2021-06-16,23.16
2021-06-17,22.46
2021-06-18,21.05
2021-06-19,20.35
2021-06-20,20.76
2021-06-21,21.71
2021-06-22,21.369999
2021-06-23,21.039999
2021-06-24,20.68
2021-06-25,20.27
2021-06-26,21.779999
2021-06-27,22.05
2021-06-28,21.52
2021-06-29,21.46
2021-06-30,21.55
2021-07-01,20.81
2021-07-02,21.109999
2021-07-03,23.689999
2021-07-04,21.71
2021-07-05,22.23
2021-07-06,21.84
2021-07-07,21.98
2021-07-08,22.24
2021-07-09,23.01
2021-07-10,23.97
2021-07-11,25.05
2021-07-12,26.65
2021-07-13,22.8
2021-07-14,23.279999
2021-07-15,22.49
2021-07-16,24.13
2021-07-17,23.43
2021-07-18,27.38
2021-07-19,27.56
2021-07-20,23.05
2021-07-21,23.47
2021-07-22,24.269999
2021-07-23,24.93
2021-07-24,23.769999
2021-07-25,23.39
2021-07-26,23.38
2021-07-27,23.439999
2021-07-28,23.39
2021-07-29,23.82
2021-07-30,24.31
2021-07-31,23.33
2021-08-01,22.51
2021-08-02,22.32
2021-08-03,22.949999
2021-08-04,23.609999
2021-08-05,23.32
2021-08-06,23.76
2021-08-07,22.82
2021-08-08,23.18
2021-08-09,23.359999
2021-08-10,23.51
2021-08-11,23.21
2021-08-12,23.93
2021-08-13,24.21
2021-08-14,24.99
2021-08-15,26.599998
2021-08-16,28.439999
2021-08-17,27.74
2021-08-18,26.07
2021-08-19,25.16
2021-08-20,23.38
2021-08-21,23.18
2021-08-22,23.06
2021-08-23,22.82
2021-08-24,23.16
2021-08-25,23.17
2021-08-26,23.1
2021-08-27,22.99
2021-08-28,23.07
2021-08-29,23.09
2021-08-30,23.189999
2021-08-31,23.41
2021-09-01,23.76
2021-09-02,24.369999
2021-09-03,23.939999
2021-09-04,24.15
2021-09-05,23.43
2021-09-06,26.199999
2021-09-07,26.31
2021-09-08,25.269999
2021-09-09,24.92
2021-09-10,24.519999
2021-09-11,25.05
2021-09-12,25.68
2021-09-13,23.789999
2021-09-14,23.21
2021-09-15,23.51
2021-09-16,23.449999
2021-09-17,23.73
2021-09-18,23.789999
2021-09-19,23.279999
2021-09-20,23.3
2021-09-21,23.25
2021-09-22,23.189999
2021-09-23,21.97
2021-09-24,21.98
2021-09-25,21.57
2021-09-26,22.07
2021-09-27,23.47
2021-09-28,24.01
2021-09-29,23.59
2021-09-30,24.9
2021-10-01,24.32
2021-10-02,24.84
2021-10-03,22.98
2021-10-04,22.529999
2021-10-05,22.51
2021-10-06,23.88
2021-10-07,22.15
2021-10-08,22.74
2021-10-09,23.83
2021-10-10,23.31
2021-10-11,22.51
2021-10-12,22.199999
2021-10-13,22.57
2021-10-14,22.0
2021-10-15,23.17
2021-10-16,22.439999
2021-10-17,22.08
2021-10-18,22.6
2021-10-19,22.3
2021-10-20,22.449999
2021-10-21,22.47
2021-10-22,21.68
2021-10-23,22.09
2021-10-24,21.09
2021-10-25,20.63
2021-10-26,21.039999
2021-10-27,20.16
2021-10-28,21.47
2021-10-29,20.31
2021-10-30,20.07
2021-10-31,20.939999
2021-11-01,22.22
2021-11-02,22.09
2021-11-03,21.75
2021-11-04,21.0
2021-11-05,20.439999
2021-11-06,19.97
2021-11-07,19.42
2021-11-08,19.52
2021-11-09,18.199999
2021-11-10,18.31
2021-11-11,19.32
2021-11-12,19.609999
2021-11-13,19.63
2021-11-14,18.76
2021-11-15,18.51
2021-11-16,19.17
2021-11-17,18.96
2021-11-18,17.55
2021-11-19,17.029999
2021-11-20,17.67
2021-11-21,18.15
2021-11-22,18.65
2021-11-23,18.779999
2021-11-24,18.35
2021-11-25,18.289999
2021-11-26,15.66
2021-11-27,16.8
2021-11-28,17.65
2021-11-29,17.73
2021-11-30,17.58
2021-12-01,16.94
2021-12-02,18.69
2021-12-03,17.58
2021-12-04,17.46
2021-12-05,18.33
2021-12-06,17.83
2021-12-07,17.24
2021-12-08,18.08
2021-12-09,18.029999
2021-12-10,17.9
2021-12-11,18.32
2021-12-12,18.32
2021-12-13,17.25
2021-12-14,16.5
2021-12-15,15.36
2021-12-16,14.94
2021-12-17,15.79
2021-12-18,17.06
2021-12-19,16.92
2021-12-20,18.23
2021-12-21,17.8
2021-12-22,17.15
2021-12-23,17.85
2021-12-24,17.869999
2021-12-25,19.33
2021-12-26,19.6
2021-12-27,20.05
2021-12-28,19.67
2021-12-29,17.75
2021-12-30,19.869999
2021-12-31,18.99
