time,DE26C
2021-01-01,0.38
2021-01-02,-0.93499994
2021-01-03,-0.145
2021-01-04,-0.195
2021-01-05,0.585
2021-01-06,0.505
2021-01-07,-0.61
2021-01-08,-0.445
2021-01-09,-1.24
2021-01-10,-2.445
2021-01-11,-2.855
2021-01-12,1.25
2021-01-13,0.17999999
2021-01-14,-0.225
2021-01-15,-1.685
2021-01-16,-3.56
2021-01-17,-0.63
2021-01-18,1.375
2021-01-19,1.305
2021-01-20,4.785
2021-01-21,7.62
2021-01-22,3.57
2021-01-23,1.89
2021-01-24,-0.27499998
2021-01-25,-0.515
2021-01-26,-0.00999999
2021-01-27,-0.14500001
2021-01-28,5.87
2021-01-29,7.515
2021-01-30,3.77
2021-01-31,-0.13999999
2021-02-01,3.975
2021-02-02,7.12
2021-02-03,9.129999
2021-02-04,6.3549995
2021-02-05,6.605
2021-02-06,5.12
2021-02-07,3.7949998
2021-02-08,-1.68
2021-02-09,-4.8099995
2021-02-10,-6.92
2021-02-11,-4.9849997
2021-02-12,-5.925
2021-02-13,-5.5299997
2021-02-14,-1.905
2021-02-15,1.5899999
2021-02-16,6.1
2021-02-17,6.55
2021-02-18,6.075
2021-02-19,5.865
2021-02-20,9.709999
2021-02-21,9.8949995
2021-02-22,8.344999
2021-02-23,12.224999
2021-02-24,11.125
2021-02-25,10.235001
2021-02-26,5.17
2021-02-27,3.8799999
2021-02-28,4.875
2021-03-01,6.7999997
2021-03-02,8.455
2021-03-03,8.629999
2021-03-04,6.0099998
2021-03-05,2.415
2021-03-06,1.5
2021-03-07,2.32
2021-03-08,1.865
2021-03-09,2.655
2021-03-10,5.425
2021-03-11,7.305
2021-03-12,4.935
2021-03-13,5.1
2021-03-14,2.77
2021-03-15,4.66
2021-03-16,3.5699997
2021-03-17,3.0749998
2021-03-18,2.495
2021-03-19,1.5649999
2021-03-20,2.45
2021-03-21,4.135
2021-03-22,3.9299998
2021-03-23,5.7749996
2021-03-24,7.085
2021-03-25,7.4649997
2021-03-26,8.914999
2021-03-27,5.21
2021-03-28,8.215
2021-03-29,10.924999
2021-03-30,13.93
2021-03-31,15.455
2021-04-01,14.905
2021-04-02,6.7200003
2021-04-03,6.365
2021-04-04,6.26
2021-04-05,1.8299999
2021-04-06,0.415
2021-04-07,0.735
2021-04-08,2.2549999
2021-04-09,7.72
2021-04-10,7.8449993
2021-04-11,5.74
2021-04-12,2.745
2021-04-13,2.63
2021-04-14,2.85
2021-04-15,3.105
2021-04-16,3.6599998
2021-04-17,6.8549995
2021-04-18,7.825
2021-04-19,8.0199995
2021-04-20,9.5
2021-04-21,11.1
2021-04-22,8.26
2021-04-23,9.12
2021-04-24,10.525
2021-04-25,9.07
2021-04-26,8.9
2021-04-27,9.985001
2021-04-28,11.5199995
2021-04-29,9.094999
2021-04-30,6.2799997
2021-05-01,7.8900003
2021-05-02,6.765
2021-05-03,7.2299995
2021-05-04,7.67
2021-05-05,5.4399996
2021-05-06,4.865
2021-05-07,6.75
2021-05-08,10.195
2021-05-09,17.56
2021-05-10,14.094999
2021-05-11,11.35
2021-05-12,11.33
2021-05-13,9.95
2021-05-14,9.95
2021-05-15,8.815
2021-05-16,10.0
2021-05-17,9.73
2021-05-18,8.965
2021-05-19,8.664999
2021-05-20,10.825
2021-05-21,11.67
2021-05-22,8.99
2021-05-23,9.879999
2021-05-24,9.099999
2021-05-25,7.7749996
2021-05-26,8.59
2021-05-27,9.745
2021-05-28,11.76
2021-05-29,14.36
2021-05-30,14.709999
2021-05-31,15.485
2021-06-01,16.954998
2021-06-02,18.605
2021-06-03,18.89
2021-06-04,18.794998
2021-06-05,15.865
2021-06-06,14.949999
2021-06-07,16.465
2021-06-08,18.395
2021-06-09,19.47
2021-06-10,20.48
2021-06-11,21.485
2021-06-12,18.994999
2021-06-13,17.154999
2021-06-14,20.015
2021-06-15,22.035
2021-06-16,23.494999
2021-06-17,24.32
2021-06-18,24.5
2021-06-19,23.884998
2021-06-20,20.619999
2021-06-21,18.849998
2021-06-22,14.44
2021-06-23,17.335
2021-06-24,15.32
2021-06-25,16.314999
2021-06-26,17.82
2021-06-27,20.195
2021-06-28,20.48
2021-06-29,16.279999
2021-06-30,13.41
2021-07-01,13.49
2021-07-02,15.735
2021-07-03,19.099998
2021-07-04,16.415
2021-07-05,16.46
2021-07-06,16.41
2021-07-07,16.779999
2021-07-08,15.495
2021-07-09,16.375
2021-07-10,17.455
2021-07-11,16.715
2021-07-12,17.414999
2021-07-13,15.549999
2021-07-14,14.62
2021-07-15,17.555
2021-07-16,17.474998
2021-07-17,18.68
2021-07-18,20.705
2021-07-19,19.51
2021-07-20,18.1
2021-07-21,18.63
2021-07-22,19.68
2021-07-23,20.285
2021-07-24,18.165
2021-07-25,17.509998
2021-07-26,17.955
2021-07-27,16.105
2021-07-28,16.439999
2021-07-29,16.235
2021-07-30,17.439999
2021-07-31,16.17
2021-08-01,15.08
2021-08-02,14.969999
2021-08-03,14.41
2021-08-04,15.744999
2021-08-05,16.325
2021-08-06,15.785
2021-08-07,15.67
2021-08-08,14.4
2021-08-09,15.559999
2021-08-10,17.015
2021-08-11,19.099998
2021-08-12,20.61
2021-08-13,21.585
2021-08-14,20.779999
2021-08-15,20.93
2021-08-16,14.889999
2021-08-17,11.99
2021-08-18,15.16
2021-08-19,16.28
2021-08-20,16.735
2021-08-21,18.985
2021-08-22,16.61
2021-08-23,16.765
2021-08-24,15.494999
2021-08-25,15.950001
2021-08-26,14.174999
2021-08-27,13.385
2021-08-28,13.62
2021-08-29,13.684999
2021-08-30,15.494999
2021-08-31,14.599999
2021-09-01,15.29
2021-09-02,16.384998
2021-09-03,18.055
2021-09-04,18.555
2021-09-05,19.215
2021-09-06,19.825
2021-09-07,19.805
2021-09-08,19.93
2021-09-09,18.744999
2021-09-10,18.365
2021-09-11,16.994999
2021-09-12,15.094999
2021-09-13,17.205
2021-09-14,17.724998
2021-09-15,17.919998
2021-09-16,15.049999
2021-09-17,14.134999
2021-09-18,15.224999
2021-09-19,14.459999
2021-09-20,13.635
2021-09-21,12.465
2021-09-22,12.455
2021-09-23,14.105
2021-09-24,14.004999
2021-09-25,15.42
2021-09-26,15.495
2021-09-27,14.459999
2021-09-28,12.264999
2021-09-29,10.155
2021-09-30,8.65
2021-10-01,11.07
2021-10-02,13.835
2021-10-03,15.32
2021-10-04,11.309999
2021-10-05,10.475
2021-10-06,9.4
2021-10-07,10.445
2021-10-08,11.205
2021-10-09,10.6449995
2021-10-10,8.455
2021-10-11,7.8549995
2021-10-12,8.645
2021-10-13,6.3399997
2021-10-14,8.52
2021-10-15,8.309999
2021-10-16,8.715
2021-10-17,8.53
2021-10-18,7.95
2021-10-19,12.7
2021-10-20,13.945
2021-10-21,9.184999
2021-10-22,5.25
2021-10-23,7.06
2021-10-24,6.3999996
2021-10-25,7.885
2021-10-26,10.205
2021-10-27,9.5
2021-10-28,7.9700003
2021-10-29,11.285
2021-10-30,11.03
2021-10-31,13.405
2021-11-01,8.809999
2021-11-02,6.345
2021-11-03,6.075
2021-11-04,5.495
2021-11-05,6.1099997
2021-11-06,5.23
2021-11-07,4.8
2021-11-08,3.1999998
2021-11-09,4.02
2021-11-10,2.19
2021-11-11,1.9099998
2021-11-12,0.255
2021-11-13,5.26
2021-11-14,7.545
2021-11-15,6.1899996
2021-11-16,4.7599998
2021-11-17,4.615
2021-11-18,4.64
2021-11-19,6.87
2021-11-20,6.6049995
2021-11-21,4.285
2021-11-22,3.78
2021-11-23,2.76
2021-11-24,3.23
2021-11-25,1.78
2021-11-26,0.74
2021-11-27,1.2149999
2021-11-28,0.775
2021-11-29,0.35
2021-11-30,2.525
2021-12-01,4.745
2021-12-02,1.7749999
2021-12-03,0.025000006
2021-12-04,2.295
2021-12-05,1.8699999
2021-12-06,0.32
2021-12-07,2.6599998
2021-12-08,3.1349998
2021-12-09,0.72499996
2021-12-10,0.755
2021-12-11,1.06
2021-12-12,2.705
2021-12-13,5.3549995
2021-12-14,4.5950003
2021-12-15,5.33
2021-12-16,6.83
2021-12-17,5.965
2021-12-18,2.9899998
2021-12-19,3.335
2021-12-20,2.23
2021-12-21,-1.5
2021-12-22,-2.975
2021-12-23,-0.16999999
2021-12-24,6.14
2021-12-25,5.055
2021-12-26,2.04
2021-12-27,5.9399996
2021-12-28,7.8099995
2021-12-29,8.264999
2021-12-30,11.93
2021-12-31,9.25
