time,FRH02
2021-01-01,1.35
2021-01-02,1.75
2021-01-03,0.44
2021-01-04,0.71
2021-01-05,2.2
2021-01-06,2.05
2021-01-07,0.98999995
2021-01-08,0.88
2021-01-09,0.41
2021-01-10,-0.44
2021-01-11,0.59
2021-01-12,1.13
2021-01-13,1.25
2021-01-14,1.0699999
2021-01-15,-0.9
2021-01-16,-2.6399999
2021-01-17,-5.1
2021-01-18,-6.08
2021-01-19,0.71
2021-01-20,4.5499997
2021-01-21,8.17
2021-01-22,6.75
2021-01-23,1.48
2021-01-24,-0.35999998
2021-01-25,0.75
2021-01-26,0.78
2021-01-27,0.48999998
2021-01-28,0.24
2021-01-29,-2.29
2021-01-30,-0.87
2021-01-31,-2.62
2021-02-01,-4.0
2021-02-02,-0.47
2021-02-03,0.48
2021-02-04,0.35
2021-02-05,-1.04
2021-02-06,-3.04
2021-02-07,-6.3599997
2021-02-08,-8.0199995
2021-02-09,-7.24
2021-02-10,-9.7
2021-02-11,-5.75
2021-02-12,-6.48
2021-02-13,-3.6699998
2021-02-14,-4.7999997
2021-02-15,-7.3999996
2021-02-16,-0.71
2021-02-17,2.98
2021-02-18,3.1999998
2021-02-19,4.56
2021-02-20,3.73
2021-02-21,6.83
2021-02-22,5.3199997
2021-02-23,7.79
2021-02-24,12.29
2021-02-25,9.599999
2021-02-26,8.03
2021-02-27,6.31
2021-02-28,4.2799997
2021-03-01,5.66
2021-03-02,4.0099998
2021-03-03,5.5299997
2021-03-04,4.42
2021-03-05,0.74
2021-03-06,0.66999996
2021-03-07,3.6
2021-03-08,-0.19
2021-03-09,-1.43
2021-03-10,-0.31
2021-03-11,4.3399997
2021-03-12,6.7799997
2021-03-13,5.8599997
2021-03-14,5.54
2021-03-15,5.16
2021-03-16,3.6899998
2021-03-17,4.3199997
2021-03-18,1.51
2021-03-19,0.06
2021-03-20,0.84
2021-03-21,4.33
2021-03-22,3.97
2021-03-23,5.56
2021-03-24,7.0099998
2021-03-25,6.5699997
2021-03-26,7.8399997
2021-03-27,7.48
2021-03-28,6.6
2021-03-29,12.349999
2021-03-30,14.13
2021-03-31,12.46
2021-04-01,9.79
2021-04-02,5.46
2021-04-03,4.18
2021-04-04,4.2599998
2021-04-05,3.6899998
2021-04-06,3.07
2021-04-07,2.98
2021-04-08,4.64
2021-04-09,7.35
2021-04-10,5.66
2021-04-11,11.559999
2021-04-12,8.73
2021-04-13,4.5299997
2021-04-14,4.31
2021-04-15,4.75
2021-04-16,5.91
2021-04-17,8.36
2021-04-18,8.74
2021-04-19,9.33
2021-04-20,8.28
2021-04-21,8.349999
2021-04-22,7.3599997
2021-04-23,7.19
2021-04-24,7.29
2021-04-25,4.47
2021-04-26,3.76
2021-04-27,4.06
2021-04-28,8.28
2021-04-29,9.24
2021-04-30,8.34
2021-05-01,6.5499997
2021-05-02,7.71
2021-05-03,7.6299996
2021-05-04,8.889999
2021-05-05,9.67
2021-05-06,7.95
2021-05-07,5.6099997
2021-05-08,8.389999
2021-05-09,16.33
2021-05-10,20.01
2021-05-11,19.75
2021-05-12,17.619999
2021-05-13,13.099999
2021-05-14,11.219999
2021-05-15,12.49
2021-05-16,12.74
2021-05-17,12.88
2021-05-18,12.83
2021-05-19,11.4
2021-05-20,11.679999
2021-05-21,14.17
2021-05-22,12.12
2021-05-23,12.849999
2021-05-24,13.84
2021-05-25,13.969999
2021-05-26,12.19
2021-05-27,12.16
2021-05-28,12.5
2021-05-29,12.11
2021-05-30,12.809999
2021-05-31,12.24
2021-06-01,14.74
2021-06-02,14.94
2021-06-03,18.07
2021-06-04,18.949999
2021-06-05,18.359999
2021-06-06,17.75
2021-06-07,17.52
2021-06-08,17.539999
2021-06-09,17.529999
2021-06-10,19.08
2021-06-11,19.8
2021-06-12,17.92
2021-06-13,14.679999
2021-06-14,17.66
2021-06-15,18.51
2021-06-16,15.74
2021-06-17,22.699999
2021-06-18,26.21
2021-06-19,26.849998
2021-06-20,27.16
2021-06-21,25.689999
2021-06-22,20.789999
2021-06-23,17.23
2021-06-24,16.13
2021-06-25,18.619999
2021-06-26,16.94
2021-06-27,17.72
2021-06-28,20.91
2021-06-29,24.24
2021-06-30,20.74
2021-07-01,17.32
2021-07-02,19.529999
2021-07-03,18.74
2021-07-04,19.55
2021-07-05,21.09
2021-07-06,21.43
2021-07-07,20.699999
2021-07-08,17.22
2021-07-09,20.49
2021-07-10,18.92
2021-07-11,20.66
2021-07-12,22.25
2021-07-13,23.359999
2021-07-14,23.609999
2021-07-15,23.269999
2021-07-16,23.32
2021-07-17,23.33
2021-07-18,20.699999
2021-07-19,18.07
2021-07-20,18.0
2021-07-21,17.58
2021-07-22,18.73
2021-07-23,18.89
2021-07-24,21.83
2021-07-25,23.0
2021-07-26,22.92
2021-07-27,22.859999
2021-07-28,19.97
2021-07-29,19.98
2021-07-30,18.85
2021-07-31,18.84
2021-08-01,17.609999
2021-08-02,16.88
2021-08-03,17.1
2021-08-04,17.82
2021-08-05,16.8
2021-08-06,18.39
2021-08-07,19.029999
2021-08-08,19.72
2021-08-09,17.88
2021-08-10,17.74
2021-08-11,17.609999
2021-08-12,18.91
2021-08-13,21.16
2021-08-14,19.89
2021-08-15,19.35
2021-08-16,18.98
2021-08-17,15.65
2021-08-18,16.51
2021-08-19,17.539999
2021-08-20,16.48
2021-08-21,16.43
2021-08-22,16.22
2021-08-23,17.33
2021-08-24,16.18
2021-08-25,13.299999
2021-08-26,14.259999
2021-08-27,14.309999
2021-08-28,14.21
2021-08-29,15.74
2021-08-30,16.109999
2021-08-31,16.76
2021-09-01,16.21
2021-09-02,16.56
2021-09-03,15.549999
2021-09-04,15.28
2021-09-05,16.16
2021-09-06,16.1
2021-09-07,17.32
2021-09-08,16.77
2021-09-09,18.4
2021-09-10,19.93
2021-09-11,19.17
2021-09-12,18.66
2021-09-13,16.039999
2021-09-14,14.24
2021-09-15,16.3
2021-09-16,18.06
2021-09-17,15.049999
2021-09-18,14.11
2021-09-19,12.65
2021-09-20,12.69
2021-09-21,11.49
2021-09-22,13.349999
2021-09-23,13.62
2021-09-24,14.309999
2021-09-25,17.199999
2021-09-26,18.57
2021-09-27,16.88
2021-09-28,15.75
2021-09-29,14.5
2021-09-30,11.349999
2021-10-01,12.809999
2021-10-02,13.32
2021-10-03,16.3
2021-10-04,15.37
2021-10-05,15.17
2021-10-06,13.74
2021-10-07,11.15
2021-10-08,11.66
2021-10-09,7.7599998
2021-10-10,7.0899997
2021-10-11,8.37
2021-10-12,8.48
2021-10-13,7.87
2021-10-14,9.87
2021-10-15,11.0
2021-10-16,8.679999
2021-10-17,9.24
2021-10-18,11.059999
2021-10-19,11.74
2021-10-20,15.549999
2021-10-21,12.559999
2021-10-22,7.3799996
2021-10-23,7.49
2021-10-24,7.0
2021-10-25,6.58
2021-10-26,8.94
2021-10-27,12.23
2021-10-28,12.219999
2021-10-29,9.13
2021-10-30,9.7699995
2021-10-31,12.08
2021-11-01,9.889999
2021-11-02,9.13
2021-11-03,6.5499997
2021-11-04,5.65
2021-11-05,8.37
2021-11-06,8.96
2021-11-07,8.309999
2021-11-08,8.48
2021-11-09,8.099999
2021-11-10,5.27
2021-11-11,5.08
2021-11-12,8.36
2021-11-13,6.43
2021-11-14,5.7799997
2021-11-15,5.81
2021-11-16,5.15
2021-11-17,5.15
2021-11-18,7.22
2021-11-19,11.099999
2021-11-20,11.179999
2021-11-21,8.24
2021-11-22,3.57
2021-11-23,4.43
2021-11-24,7.16
2021-11-25,5.0099998
2021-11-26,4.1
2021-11-27,1.5999999
2021-11-28,1.86
2021-11-29,1.1899999
2021-11-30,2.2
2021-12-01,3.35
2021-12-02,3.6299999
2021-12-03,0.16
2021-12-04,1.41
2021-12-05,0.75
2021-12-06,-0.049999997
2021-12-07,-1.23
2021-12-08,-1.92
2021-12-09,-2.01
2021-12-10,-1.4
2021-12-11,-0.61
2021-12-12,0.22
2021-12-13,3.37
2021-12-14,6.47
2021-12-15,7.49
2021-12-16,7.29
2021-12-17,5.19
2021-12-18,4.69
2021-12-19,5.24
2021-12-20,1.53
2021-12-21,-0.42
2021-12-22,-0.74
2021-12-23,-1.52
2021-12-24,-0.24
2021-12-25,-6.5299997
2021-12-26,-8.29
2021-12-27,-8.19
2021-12-28,-3.5
2021-12-29,0.22
2021-12-30,4.72
2021-12-31,10.88
