time,DEE0A
2021-08-25,22.7615
2021-08-26,24.640999
2021-08-27,26.222
2021-08-28,25.005001
2021-08-29,23.81
2021-08-30,22.5555
2021-08-31,23.437498
2021-09-01,21.7325
2021-09-02,21.131998
2021-09-03,22.972
2021-09-04,23.342999
2021-09-05,24.6075
2021-09-06,25.280499
2021-09-07,25.052998
2021-09-08,23.825499
2021-09-09,23.1985
2021-09-10,23.103
2021-09-11,23.168499
2021-09-12,23.691
2021-09-13,23.350498
2021-09-14,22.088001
2021-09-15,22.5555
2021-09-16,21.063498
2021-09-17,20.557999
2021-09-18,22.082996
2021-09-19,19.665499
2021-09-20,19.166498
2021-09-21,16.483
2021-09-22,17.582
2021-09-23,19.341
2021-09-24,20.447
2021-09-25,21.4
2021-09-26,20.176498
2021-09-27,20.607
2021-09-28,20.704998
2021-09-29,19.544
2021-09-30,20.463
2021-10-01,20.9425
2021-10-02,20.638
2021-10-03,19.308
2021-10-04,14.793501
2021-10-05,16.786999
2021-10-06,17.7285
2021-10-07,17.755499
2021-10-08,18.075
2021-10-09,17.9545
2021-10-10,17.7975
2021-10-11,17.5635
2021-10-12,17.287998
2021-10-13,16.4045
2021-10-14,16.9425
2021-10-15,18.156498
2021-10-16,16.7055
2021-10-17,18.029
2021-10-18,18.287498
2021-10-19,18.3055
2021-10-20,18.108
2021-10-21,18.0705
2021-10-22,14.5235
2021-10-23,14.6685
2021-10-24,14.3215
2021-10-25,13.5435
2021-10-26,14.893499
2021-10-27,14.533499
2021-10-28,15.252998
2021-10-29,15.984999
2021-10-30,17.446
2021-10-31,19.749998
2021-11-01,18.109999
2021-11-02,13.439
2021-11-03,11.660999
2021-11-04,9.495
2021-11-05,9.3135
2021-11-06,9.724501
2021-11-07,9.0765
2021-11-08,11.5075
2021-11-09,10.675
2021-11-10,12.662001
2021-11-11,12.509999
2021-11-12,13.185
2021-11-13,12.784499
2021-11-14,12.014
2021-11-15,10.977
2021-11-16,8.657499
2021-11-17,9.7075
2021-11-18,9.536499
2021-11-19,10.673999
2021-11-20,11.7300005
2021-11-21,12.841499
2021-11-22,9.629
2021-11-23,7.884501
2021-11-24,6.7020006
2021-11-25,8.3515
2021-11-26,7.436
2021-11-27,6.981
2021-11-28,5.3754997
2021-11-29,10.1065
2021-11-30,9.341
2021-12-01,8.263999
2021-12-02,8.215501
2021-12-03,8.849
2021-12-04,9.740999
2021-12-05,9.3175
2021-12-06,9.4385
2021-12-07,10.8220005
2021-12-08,9.992
2021-12-09,9.759
2021-12-10,12.995
2021-12-11,13.686002
2021-12-12,10.974
2021-12-13,9.856
2021-12-14,9.193
2021-12-15,9.346
2021-12-16,8.714999
2021-12-17,8.4279995
2021-12-18,8.6195
2021-12-19,8.9245
2021-12-20,8.284499
2021-12-21,11.153501
2021-12-22,10.044001
2021-12-23,11.0455
2021-12-24,11.6255
2021-12-25,12.592
2021-12-26,12.863001
2021-12-27,15.633499
2021-12-28,14.157498
2021-12-29,13.4105
2021-12-30,12.7595
2021-12-31,11.894999
