time,CH023
2021-01-01,5.4616666
2021-01-02,4.9233327
2021-01-03,6.223333
2021-01-04,5.565
2021-01-05,6.0416665
2021-01-06,5.3666663
2021-01-07,5.836666
2021-01-08,2.5416665
2021-01-09,0.06166665
2021-01-10,-0.46000004
2021-01-11,-0.29999998
2021-01-12,0.38333333
2021-01-13,-0.145
2021-01-14,-3.705
2021-01-15,-3.915
2021-01-16,-5.6866665
2021-01-17,-5.9183335
2021-01-18,-4.963333
2021-01-19,-2.4033332
2021-01-20,-0.64166665
2021-01-21,3.6349995
2021-01-22,5.2
2021-01-23,5.7416663
2021-01-24,6.7316666
2021-01-25,5.0383334
2021-01-26,-0.51666665
2021-01-27,-1.7116667
2021-01-28,-0.070000015
2021-01-29,2.9583333
2021-01-30,5.965
2021-01-31,5.1299996
2021-02-01,7.733333
2021-02-02,7.4799995
2021-02-03,9.416666
2021-02-04,8.618333
2021-02-05,8.451667
2021-02-06,9.59
2021-02-07,8.688333
2021-02-08,8.561667
2021-02-09,7.6983333
2021-02-10,7.461666
2021-02-11,9.273333
2021-02-12,-4.896667
2021-02-13,-8.433333
2021-02-14,-9.385
2021-02-15,-5.5699997
2021-02-16,-4.7999997
2021-02-17,-1.355
2021-02-18,3.5683334
2021-02-19,2.7183335
2021-02-20,2.915
2021-02-21,4.2000003
2021-02-22,4.7033334
2021-02-23,7.561667
2021-02-24,6.6049995
2021-02-25,7.8283334
2021-02-26,9.804999
2021-02-27,6.795
2021-02-28,4.5066667
2021-03-01,3.1966667
2021-03-02,4.935
2021-03-03,6.3266664
2021-03-04,7.5449996
2021-03-05,5.78
2021-03-06,2.9899998
2021-03-07,1.4066666
2021-03-08,3.6333332
2021-03-09,1.9333334
2021-03-10,0.8983333
2021-03-11,2.0566666
2021-03-12,2.3033333
2021-03-13,5.816667
2021-03-14,6.19
2021-03-15,4.1583333
2021-03-16,1.3983332
2021-03-17,1.3916668
2021-03-18,1.0233333
2021-03-19,1.0816666
2021-03-20,0.15499997
2021-03-21,1.9316667
2021-03-22,-0.28166667
2021-03-23,-1.1316667
2021-03-24,0.26166666
2021-03-25,0.49833333
2021-03-26,2.2933333
2021-03-27,4.4149995
2021-03-28,6.463333
2021-03-29,7.1866665
2021-03-30,6.2016664
2021-03-31,6.8283334
2021-04-01,9.349999
2021-04-02,9.42
2021-04-03,9.721667
2021-04-04,3.9266665
2021-04-05,5.173333
2021-04-06,7.611666
2021-04-07,2.535
2021-04-08,1.5233332
2021-04-09,2.5783331
2021-04-10,4.613333
2021-04-11,7.8899994
2021-04-12,12.429999
2021-04-13,11.739999
2021-04-14,4.683333
2021-04-15,4.595
2021-04-16,4.5316663
2021-04-17,3.8483334
2021-04-18,5.4816666
2021-04-19,5.515
2021-04-20,7.028333
2021-04-21,8.426666
2021-04-22,8.176666
2021-04-23,10.815
2021-04-24,8.813333
2021-04-25,9.918333
2021-04-26,11.808333
2021-04-27,13.501667
2021-04-28,13.028333
2021-04-29,13.608333
2021-04-30,16.831665
2021-05-01,18.058332
2021-05-02,18.521666
2021-05-03,14.501666
2021-05-04,12.855
2021-05-05,13.966666
2021-05-06,14.065
2021-05-07,14.721667
2021-05-08,12.495
2021-05-09,11.899999
2021-05-10,14.795001
2021-05-11,16.726667
2021-05-12,14.333333
2021-05-13,12.048332
2021-05-14,10.79
2021-05-15,11.823334
2021-05-16,12.674999
2021-05-17,12.945
2021-05-18,13.43
2021-05-19,13.168332
2021-05-20,10.868333
2021-05-21,11.695
2021-05-22,13.389999
2021-05-23,18.208334
2021-05-24,20.519999
2021-05-25,21.128332
2021-05-26,17.443335
2021-05-27,16.83
2021-05-28,13.419999
2021-05-29,13.578334
2021-05-30,10.968333
2021-05-31,10.543334
2021-06-01,9.96
2021-06-02,12.708333
2021-06-03,12.84
2021-06-04,14.098332
2021-06-05,14.856667
2021-06-06,16.42
