time,ITG13
2021-01-01,-0.120000005
2021-01-02,-0.635
2021-01-03,1.1199999
2021-01-04,1.3
2021-01-05,1.6299999
2021-01-06,1.52
2021-01-07,-1.865
2021-01-08,-0.49
2021-01-09,0.195
2021-01-10,1.17
2021-01-11,4.745
2021-01-12,3.55
2021-01-13,1.06
2021-01-14,2.455
2021-01-15,-0.6
2021-01-16,3.21
2021-01-17,4.72
2021-01-18,4.045
2021-01-19,6.7599998
2021-01-20,6.41
2021-01-21,2.51
2021-01-22,1.4549999
2021-01-23,-0.46
2021-01-24,-1.8799999
2021-01-25,-0.33
2021-01-26,1.65
2021-01-27,4.41
2021-01-28,5.0299997
2021-01-29,5.85
2021-01-30,2.995
2021-01-31,-0.66499996
2021-02-01,2.1399999
2021-02-02,3.3649998
2021-02-03,5.97
2021-02-04,4.2799997
2021-02-05,5.75
2021-02-06,3.55
2021-02-07,1.03
2021-02-08,-0.645
2021-02-09,-1.24
2021-02-10,-0.93999994
2021-02-11,-1.8499999
2021-02-12,-0.6
2021-02-13,-0.895
2021-02-14,2.32
2021-02-15,6.8999996
2021-02-16,8.275
2021-02-17,7.71
2021-02-18,7.1499996
2021-02-19,5.585
2021-02-20,9.5199995
2021-02-21,8.719999
2021-02-22,8.23
2021-02-23,7.325
2021-02-24,11.585
2021-02-25,7.6899996
2021-02-26,5.46
2021-02-27,5.265
2021-02-28,4.91
2021-03-01,3.8
2021-03-02,3.79
2021-03-03,3.1149998
2021-03-04,4.42
2021-03-05,3.2849998
2021-03-06,2.225
2021-03-07,3.2350001
2021-03-08,4.755
2021-03-09,6.62
2021-03-10,7.1499996
2021-03-11,8.009999
2021-03-12,5.85
2021-03-13,4.96
2021-03-14,6.0199995
2021-03-15,8.03
2021-03-16,8.965
2021-03-17,6.79
2021-03-18,7.225
2021-03-19,7.425
2021-03-20,7.8549995
2021-03-21,7.5099998
2021-03-22,6.465
2021-03-23,7.2599998
2021-03-24,8.664999
2021-03-25,8.27
2021-03-26,8.625
2021-03-27,4.885
2021-03-28,9.375
2021-03-29,11.724999
2021-03-30,11.369999
2021-03-31,11.994999
2021-04-01,7.33
2021-04-02,5.515
2021-04-03,5.7749996
2021-04-04,6.84
2021-04-05,3.5
2021-04-06,2.2949998
2021-04-07,2.195
2021-04-08,6.42
2021-04-09,4.6549997
2021-04-10,2.62
2021-04-11,2.545
2021-04-12,3.3
2021-04-13,4.355
2021-04-14,5.6749997
2021-04-15,5.0
2021-04-16,4.8
2021-04-17,5.745
2021-04-18,6.29
2021-04-19,8.15
2021-04-20,8.495
2021-04-21,8.344999
2021-04-22,5.85
2021-04-23,7.66
2021-04-24,7.995
2021-04-25,6.24
2021-04-26,6.055
2021-04-27,7.075
2021-04-28,6.7799997
2021-04-29,4.825
2021-04-30,5.615
2021-05-01,5.0599995
2021-05-02,6.035
2021-05-03,7.37
2021-05-04,6.875
2021-05-05,5.265
2021-05-06,5.12
2021-05-07,6.12
2021-05-08,8.085
2021-05-09,11.844999
2021-05-10,11.23
2021-05-11,9.405
2021-05-12,9.025
2021-05-13,10.389999
2021-05-14,9.059999
2021-05-15,9.19
2021-05-16,9.91
2021-05-17,10.61
2021-05-18,10.535
2021-05-19,10.3
2021-05-20,8.66
2021-05-21,9.879999
2021-05-22,8.764999
2021-05-23,7.995
2021-05-24,8.255
2021-05-25,9.184999
2021-05-26,9.785
2021-05-27,10.875
2021-05-28,12.0199995
2021-05-29,14.094999
2021-05-30,12.594999
2021-05-31,13.485
2021-06-01,15.975
2021-06-02,16.25
2021-06-03,15.24
2021-06-04,13.575
2021-06-05,14.219999
2021-06-06,15.495
2021-06-07,15.379999
2021-06-08,15.424999
2021-06-09,16.49
2021-06-10,17.95
2021-06-11,16.939999
2021-06-12,14.625
2021-06-13,16.875
2021-06-14,16.779999
2021-06-15,14.054999
2021-06-16,17.474998
2021-06-17,15.09
2021-06-18,13.145
2021-06-19,11.914999
2021-06-20,12.684999
2021-06-21,11.885
2021-06-22,11.77
2021-06-23,12.84
2021-06-24,15.66
2021-06-25,13.205
2021-06-26,13.504999
2021-06-27,15.23
2021-06-28,14.865
2021-06-29,15.945
2021-06-30,14.49
2021-07-01,14.485
2021-07-02,16.77
2021-07-03,17.515
2021-07-04,17.314999
2021-07-05,15.389999
2021-07-06,14.619999
2021-07-07,16.395
2021-07-08,16.64
2021-07-09,16.31
2021-07-10,16.715
2021-07-11,15.664999
2021-07-12,16.395
2021-07-13,17.425
2021-07-14,17.105
2021-07-15,17.4
2021-07-16,18.61
2021-07-17,20.17
2021-07-18,20.86
2021-07-19,20.41
2021-07-20,20.32
2021-07-21,20.16
2021-07-22,20.235
2021-07-23,17.535
2021-07-24,17.205
2021-07-25,17.21
2021-07-26,19.029999
2021-07-27,17.76
2021-07-28,16.52
2021-07-29,15.505
2021-07-30,14.955
2021-07-31,15.769999
2021-08-01,14.459999
2021-08-02,14.18
2021-08-03,14.215
2021-08-04,15.315
2021-08-05,15.655
2021-08-06,16.51
2021-08-07,15.445
2021-08-08,15.504999
2021-08-09,15.34
2021-08-10,16.42
2021-08-11,15.66
2021-08-12,15.545
2021-08-13,16.605
2021-08-14,16.109999
2021-08-15,15.889999
2021-08-16,14.414999
2021-08-17,14.6
2021-08-18,16.29
2021-08-19,15.429999
2021-08-20,16.4
2021-08-21,16.875
2021-08-22,16.759998
2021-08-23,16.369999
2021-08-24,15.639999
2021-08-25,15.805
2021-08-26,15.355
2021-08-27,13.834999
