time,DEG0K
2021-08-13,18.38
2021-08-14,20.214167
2021-08-15,19.064165
2021-08-16,19.56
2021-08-17,17.164999
2021-08-18,14.845
2021-08-19,16.349165
2021-08-20,17.058332
2021-08-21,16.012499
2021-08-22,14.204166
2021-08-23,14.794166
2021-08-24,12.483334
2021-08-25,12.655
2021-08-26,13.284165
2021-08-27,14.813333
2021-08-28,16.179167
2021-08-29,15.198333
2021-08-30,15.267501
2021-08-31,14.935833
2021-09-01,14.061666
2021-09-02,12.528333
2021-09-03,12.971665
2021-09-04,10.389999
2021-09-05,8.522499
2021-09-06,11.074166
2021-09-07,14.360833
2021-09-08,15.374166
2021-09-09,17.39
2021-09-10,17.230831
2021-09-11,16.548334
2021-09-12,16.669998
2021-09-13,14.905833
2021-09-14,12.225833
2021-09-15,11.903333
2021-09-16,11.6675005
2021-09-17,11.800832
2021-09-18,9.120833
2021-09-19,7.7550006
2021-09-20,6.3058333
2021-09-21,7.361666
2021-09-22,7.650833
2021-09-23,9.218333
2021-09-24,10.474167
2021-09-25,12.169167
2021-09-26,11.791667
2021-09-27,10.424167
2021-09-28,10.533334
2021-09-29,10.450001
2021-09-30,9.491667
2021-10-01,10.441667
2021-10-02,11.140832
2021-10-03,12.1433325
2021-10-04,12.455833
2021-10-05,13.209999
2021-10-06,13.052501
2021-10-07,9.8533325
2021-10-08,5.8366666
2021-10-09,6.994167
2021-10-10,7.8016667
2021-10-11,5.949166
2021-10-12,6.8475003
2021-10-13,5.901666
2021-10-14,6.0358334
2021-10-15,9.47
2021-10-16,8.968332
2021-10-17,8.071667
2021-10-18,6.491667
2021-10-19,6.0358334
2021-10-20,11.574166
2021-10-21,12.830833
2021-10-22,7.9850006
2021-10-23,5.633333
2021-10-24,4.513333
2021-10-25,5.824167
2021-10-26,6.0425
2021-10-27,9.038333
2021-10-28,11.693334
2021-10-29,10.12
2021-10-30,9.030833
2021-10-31,9.965833
2021-11-01,7.9966664
2021-11-02,5.9283333
2021-11-03,7.0399995
2021-11-04,6.9616666
2021-11-05,7.9525
2021-11-06,7.1758327
2021-11-07,7.630833
2021-11-08,4.7275
2021-11-09,1.0008333
2021-11-10,5.6941667
2021-11-11,6.8541665
2021-11-12,5.595833
2021-11-13,3.4449997
2021-11-14,3.5058334
2021-11-15,1.2275
2021-11-16,2.6558332
2021-11-17,2.7883332
2021-11-18,4.9624996
2021-11-19,7.2199993
2021-11-20,7.2866664
2021-11-21,5.265
2021-11-22,0.38583335
2021-11-23,1.2458333
2021-11-24,4.3441663
2021-11-25,4.5899997
2021-11-26,4.1124997
2021-11-27,1.5091666
2021-11-28,0.77833325
2021-11-29,0.9875
2021-11-30,-1.0608333
2021-12-01,-1.7241665
2021-12-02,2.6958332
2021-12-03,-0.8808333
2021-12-04,-1.3833333
2021-12-05,-3.3708332
2021-12-06,-8.775833
2021-12-07,-11.791667
2021-12-08,-10.021667
2021-12-09,-8.589167
2021-12-10,-0.93333334
2021-12-11,1.0133333
2021-12-12,-0.8625
2021-12-13,-1.61
2021-12-14,-1.1408333
2021-12-15,1.9158331
2021-12-16,4.445833
2021-12-17,2.6341667
2021-12-18,1.9908334
2021-12-19,1.2325
2021-12-20,-3.168333
2021-12-21,-7.1074996
2021-12-22,-9.751667
2021-12-23,-6.883333
2021-12-24,-3.6733332
2021-12-25,-4.8075
2021-12-26,-5.210833
2021-12-27,-6.3233333
2021-12-28,-8.1425
2021-12-29,-7.8016667
2021-12-30,-3.9466665
2021-12-31,2.3325
