time,DEF0B
2021-08-21,26.103333
2021-08-22,26.646667
2021-08-23,25.32
2021-08-24,24.454168
2021-08-25,24.541666
2021-08-26,24.739164
2021-08-27,24.5875
2021-08-28,25.163336
2021-08-29,23.750834
2021-08-30,22.626665
2021-08-31,23.247498
2021-09-01,23.474998
2021-09-02,22.169998
2021-09-03,22.423334
2021-09-04,23.580832
2021-09-05,24.976667
2021-09-06,27.154999
2021-09-07,26.0625
2021-09-08,24.338333
2021-09-09,23.912498
2021-09-10,24.891668
2021-09-11,23.6825
2021-09-12,24.055834
2021-09-13,23.213333
2021-09-14,19.616667
2021-09-15,20.594166
2021-09-16,19.986666
2021-09-17,20.816666
2021-09-18,22.211668
2021-09-19,20.850834
2021-09-20,21.127499
2021-09-21,20.1775
2021-09-22,19.8025
2021-09-23,20.510834
2021-09-24,20.388332
2021-09-25,19.943333
2021-09-26,19.221666
2021-09-27,19.934166
2021-09-28,20.508333
2021-09-29,20.35
2021-09-30,21.93
2021-10-01,21.295
2021-10-02,20.93
2021-10-03,18.24
2021-10-04,16.005835
2021-10-05,16.946667
2021-10-06,19.723333
2021-10-07,19.85
2021-10-08,19.690832
2021-10-09,19.828333
2021-10-10,19.970835
2021-10-11,19.461666
2021-10-12,19.744999
2021-10-13,18.393332
2021-10-14,18.585833
2021-10-15,18.7325
2021-10-16,17.870832
2021-10-17,19.688334
2021-10-18,19.101667
2021-10-19,19.858332
2021-10-20,19.355833
2021-10-21,17.798332
2021-10-22,16.651667
2021-10-23,16.528334
2021-10-24,16.042501
2021-10-25,14.925834
2021-10-26,16.49
2021-10-27,15.528333
2021-10-28,16.485
2021-10-29,16.869999
2021-10-30,20.176666
2021-10-31,20.268332
2021-11-01,19.3575
2021-11-02,16.261667
2021-11-03,13.149166
2021-11-04,11.0216675
2021-11-05,11.09
2021-11-06,10.471667
2021-11-07,9.765834
2021-11-08,10.2675
2021-11-09,12.203334
2021-11-10,12.855
2021-11-11,11.9783325
2021-11-12,11.318333
2021-11-13,11.740832
2021-11-14,12.964166
2021-11-15,12.924167
2021-11-16,9.9975
2021-11-17,10.185
2021-11-18,11.954166
2021-11-19,14.052499
2021-11-20,13.509167
2021-11-21,13.420833
2021-11-22,12.352501
2021-11-23,8.231667
2021-11-24,7.4383335
2021-11-25,9.019167
2021-11-26,8.1775
2021-11-27,7.043333
2021-11-28,5.1324997
2021-11-29,9.499999
2021-11-30,8.905833
2021-12-01,6.7116666
2021-12-02,8.705001
2021-12-03,7.9375
2021-12-04,8.970832
2021-12-05,10.2
2021-12-06,9.019166
2021-12-07,10.529166
2021-12-08,11.275833
2021-12-09,9.162499
2021-12-10,10.735
2021-12-11,12.950833
2021-12-12,12.13
2021-12-13,11.500833
2021-12-14,10.211666
2021-12-15,10.669999
2021-12-16,10.958333
2021-12-17,10.945
2021-12-18,10.599999
2021-12-19,11.599167
2021-12-20,11.0199995
2021-12-21,11.646667
2021-12-22,11.575832
2021-12-23,11.183333
2021-12-24,11.954166
2021-12-25,12.536666
2021-12-26,14.1525
2021-12-27,15.3
2021-12-28,13.993335
2021-12-29,13.09
2021-12-30,12.569167
2021-12-31,11.065
