time,BG314
2021-08-19,25.021427
2021-08-20,25.889284
2021-08-21,26.199284
2021-08-22,26.909285
2021-08-23,28.25357
2021-08-24,25.602858
2021-08-25,24.299286
2021-08-26,25.794998
2021-08-27,26.456427
2021-08-28,24.969286
2021-08-29,24.057142
2021-08-30,23.452145
2021-08-31,24.015713
2021-09-01,19.767857
2021-09-02,19.549286
2021-09-03,21.375715
2021-09-04,22.414286
2021-09-05,24.443571
2021-09-06,26.029999
2021-09-07,25.088572
2021-09-08,21.766428
2021-09-09,21.572857
2021-09-10,21.247854
2021-09-11,20.464285
2021-09-12,22.744999
2021-09-13,21.520712
2021-09-14,17.264284
2021-09-15,18.372143
2021-09-16,19.498571
2021-09-17,19.792856
2021-09-18,19.000715
2021-09-19,17.524998
2021-09-20,17.231428
2021-09-21,15.255713
2021-09-22,16.294285
2021-09-23,18.604284
2021-09-24,18.768572
2021-09-25,17.322857
2021-09-26,17.25357
2021-09-27,18.19857
2021-09-28,18.329285
2021-09-29,17.48643
2021-09-30,18.217142
2021-10-01,18.424286
2021-10-02,18.357859
2021-10-03,13.518571
2021-10-04,12.667856
2021-10-05,14.963571
2021-10-06,16.937143
2021-10-07,17.078571
2021-10-08,17.644999
2021-10-09,16.470713
2021-10-10,16.776428
2021-10-11,16.369999
2021-10-12,16.327143
2021-10-13,16.355
2021-10-14,15.590001
2021-10-15,16.225
2021-10-16,14.9728565
2021-10-17,17.012856
2021-10-18,17.972857
2021-10-19,18.354284
2021-10-20,17.783571
2021-10-21,15.408571
2021-10-22,13.721429
2021-10-23,12.165
2021-10-24,12.08
2021-10-25,12.670713
2021-10-26,13.777857
2021-10-27,13.169286
2021-10-28,13.497142
2021-10-29,12.857857
2021-10-30,15.342141
2021-10-31,15.950714
2021-11-01,12.363571
2021-11-02,9.643571
2021-11-03,7.9164286
2021-11-04,6.7035713
2021-11-05,6.500714
2021-11-06,6.3507147
2021-11-07,6.406429
2021-11-08,9.905
2021-11-09,9.474999
2021-11-10,8.678572
2021-11-11,8.995714
2021-11-12,10.944285
2021-11-13,10.114285
2021-11-14,9.881429
2021-11-15,8.751429
2021-11-16,7.093571
2021-11-17,7.957143
2021-11-18,7.7142854
2021-11-19,9.182143
2021-11-20,9.170714
2021-11-21,9.717857
2021-11-22,6.077857
2021-11-23,3.4185715
2021-11-24,3.7114284
2021-11-25,4.647857
2021-11-26,5.0614285
2021-11-27,4.2585716
2021-11-28,4.203572
2021-11-29,8.326428
2021-11-30,6.7999997
2021-12-01,4.449286
2021-12-02,5.062857
2021-12-03,6.136429
2021-12-04,6.7000003
2021-12-05,6.5642853
2021-12-06,7.6292853
2021-12-07,6.721428
2021-12-08,6.185
2021-12-09,7.1307144
2021-12-10,10.202857
2021-12-11,10.527857
2021-12-12,9.119285
2021-12-13,8.169286
2021-12-14,8.715714
2021-12-15,9.362143
2021-12-16,6.509286
2021-12-17,6.0807147
2021-12-18,5.375714
