time,EE001
2021-01-01,1.9699999
2021-01-02,1.64
2021-01-03,0.48
2021-01-04,0.71999997
2021-01-05,1.65
2021-01-06,1.73
2021-01-07,0.91999996
2021-01-08,0.93
2021-01-09,1.3299999
2021-01-10,0.61
2021-01-11,0.63
2021-01-12,1.51
2021-01-13,1.43
2021-01-14,1.12
2021-01-15,-0.42
2021-01-16,-1.63
2021-01-17,-2.1
2021-01-18,-1.41
2021-01-19,2.61
2021-01-20,5.92
2021-01-21,8.599999
2021-01-22,6.64
2021-01-23,1.4
2021-01-24,1.01
2021-01-25,0.88
2021-01-26,0.48999998
2021-01-27,1.66
2021-01-28,1.23
2021-01-29,-1.3299999
2021-01-30,-1.3
2021-01-31,-4.98
2021-02-01,-2.6699998
2021-02-02,0.58
2021-02-03,3.74
2021-02-04,0.63
2021-02-05,-0.12
2021-02-06,-2.04
2021-02-07,-5.93
2021-02-08,-8.96
2021-02-09,-8.47
2021-02-10,-8.59
2021-02-11,-4.9
2021-02-12,-5.64
2021-02-13,-7.44
2021-02-14,-6.8399997
2021-02-15,-4.98
2021-02-16,1.25
2021-02-17,4.45
2021-02-18,6.62
2021-02-19,5.58
2021-02-20,6.12
2021-02-21,8.73
2021-02-22,6.15
2021-02-23,10.13
2021-02-24,12.28
2021-02-25,11.639999
2021-02-26,7.17
2021-02-27,4.74
2021-02-28,2.3899999
2021-03-01,3.87
2021-03-02,2.6799998
2021-03-03,6.3799996
2021-03-04,3.3899999
2021-03-05,1.1899999
2021-03-06,0.94
2021-03-07,2.82
2021-03-08,1.81
2021-03-09,1.5699999
2021-03-10,2.4199998
2021-03-11,6.2999997
2021-03-12,7.2599998
2021-03-13,5.95
2021-03-14,5.0099998
2021-03-15,4.73
2021-03-16,4.08
2021-03-17,1.3399999
2021-03-18,2.32
2021-03-19,0.53
2021-03-20,1.02
2021-03-21,5.18
2021-03-22,4.7999997
2021-03-23,5.62
2021-03-24,7.4199996
2021-03-25,8.29
2021-03-26,9.86
2021-03-27,6.33
2021-03-28,7.46
2021-03-29,13.86
2021-03-30,13.509999
2021-03-31,14.29
2021-04-01,10.469999
2021-04-02,5.69
2021-04-03,5.18
2021-04-04,4.65
2021-04-05,3.6799998
2021-04-06,1.39
2021-04-07,2.6499999
2021-04-08,4.29
2021-04-09,7.81
2021-04-10,7.1
2021-04-11,11.099999
2021-04-12,4.64
2021-04-13,4.4
2021-04-14,4.45
2021-04-15,4.0299997
2021-04-16,6.83
2021-04-17,8.7699995
2021-04-18,7.2799997
2021-04-19,10.25
2021-04-20,11.37
2021-04-21,9.98
2021-04-22,7.22
2021-04-23,8.13
2021-04-24,7.21
2021-04-25,5.5499997
2021-04-26,4.35
2021-04-27,6.8999996
2021-04-28,11.059999
2021-04-29,10.639999
2021-04-30,8.04
2021-05-01,8.74
2021-05-02,7.7999997
2021-05-03,7.14
2021-05-04,10.15
2021-05-05,8.559999
2021-05-06,7.58
2021-05-07,5.15
2021-05-08,9.29
2021-05-09,18.64
2021-05-10,21.39
2021-05-11,20.55
2021-05-12,13.45
2021-05-13,11.259999
2021-05-14,9.96
2021-05-15,13.0199995
2021-05-16,12.55
2021-05-17,13.099999
2021-05-18,10.98
2021-05-19,12.09
2021-05-20,12.79
2021-05-21,14.57
2021-05-22,12.38
2021-05-23,11.74
2021-05-24,15.24
2021-05-25,12.139999
2021-05-26,12.29
2021-05-27,11.57
2021-05-28,11.33
2021-05-29,12.12
2021-05-30,13.79
2021-05-31,14.2
2021-06-01,16.77
2021-06-02,17.74
2021-06-03,20.48
2021-06-04,18.63
2021-06-05,21.14
2021-06-06,21.63
2021-06-07,20.32
2021-06-08,20.689999
2021-06-09,20.25
2021-06-10,21.76
2021-06-11,21.96
2021-06-12,18.279999
2021-06-13,14.83
2021-06-14,19.01
2021-06-15,19.22
2021-06-16,20.529999
2021-06-17,26.199999
2021-06-18,27.349998
2021-06-19,27.41
2021-06-20,27.39
2021-06-21,25.029999
2021-06-22,18.26
2021-06-23,16.52
2021-06-24,16.949999
2021-06-25,19.67
2021-06-26,20.4
2021-06-27,20.99
2021-06-28,24.13
2021-06-29,23.019999
2021-06-30,17.71
2021-07-01,15.42
2021-07-02,19.619999
2021-07-03,19.48
2021-07-04,21.63
2021-07-05,19.73
2021-07-06,22.869999
2021-07-07,18.69
2021-07-08,18.449999
2021-07-09,17.52
2021-07-10,18.91
2021-07-11,22.17
2021-07-12,21.42
2021-07-13,23.71
2021-07-14,21.64
2021-07-15,21.16
2021-07-16,22.85
2021-07-17,23.26
2021-07-18,21.609999
2021-07-19,16.88
2021-07-20,17.23
2021-07-21,18.119999
2021-07-22,19.68
2021-07-23,19.67
2021-07-24,23.199999
2021-07-25,23.13
2021-07-26,23.35
2021-07-27,22.699999
2021-07-28,20.6
2021-07-29,20.09
2021-07-30,19.66
2021-07-31,20.119999
2021-08-01,17.46
2021-08-02,16.97
2021-08-03,17.279999
2021-08-04,18.32
2021-08-05,18.25
2021-08-06,19.26
2021-08-07,19.34
2021-08-08,18.73
2021-08-09,17.35
2021-08-10,17.8
2021-08-11,17.26
2021-08-12,19.97
2021-08-13,23.029999
2021-08-14,20.98
2021-08-15,19.949999
2021-08-16,17.81
2021-08-17,15.04
2021-08-18,16.81
2021-08-19,18.21
2021-08-20,17.22
2021-08-21,18.289999
2021-08-22,17.9
2021-08-23,16.619999
2021-08-24,16.02
2021-08-25,14.679999
2021-08-26,14.37
2021-08-27,14.299999
2021-08-28,15.33
2021-08-29,15.61
2021-08-30,15.54
2021-08-31,15.82
2021-09-01,15.559999
2021-09-02,15.0
