time,DE27E
2021-01-01,3.5283334
2021-01-02,5.9933333
2021-01-03,6.029167
2021-01-04,6.028333
2021-01-05,5.33
2021-01-06,4.5816665
2021-01-07,3.7849998
2021-01-08,1.3149999
2021-01-09,-0.2925
2021-01-10,-1.245
2021-01-11,-0.32583335
2021-01-12,-0.83916664
2021-01-13,0.505
2021-01-14,-0.7249999
2021-01-15,-1.3041667
2021-01-16,-4.476667
2021-01-17,-5.6216664
2021-01-18,-7.646667
2021-01-19,-3.5616665
2021-01-20,1.7633333
2021-01-21,4.1458335
2021-01-22,6.3291664
2021-01-23,8.794999
2021-01-24,6.886667
2021-01-25,2.8533332
2021-01-26,1.1333333
2021-01-27,-0.68833333
2021-01-28,-1.4983333
2021-01-29,1.8025001
2021-01-30,5.2608333
2021-01-31,0.9966666
2021-02-01,-0.05416666
2021-02-02,1.5999999
2021-02-03,6.0499997
2021-02-04,11.121666
2021-02-05,6.7325
2021-02-06,6.6200004
2021-02-07,5.6033325
2021-02-08,6.4449997
2021-02-09,4.8475
2021-02-10,5.5833335
2021-02-11,0.36166668
2021-02-12,-6.6633334
2021-02-13,-7.4300003
2021-02-14,-3.6466665
2021-02-15,-2.155
2021-02-16,-2.21
2021-02-17,1.3566666
2021-02-18,3.8616664
2021-02-19,3.2283332
2021-02-20,3.9791667
2021-02-21,4.0383334
2021-02-22,6.213333
2021-02-23,7.31
2021-02-24,7.7533326
2021-02-25,9.746667
2021-02-26,10.6449995
2021-02-27,7.6541657
2021-02-28,4.754166
2021-03-01,4.2999997
2021-03-02,4.6783333
2021-03-03,7.08
2021-03-04,7.494166
2021-03-05,6.9458337
2021-03-06,3.0808334
2021-03-07,1.145
2021-03-08,2.3899999
2021-03-09,1.5649999
2021-03-10,1.4716667
2021-03-11,0.95083326
2021-03-12,7.2975
2021-03-13,8.8125
2021-03-14,9.61
2021-03-15,5.9516664
2021-03-16,5.665833
2021-03-17,5.491667
2021-03-18,3.99
2021-03-19,2.7074997
2021-03-20,1.4124999
2021-03-21,1.2008333
2021-03-22,2.3433332
2021-03-23,3.5491667
2021-03-24,5.4083333
2021-03-25,3.9016666
2021-03-26,6.6575
2021-03-27,9.378333
2021-03-28,9.625
2021-03-29,7.97
2021-03-30,11.659167
2021-03-31,13.530833
2021-04-01,14.0575
2021-04-02,13.5125
2021-04-03,8.494166
2021-04-04,5.633333
2021-04-05,6.31
2021-04-06,4.569166
2021-04-07,3.3100002
2021-04-08,3.073333
2021-04-09,4.9825
2021-04-10,9.306666
2021-04-11,11.074166
2021-04-12,14.703334
2021-04-13,9.794167
2021-04-14,5.0224996
2021-04-15,4.9825
2021-04-16,4.3941665
2021-04-17,5.994167
2021-04-18,7.4833336
2021-04-19,8.721666
2021-04-20,10.574166
2021-04-21,11.210834
2021-04-22,12.547501
2021-04-23,9.876666
2021-04-24,8.598333
2021-04-25,10.044167
2021-04-26,8.295833
2021-04-27,9.428333
2021-04-28,11.045833
2021-04-29,15.405833
2021-04-30,17.639166
2021-05-01,18.0575
2021-05-02,20.191666
2021-05-03,11.8825
2021-05-04,11.1033325
2021-05-05,16.16
2021-05-06,12.185
2021-05-07,11.951667
2021-05-08,10.648334
2021-05-09,11.876666
2021-05-10,16.152498
2021-05-11,18.713333
2021-05-12,18.411667
2021-05-13,15.5225
2021-05-14,14.3875
2021-05-15,15.438333
2021-05-16,14.805833
2021-05-17,13.791667
2021-05-18,14.3675
2021-05-19,12.569167
2021-05-20,13.285
2021-05-21,14.142499
2021-05-22,15.754167
2021-05-23,17.273333
2021-05-24,13.7625
2021-05-25,18.914167
2021-05-26,15.008334
2021-05-27,15.2925
2021-05-28,16.49
2021-05-29,14.770833
2021-05-30,13.272499
2021-05-31,12.920001
2021-06-01,14.9158325
2021-06-02,14.59
2021-06-03,15.464168
2021-06-04,18.195833
2021-06-05,19.106667
2021-06-06,20.586666
2021-06-07,19.855833
2021-06-08,20.55
2021-06-09,21.133333
2021-06-10,21.049166
2021-06-11,19.5725
2021-06-12,20.543333
2021-06-13,19.731667
2021-06-14,16.161665
2021-06-15,17.65
2021-06-16,21.414999
2021-06-17,22.3525
2021-06-18,23.262499
2021-06-19,23.720001
2021-06-20,23.252497
2021-06-21,24.7825
2021-06-22,27.5175
2021-06-23,28.079165
2021-06-24,28.795832
2021-06-25,28.791666
2021-06-26,24.363333
2021-06-27,23.61
2021-06-28,24.765833
2021-06-29,26.975
2021-06-30,28.916666
2021-07-01,24.676666
2021-07-02,21.449997
2021-07-03,21.131666
2021-07-04,21.726667
2021-07-05,23.058334
2021-07-06,24.38833
2021-07-07,26.25
2021-07-08,28.1725
2021-07-09,28.405832
2021-07-10,25.284166
2021-07-11,25.160833
2021-07-12,25.779165
2021-07-13,27.890833
2021-07-14,29.620834
2021-07-15,26.977499
2021-07-16,25.556665
2021-07-17,25.974167
2021-07-18,26.4475
2021-07-19,23.840002
2021-07-20,23.065832
2021-07-21,21.2525
2021-07-22,21.551666
2021-07-23,21.974998
2021-07-24,23.26333
2021-07-25,24.601667
2021-07-26,26.698334
2021-07-27,27.300833
2021-07-28,28.495834
2021-07-29,26.9275
2021-07-30,25.819998
2021-07-31,26.210833
2021-08-01,26.525833
2021-08-02,22.858332
2021-08-03,22.38
2021-08-04,23.5575
2021-08-05,22.8925
2021-08-06,20.845
2021-08-07,21.754166
2021-08-08,25.369165
2021-08-09,25.599167
2021-08-10,25.227499
2021-08-11,24.703333
2021-08-12,23.191666
2021-08-13,23.126669
2021-08-14,25.88
2021-08-15,27.46083
2021-08-16,28.65333
2021-08-17,23.601664
2021-08-18,18.920832
2021-08-19,18.94
2021-08-20,20.860832
2021-08-21,21.720833
2021-08-22,23.024168
2021-08-23,24.131668
2021-08-24,21.012499
2021-08-25,17.0225
2021-08-26,17.475832
2021-08-27,15.558333
2021-08-28,15.036667
2021-08-29,16.83
2021-08-30,17.475
2021-08-31,17.1425
2021-09-01,17.8975
2021-09-02,17.1775
2021-09-03,16.951666
2021-09-04,17.696665
2021-09-05,18.085833
2021-09-06,16.691666
2021-09-07,16.625834
2021-09-08,17.674166
2021-09-09,18.028334
2021-09-10,18.205833
2021-09-11,18.989166
2021-09-12,19.545
2021-09-13,20.614166
2021-09-14,20.998333
2021-09-15,21.61
2021-09-16,23.1875
2021-09-17,22.427498
2021-09-18,17.21
2021-09-19,15.625833
2021-09-20,13.246666
2021-09-21,12.3525
2021-09-22,11.403333
2021-09-23,11.446667
2021-09-24,15.865001
2021-09-25,17.136665
2021-09-26,19.5525
2021-09-27,18.475832
2021-09-28,17.766666
2021-09-29,15.895833
2021-09-30,14.645833
2021-10-01,14.764165
2021-10-02,13.923332
2021-10-03,14.8533325
2021-10-04,16.084166
