time,ITF61
2021-08-19,14.673333
2021-08-20,15.41
2021-08-21,16.006666
2021-08-22,15.633334
2021-08-23,15.486667
2021-08-24,15.009999
2021-08-25,14.943333
2021-08-26,14.783333
2021-08-27,12.966666
2021-08-28,13.576667
2021-08-29,13.906666
2021-08-30,14.423333
2021-08-31,13.62
2021-09-01,13.586666
2021-09-02,13.816666
2021-09-03,13.88
2021-09-04,15.709999
2021-09-05,16.216667
2021-09-06,18.029999
2021-09-07,19.566666
2021-09-08,18.886667
2021-09-09,17.206667
2021-09-10,16.683334
2021-09-11,16.026667
2021-09-12,13.163333
2021-09-13,13.726666
2021-09-14,14.966667
2021-09-15,14.04
2021-09-16,13.946667
2021-09-17,14.69
2021-09-18,14.803332
2021-09-19,14.383332
2021-09-20,11.573334
2021-09-21,13.096667
2021-09-22,14.726666
2021-09-23,14.826665
2021-09-24,15.476666
2021-09-25,16.056665
2021-09-26,15.740001
2021-09-27,12.13
2021-09-28,11.466667
2021-09-29,9.586666
2021-09-30,11.53
2021-10-01,12.643333
2021-10-02,9.686667
2021-10-03,9.986667
2021-10-04,11.396667
2021-10-05,10.59
2021-10-06,11.693334
2021-10-07,14.36
2021-10-08,15.0
2021-10-09,14.076667
2021-10-10,11.653333
2021-10-11,10.653333
2021-10-12,11.033333
2021-10-13,12.75
2021-10-14,11.923333
2021-10-15,9.923333
2021-10-16,10.0
2021-10-17,12.443334
2021-10-18,13.006667
2021-10-19,15.16
2021-10-20,11.16
2021-10-21,7.736666
2021-10-22,9.2
2021-10-23,9.833333
2021-10-24,12.466666
2021-10-25,11.363332
2021-10-26,10.553333
2021-10-27,14.32
2021-10-28,12.936666
2021-10-29,10.7699995
2021-10-30,9.266666
2021-10-31,9.096667
2021-11-01,8.516666
2021-11-02,6.636667
2021-11-03,6.1633334
2021-11-04,6.1999993
2021-11-05,7.1999993
2021-11-06,10.386666
2021-11-07,9.163333
2021-11-08,8.656667
2021-11-09,12.23
2021-11-10,9.503333
2021-11-11,8.306666
2021-11-12,11.009999
2021-11-13,10.756667
2021-11-14,8.996667
2021-11-15,8.72
2021-11-16,9.34
2021-11-17,8.420001
2021-11-18,10.633332
2021-11-19,11.333333
2021-11-20,10.086667
2021-11-21,6.1966667
2021-11-22,4.42
2021-11-23,5.5833335
2021-11-24,5.513333
2021-11-25,4.2166667
2021-11-26,5.733333
2021-11-27,3.6499996
2021-11-28,2.6333332
2021-11-29,2.9099998
2021-11-30,8.906667
2021-12-01,7.2333336
2021-12-02,3.0266666
2021-12-03,4.9766665
2021-12-04,4.306667
2021-12-05,4.433333
2021-12-06,3.1833332
2021-12-07,4.2799997
2021-12-08,3.68
2021-12-09,5.683333
2021-12-10,4.113333
2021-12-11,6.0
2021-12-12,9.806666
2021-12-13,8.276667
2021-12-14,7.8466663
2021-12-15,9.68
2021-12-16,8.036667
2021-12-17,8.19
2021-12-18,5.5733333
2021-12-19,3.5699997
2021-12-20,4.61
2021-12-21,3.8033333
2021-12-22,1.6166667
2021-12-23,6.486666
2021-12-24,6.593333
2021-12-25,6.4199996
2021-12-26,5.8199997
2021-12-27,6.18
2021-12-28,6.4533334
2021-12-29,7.603333
2021-12-30,11.343333
2021-12-31,12.093333
