time,FR103
2021-08-17,24.365713
2021-08-18,19.45143
2021-08-19,19.51
2021-08-20,21.124285
2021-08-21,22.102858
2021-08-22,23.572857
2021-08-23,24.997143
2021-08-24,20.83
2021-08-25,17.724285
2021-08-26,18.958572
2021-08-27,15.449999
2021-08-28,14.501428
2021-08-29,16.920002
2021-08-30,17.85
2021-08-31,17.914286
2021-09-01,18.210001
2021-09-02,18.369999
2021-09-03,17.97857
2021-09-04,18.505713
2021-09-05,19.619999
2021-09-06,18.871428
2021-09-07,18.772858
2021-09-08,18.984285
2021-09-09,19.318571
2021-09-10,19.84
2021-09-11,19.764286
2021-09-12,20.055714
2021-09-13,21.15
2021-09-14,22.132856
2021-09-15,22.671429
2021-09-16,23.814285
2021-09-17,24.692858
2021-09-18,18.808573
2021-09-19,18.181429
2021-09-20,14.155714
2021-09-21,13.817143
2021-09-22,12.384285
2021-09-23,12.0271435
2021-09-24,16.447142
2021-09-25,18.911428
2021-09-26,20.461428
2021-09-27,21.242859
2021-09-28,18.73
2021-09-29,16.954287
2021-09-30,15.241427
2021-10-01,16.874285
2021-10-02,14.7628565
2021-10-03,16.498571
2021-10-04,18.705713
2021-10-05,18.158571
2021-10-06,15.587143
2021-10-07,14.585714
2021-10-08,12.202857
2021-10-09,9.031428
2021-10-10,9.9728565
2021-10-11,9.644285
2021-10-12,11.151429
2021-10-13,9.167143
2021-10-14,6.9542856
2021-10-15,6.8442855
2021-10-16,11.8714285
2021-10-17,11.087143
2021-10-18,10.748572
2021-10-19,10.835715
2021-10-20,12.117142
2021-10-21,15.852858
2021-10-22,14.257143
2021-10-23,11.449999
2021-10-24,7.8514285
2021-10-25,8.112857
2021-10-26,9.418571
2021-10-27,8.422857
2021-10-28,8.062857
2021-10-29,10.629999
2021-10-30,12.992857
2021-10-31,12.148572
2021-11-01,11.327143
2021-11-02,11.337143
2021-11-03,11.729999
2021-11-04,18.811428
2021-11-05,13.322858
2021-11-06,8.547143
2021-11-07,8.785714
2021-11-08,9.012857
2021-11-09,9.584285
2021-11-10,7.432857
2021-11-11,7.9285707
2021-11-12,3.5442853
2021-11-13,5.944286
2021-11-14,8.538571
2021-11-15,7.175714
2021-11-16,7.557143
2021-11-17,6.7657137
2021-11-18,5.16
2021-11-19,5.8085713
2021-11-20,9.491429
2021-11-21,8.29
2021-11-22,4.9185715
2021-11-23,7.528571
2021-11-24,3.0385711
2021-11-25,5.487143
2021-11-26,7.77
2021-11-27,8.191428
2021-11-28,11.942858
2021-11-29,5.914285
2021-11-30,3.3257143
2021-12-01,7.8542857
2021-12-02,10.132857
2021-12-03,5.327143
2021-12-04,0.86714286
2021-12-05,3.132857
2021-12-06,4.4914284
2021-12-07,2.687143
2021-12-08,1.5385714
2021-12-09,3.4771428
2021-12-10,3.052857
2021-12-11,3.4199998
2021-12-12,2.292857
2021-12-13,1.312857
2021-12-14,0.7471428
2021-12-15,0.32714286
2021-12-16,3.174286
2021-12-17,4.48
2021-12-18,3.9142857
2021-12-19,3.855714
2021-12-20,3.8999999
2021-12-21,0.5371429
2021-12-22,-1.2271429
2021-12-23,-2.1585715
2021-12-24,6.55
2021-12-25,9.732857
2021-12-26,4.035714
2021-12-27,0.44
2021-12-28,1.5914285
2021-12-29,3.59
2021-12-30,3.7314284
2021-12-31,8.321428
