time,FI200
2021-01-01,5.4928565
2021-01-02,6.4342856
2021-01-03,8.42
2021-01-04,6.9814277
2021-01-05,5.762857
2021-01-06,5.2571425
2021-01-07,4.102857
2021-01-08,2.8799999
2021-01-09,0.66571426
2021-01-10,-0.24857143
2021-01-11,-0.42571425
2021-01-12,-0.23142855
2021-01-13,0.47285715
2021-01-14,0.3257143
2021-01-15,-0.49142858
2021-01-16,-2.612857
2021-01-17,-3.56
2021-01-18,-5.694286
2021-01-19,1.7971429
2021-01-20,5.7457147
2021-01-21,7.5800004
2021-01-22,9.25
2021-01-23,10.45
2021-01-24,9.084285
2021-01-25,2.9557145
2021-01-26,2.26
2021-01-27,1.0171429
2021-01-28,1.6242857
2021-01-29,6.6628566
2021-01-30,8.867143
2021-01-31,4.1257143
2021-02-01,-0.17285715
2021-02-02,1.5799999
2021-02-03,7.4642854
2021-02-04,12.801428
2021-02-05,10.877142
2021-02-06,11.065714
2021-02-07,10.098572
2021-02-08,8.622857
2021-02-09,7.872857
2021-02-10,8.759999
2021-02-11,0.34999996
2021-02-12,-5.0942855
2021-02-13,-5.8842854
2021-02-14,-2.972857
2021-02-15,-1.4128572
2021-02-16,-1.0442857
2021-02-17,2.3871427
2021-02-18,6.985714
2021-02-19,6.057143
2021-02-20,5.708572
2021-02-21,6.484285
2021-02-22,8.502856
2021-02-23,9.697143
2021-02-24,8.868571
2021-02-25,10.694285
2021-02-26,11.5742855
2021-02-27,8.301428
2021-02-28,6.175714
2021-03-01,5.3685718
2021-03-02,5.574286
2021-03-03,7.697143
2021-03-04,8.561429
2021-03-05,8.8
2021-03-06,3.822857
2021-03-07,0.98714286
2021-03-08,3.4985714
2021-03-09,2.2557142
2021-03-10,3.7485714
2021-03-11,2.8114283
2021-03-12,8.175714
2021-03-13,10.004286
2021-03-14,11.145714
2021-03-15,5.86
2021-03-16,6.2357144
2021-03-17,5.575714
2021-03-18,4.4014287
2021-03-19,3.3600001
2021-03-20,2.5085714
2021-03-21,1.3371428
2021-03-22,2.0485713
2021-03-23,4.1257143
2021-03-24,6.21
2021-03-25,4.8285713
2021-03-26,7.491429
2021-03-27,10.08
2021-03-28,11.287143
2021-03-29,9.849999
2021-03-30,11.932858
2021-03-31,13.839999
2021-04-01,14.53
2021-04-02,15.767143
2021-04-03,10.099999
2021-04-04,5.825714
2021-04-05,6.6814284
2021-04-06,4.9371424
2021-04-07,3.8985715
2021-04-08,4.317143
2021-04-09,6.821428
2021-04-10,11.011429
2021-04-11,11.2085705
2021-04-12,14.857142
2021-04-13,6.4799995
2021-04-14,4.397143
2021-04-15,5.1142855
2021-04-16,4.6899996
2021-04-17,6.4900002
2021-04-18,7.4671426
2021-04-19,8.95
2021-04-20,10.4800005
2021-04-21,11.927144
2021-04-22,13.605713
2021-04-23,11.881429
2021-04-24,10.042856
2021-04-25,11.639999
2021-04-26,11.088571
2021-04-27,9.432857
2021-04-28,11.565714
2021-04-29,16.674286
2021-04-30,18.495714
2021-05-01,20.91857
2021-05-02,21.945715
2021-05-03,12.807142
2021-05-04,12.795714
2021-05-05,16.895714
2021-05-06,13.384286
2021-05-07,14.725714
2021-05-08,11.729999
2021-05-09,13.344286
2021-05-10,18.868572
2021-05-11,20.484285
2021-05-12,18.515715
2021-05-13,15.82
2021-05-14,16.927143
2021-05-15,16.045713
2021-05-16,17.565714
2021-05-17,14.905714
2021-05-18,15.647141
2021-05-19,13.312858
2021-05-20,11.7628565
2021-05-21,15.124285
2021-05-22,17.53857
2021-05-23,19.974287
2021-05-24,14.04
2021-05-25,20.070002
2021-05-26,15.034285
2021-05-27,17.307142
2021-05-28,17.231428
2021-05-29,15.922856
2021-05-30,15.367142
2021-05-31,13.795715
2021-06-01,15.334285
2021-06-02,15.495714
2021-06-03,16.484285
2021-06-04,18.13
2021-06-05,19.438572
2021-06-06,19.371428
2021-06-07,20.571428
2021-06-08,21.198572
2021-06-09,21.962858
2021-06-10,21.235714
2021-06-11,19.937143
2021-06-12,21.007143
2021-06-13,20.617142
2021-06-14,16.488571
2021-06-15,20.085714
2021-06-16,21.377142
2021-06-17,22.965714
2021-06-18,23.362856
2021-06-19,25.531427
2021-06-20,24.64143
2021-06-21,26.100002
2021-06-22,28.305712
2021-06-23,29.192856
2021-06-24,29.848572
2021-06-25,29.231428
2021-06-26,24.665714
2021-06-27,24.319998
2021-06-28,25.475714
2021-06-29,27.722858
2021-06-30,28.96857
2021-07-01,23.461428
