time,ITC4D
2021-08-23,21.085
2021-08-24,21.1675
2021-08-25,24.894999
2021-08-26,26.0725
2021-08-27,24.252499
2021-08-28,22.82
2021-08-29,22.6925
2021-08-30,24.66
2021-08-31,24.9375
2021-09-01,22.474998
2021-09-02,16.752499
2021-09-03,18.642498
2021-09-04,17.287498
2021-09-05,18.8275
2021-09-06,18.617498
2021-09-07,18.4725
2021-09-08,17.58
2021-09-09,18.365
2021-09-10,19.59
2021-09-11,18.93
2021-09-12,20.087502
2021-09-13,20.9025
2021-09-14,20.105
2021-09-15,20.11
2021-09-16,20.7075
2021-09-17,17.8925
2021-09-18,19.3875
2021-09-19,19.755
2021-09-20,19.945
2021-09-21,18.8125
2021-09-22,16.5975
2021-09-23,15.699999
2021-09-24,14.702499
2021-09-25,13.61
2021-09-26,12.535
2021-09-27,14.335
2021-09-28,15.79
2021-09-29,15.8925
2021-09-30,14.702499
2021-10-01,11.5199995
2021-10-02,13.75
2021-10-03,14.2325
2021-10-04,14.962501
2021-10-05,11.779999
2021-10-06,9.495
2021-10-07,7.6075
2021-10-08,8.575
2021-10-09,8.74
2021-10-10,10.21
2021-10-11,8.629999
2021-10-12,11.252501
2021-10-13,12.115
2021-10-14,12.96
2021-10-15,14.445
2021-10-16,14.794999
2021-10-17,16.949999
2021-10-18,
2021-10-19,12.5625
2021-10-20,13.485
2021-10-21,10.397499
2021-10-22,9.9225
2021-10-23,10.5025
2021-10-24,11.915
2021-10-25,11.035
2021-10-26,11.7074995
2021-10-27,8.6875
2021-10-28,12.190001
2021-10-29,13.237499
2021-10-30,16.395
2021-10-31,14.605
2021-11-01,19.269999
2021-11-02,17.012499
2021-11-03,14.8875
2021-11-04,9.8324995
2021-11-05,12.089999
2021-11-06,12.0325
2021-11-07,11.377501
2021-11-08,11.164999
2021-11-09,12.529999
2021-11-10,9.2125
2021-11-11,8.7375
2021-11-12,7.2924995
2021-11-13,11.440001
2021-11-14,8.309999
2021-11-15,9.464999
2021-11-16,10.525
2021-11-17,7.8324995
2021-11-18,4.7625
2021-11-19,4.3475
2021-11-20,7.7875004
2021-11-21,8.825
2021-11-22,6.3924994
2021-11-23,6.4074993
2021-11-24,8.025
2021-11-25,8.16
2021-11-26,5.4525
2021-11-27,5.005
2021-11-28,5.0874996
2021-11-29,7.245
2021-11-30,8.372499
2021-12-01,5.7825
2021-12-02,2.1799998
2021-12-03,1.2624999
2021-12-04,7.4975
2021-12-05,11.507501
2021-12-06,9.797501
2021-12-07,7.17
2021-12-08,12.18
2021-12-09,7.5099993
2021-12-10,8.54
2021-12-11,7.1875
2021-12-12,7.4575
2021-12-13,6.5699997
2021-12-14,4.065
2021-12-15,4.185
2021-12-16,5.455
2021-12-17,-0.255
2021-12-18,1.4425
2021-12-19,3.985
2021-12-20,3.175
2021-12-21,2.6575
2021-12-22,-0.24750003
2021-12-23,-2.8274999
2021-12-24,1.61
2021-12-25,-5.8025
2021-12-26,4.0874996
2021-12-27,7.8549995
2021-12-28,9.285
2021-12-29,6.5949993
2021-12-30,4.5225
2021-12-31,4.3025002
