time,FRY20
2021-08-13,18.451748
2021-08-14,15.797499
2021-08-15,17.00075
2021-08-16,18.120499
2021-08-17,15.182001
2021-08-18,15.69325
2021-08-19,16.2875
2021-08-20,17.4275
2021-08-21,17.195248
2021-08-22,18.28075
2021-08-23,14.4325
2021-08-24,14.247
2021-08-25,19.269001
2021-08-26,21.70125
2021-08-27,18.008749
2021-08-28,17.07725
2021-08-29,15.816
2021-08-30,18.257
2021-08-31,18.407251
2021-09-01,12.976
2021-09-02,8.31675
2021-09-03,10.96375
2021-09-04,8.698
2021-09-05,10.209
2021-09-06,9.4125
2021-09-07,10.417
2021-09-08,8.41
2021-09-09,9.848749
2021-09-10,13.028
2021-09-11,12.349249
2021-09-12,12.575499
2021-09-13,15.173999
2021-09-14,16.092999
2021-09-15,14.716998
2021-09-16,14.933749
2021-09-17,11.879
2021-09-18,13.60925
2021-09-19,14.906751
2021-09-20,14.892751
2021-09-21,10.852999
2021-09-22,7.0255
2021-09-23,8.83875
2021-09-24,8.84325
2021-09-25,10.1335
2021-09-26,8.91725
2021-09-27,11.10775
2021-09-28,8.552751
2021-09-29,8.98925
2021-09-30,7.0047503
2021-10-01,2.5794997
2021-10-02,5.13625
2021-10-03,7.5652494
2021-10-04,11.0555
2021-10-05,3.76525
2021-10-06,-0.8772499
2021-10-07,-3.6324997
2021-10-08,-2.4242501
2021-10-09,-2.17725
2021-10-10,0.724
2021-10-11,2.1404998
2021-10-12,1.4337499
2021-10-13,1.8897499
2021-10-14,3.9175
2021-10-15,6.4679995
2021-10-16,6.6765
2021-10-17,10.21325
2021-10-18,
2021-10-19,6.2089996
2021-10-20,6.80075
2021-10-21,2.9705
2021-10-22,3.24925
2021-10-23,4.87225
2021-10-24,6.5442495
2021-10-25,7.1015
2021-10-26,8.39625
2021-10-27,4.4255
2021-10-28,9.084
2021-10-29,10.44925
2021-10-30,13.71525
2021-10-31,10.9475
2021-11-01,12.553499
2021-11-02,10.764
2021-11-03,6.99375
2021-11-04,1.0455
2021-11-05,4.053
2021-11-06,4.5659995
2021-11-07,8.13175
2021-11-08,5.27925
2021-11-09,3.396
2021-11-10,3.2842498
2021-11-11,6.08675
2021-11-12,7.16725
2021-11-13,9.041499
2021-11-14,0.71325
2021-11-15,1.461
2021-11-16,3.78
2021-11-17,1.5717499
2021-11-18,-3.6764998
2021-11-19,-3.19625
2021-11-20,5.4539995
2021-11-21,5.9887495
2021-11-22,-0.245
2021-11-23,-3.5537498
2021-11-24,0.68675005
2021-11-25,3.8055
2021-11-26,-0.74474996
2021-11-27,-3.565
2021-11-28,-4.25
2021-11-29,-3.4717498
2021-11-30,-0.80875003
2021-12-01,-0.93375
2021-12-02,-8.0225
2021-12-03,-8.02825
2021-12-04,3.5954998
2021-12-05,6.9512496
2021-12-06,3.79725
2021-12-07,-0.382
2021-12-08,11.096
2021-12-09,5.50525
2021-12-10,4.7165003
2021-12-11,-2.88275
2021-12-12,-1.8672498
2021-12-13,1.7627499
2021-12-14,-1.176
2021-12-15,-3.8379998
2021-12-16,0.01049999
2021-12-17,-9.2960005
2021-12-18,-6.6987505
2021-12-19,1.6662499
2021-12-20,-5.142
2021-12-21,-5.923
2021-12-22,-7.00775
2021-12-23,-7.256999
2021-12-24,-4.7764997
2021-12-25,-15.844249
2021-12-26,-3.3604999
2021-12-27,4.5875
2021-12-28,7.4109993
2021-12-29,1.47275
2021-12-30,-2.72125
2021-12-31,-3.6942496
