time,DE94E
2021-08-25,17.022
2021-08-26,19.411
2021-08-27,16.866
2021-08-28,14.898999
2021-08-29,13.949
2021-08-30,15.225
2021-08-31,15.752001
2021-09-01,16.445997
2021-09-02,17.767
2021-09-03,18.137
2021-09-04,17.178999
2021-09-05,17.883
2021-09-06,17.821001
2021-09-07,17.717
2021-09-08,16.501999
2021-09-09,16.597
2021-09-10,17.901001
2021-09-11,18.152
2021-09-12,17.605
2021-09-13,18.06
2021-09-14,18.927
2021-09-15,20.336
2021-09-16,18.306
2021-09-17,17.764002
2021-09-18,17.927
2021-09-19,17.367
2021-09-20,15.282001
2021-09-21,13.272
2021-09-22,13.379
2021-09-23,14.014999
2021-09-24,15.483998
2021-09-25,16.912998
2021-09-26,16.814999
2021-09-27,18.113003
2021-09-28,16.928
2021-09-29,17.02
2021-09-30,15.2300005
2021-10-01,15.88
2021-10-02,14.750999
2021-10-03,16.573
2021-10-04,17.560999
2021-10-05,14.634
2021-10-06,13.059001
2021-10-07,10.19
2021-10-08,10.072999
2021-10-09,9.283
2021-10-10,8.593
2021-10-11,9.087999
2021-10-12,9.136
2021-10-13,8.179999
2021-10-14,6.8409996
2021-10-15,8.485
2021-10-16,8.332999
2021-10-17,10.967
2021-10-18,11.0
2021-10-19,11.803999
2021-10-20,11.344
2021-10-21,12.5859995
2021-10-22,12.9869995
2021-10-23,12.997999
2021-10-24,12.9470005
2021-10-25,11.995998
2021-10-26,11.229
2021-10-27,11.825999
2021-10-28,10.816
2021-10-29,11.153
2021-10-30,12.413
2021-10-31,12.375
2021-11-01,11.485001
2021-11-02,12.499001
2021-11-03,13.539999
2021-11-04,11.918999
2021-11-05,8.933
2021-11-06,9.610001
2021-11-07,12.764999
2021-11-08,9.834
2021-11-09,10.387999
2021-11-10,13.17
2021-11-11,13.273999
2021-11-12,13.12
2021-11-13,12.9539995
2021-11-14,9.589999
2021-11-15,11.510999
2021-11-16,7.539
2021-11-17,8.744
2021-11-18,7.8949995
2021-11-19,9.146
2021-11-20,11.365999
2021-11-21,11.452
2021-11-22,9.365
2021-11-23,6.8039994
2021-11-24,8.530001
2021-11-25,8.962
2021-11-26,8.930999
2021-11-27,9.690001
2021-11-28,6.468
2021-11-29,1.224
2021-11-30,1.8050001
2021-12-01,5.0199995
2021-12-02,6.0239997
2021-12-03,3.994
2021-12-04,4.607
2021-12-05,6.942
2021-12-06,2.9969997
2021-12-07,2.814
2021-12-08,4.4240003
2021-12-09,4.856
2021-12-10,2.799
2021-12-11,2.244
2021-12-12,2.0270002
2021-12-13,5.2910004
2021-12-14,6.6559997
2021-12-15,6.0800004
2021-12-16,7.1069994
2021-12-17,6.7809997
2021-12-18,4.787
2021-12-19,7.7629995
2021-12-20,5.5169997
2021-12-21,3.7529995
2021-12-22,2.8709998
2021-12-23,4.654
2021-12-24,9.383
2021-12-25,7.583
2021-12-26,8.431
2021-12-27,8.932
2021-12-28,9.234
2021-12-29,10.473001
2021-12-30,10.134999
2021-12-31,12.313999
