time,FRE12
2021-01-01,-0.34
2021-01-02,2.1399999
2021-01-03,2.18
2021-01-04,2.6499999
2021-01-05,2.57
2021-01-06,2.4299998
2021-01-07,-1.81
2021-01-08,0.57
2021-01-09,0.55
2021-01-10,0.97999996
2021-01-11,5.6299996
2021-01-12,7.29
2021-01-13,6.0899997
2021-01-14,8.32
2021-01-15,2.24
2021-01-16,5.29
2021-01-17,5.75
2021-01-18,5.47
2021-01-19,9.63
2021-01-20,8.84
2021-01-21,4.23
2021-01-22,3.12
2021-01-23,1.26
2021-01-24,-0.29999998
2021-01-25,1.39
2021-01-26,3.61
2021-01-27,7.72
2021-01-28,9.23
2021-01-29,9.21
2021-01-30,6.43
2021-01-31,0.77
2021-02-01,3.57
2021-02-02,8.19
2021-02-03,7.98
2021-02-04,7.29
2021-02-05,6.5099998
2021-02-06,3.85
2021-02-07,1.9
2021-02-08,0.84999996
2021-02-09,-0.66999996
2021-02-10,-0.47
2021-02-11,-1.8299999
2021-02-12,0.65
2021-02-13,-0.71
2021-02-14,4.3399997
2021-02-15,8.92
2021-02-16,9.389999
2021-02-17,8.099999
2021-02-18,7.73
2021-02-19,6.96
2021-02-20,10.17
2021-02-21,8.5199995
2021-02-22,8.11
2021-02-23,8.2
2021-02-24,11.71
2021-02-25,8.86
2021-02-26,5.0899997
2021-02-27,5.3599997
2021-02-28,5.24
2021-03-01,4.81
2021-03-02,4.41
2021-03-03,5.3399997
2021-03-04,5.16
2021-03-05,3.85
2021-03-06,1.78
2021-03-07,1.3
2021-03-08,3.58
2021-03-09,4.6
2021-03-10,8.15
2021-03-11,8.45
2021-03-12,6.31
2021-03-13,5.74
2021-03-14,6.49
2021-03-15,9.0
2021-03-16,8.96
2021-03-17,6.17
2021-03-18,5.83
2021-03-19,8.28
2021-03-20,7.1099997
2021-03-21,7.7799997
2021-03-22,6.0
2021-03-23,7.24
2021-03-24,8.5199995
2021-03-25,7.69
2021-03-26,8.42
2021-03-27,6.17
2021-03-28,9.53
2021-03-29,11.69
2021-03-30,11.99
2021-03-31,12.07
2021-04-01,10.719999
2021-04-02,6.91
2021-04-03,5.56
2021-04-04,6.64
2021-04-05,5.3599997
2021-04-06,2.6
2021-04-07,2.8
2021-04-08,6.29
2021-04-09,5.95
2021-04-10,5.21
2021-04-11,3.47
2021-04-12,4.22
2021-04-13,5.67
2021-04-14,5.7599998
2021-04-15,4.93
2021-04-16,4.36
2021-04-17,5.9
2021-04-18,6.35
2021-04-19,7.95
2021-04-20,9.15
2021-04-21,9.41
2021-04-22,7.48
2021-04-23,9.24
2021-04-24,10.05
2021-04-25,8.07
2021-04-26,6.99
2021-04-27,7.7
2021-04-28,7.37
2021-04-29,5.38
2021-04-30,5.62
2021-05-01,5.21
2021-05-02,6.31
2021-05-03,7.5899997
2021-05-04,8.65
2021-05-05,6.06
2021-05-06,5.8599997
2021-05-07,6.06
2021-05-08,9.74
2021-05-09,12.17
2021-05-10,11.07
2021-05-11,9.5
2021-05-12,9.51
2021-05-13,9.46
2021-05-14,10.49
2021-05-15,10.219999
2021-05-16,10.349999
2021-05-17,10.83
2021-05-18,10.03
2021-05-19,10.69
2021-05-20,9.65
2021-05-21,9.61
2021-05-22,9.559999
2021-05-23,8.23
2021-05-24,7.8999996
2021-05-25,9.67
2021-05-26,9.49
2021-05-27,10.08
2021-05-28,12.5199995
2021-05-29,15.059999
2021-05-30,13.95
2021-05-31,14.099999
2021-06-01,16.84
2021-06-02,16.76
2021-06-03,14.21
2021-06-04,12.95
2021-06-05,13.0
2021-06-06,14.7699995
2021-06-07,14.25
2021-06-08,13.91
2021-06-09,15.13
2021-06-10,17.07
2021-06-11,16.41
2021-06-12,15.28
2021-06-13,17.34
2021-06-14,16.529999
2021-06-15,15.16
2021-06-16,15.969999
2021-06-17,14.91
2021-06-18,12.96
2021-06-19,13.09
2021-06-20,13.799999
2021-06-21,12.45
2021-06-22,12.34
