time,DEB3G
2021-08-26,21.3275
2021-08-27,20.762497
2021-08-28,19.195
2021-08-29,18.8325
2021-08-30,20.2375
2021-08-31,20.6675
2021-09-01,20.235
2021-09-02,20.109999
2021-09-03,20.119999
2021-09-04,20.3125
2021-09-05,23.61
2021-09-06,25.359999
2021-09-07,21.545
2021-09-08,19.4075
2021-09-09,19.914999
2021-09-10,20.252499
2021-09-11,20.899998
2021-09-12,22.345001
2021-09-13,20.484999
2021-09-14,18.9925
2021-09-15,19.8025
2021-09-16,19.965
2021-09-17,18.7425
2021-09-18,17.1175
2021-09-19,17.91
2021-09-20,18.3575
2021-09-21,19.142498
2021-09-22,18.9475
2021-09-23,17.15
2021-09-24,18.535
2021-09-25,16.6975
2021-09-26,17.935001
2021-09-27,18.244999
2021-09-28,17.317501
2021-09-29,17.227499
2021-09-30,17.512499
2021-10-01,19.9525
2021-10-02,20.205
2021-10-03,15.405
2021-10-04,16.579998
2021-10-05,18.195
2021-10-06,19.845
2021-10-07,20.394999
2021-10-08,20.4825
2021-10-09,19.8875
2021-10-10,20.220001
2021-10-11,19.7075
2021-10-12,19.705
2021-10-13,20.0225
2021-10-14,18.395
2021-10-15,17.9675
2021-10-16,18.1125
2021-10-17,19.9025
2021-10-18,21.445
2021-10-19,21.165
2021-10-20,20.3125
2021-10-21,17.23
2021-10-22,16.6525
2021-10-23,15.474999
2021-10-24,15.345
2021-10-25,16.1125
2021-10-26,16.375
2021-10-27,16.195
2021-10-28,15.449999
2021-10-29,16.114998
2021-10-30,18.7575
2021-10-31,18.2875
2021-11-01,15.735
2021-11-02,13.809999
2021-11-03,11.7125
2021-11-04,10.5725
2021-11-05,9.889999
2021-11-06,10.3949995
2021-11-07,10.117499
2021-11-08,12.4775
2021-11-09,13.695
2021-11-10,12.2575
2021-11-11,11.8775
2021-11-12,10.78
2021-11-13,11.812499
2021-11-14,11.372499
2021-11-15,10.495
2021-11-16,11.5075
2021-11-17,11.672499
2021-11-18,12.155
2021-11-19,13.405
2021-11-20,14.139999
2021-11-21,12.277499
2021-11-22,9.974999
2021-11-23,7.3825
2021-11-24,8.915
2021-11-25,7.7674994
2021-11-26,6.8775
2021-11-27,8.3225
2021-11-28,7.5725
2021-11-29,10.745
2021-11-30,8.8425
2021-12-01,8.335
2021-12-02,10.0675
2021-12-03,8.497499
2021-12-04,11.295
2021-12-05,11.36
2021-12-06,11.122499
2021-12-07,11.73
2021-12-08,10.3275
2021-12-09,11.76
2021-12-10,12.7775
2021-12-11,11.4825
2021-12-12,11.467501
2021-12-13,12.0275
2021-12-14,10.355
2021-12-15,10.225
2021-12-16,11.0425
2021-12-17,10.809999
2021-12-18,9.2525
2021-12-19,11.31
2021-12-20,13.32
2021-12-21,15.3324995
2021-12-22,15.497499
2021-12-23,14.684999
2021-12-24,13.5825
2021-12-25,14.0375
2021-12-26,14.552499
2021-12-27,16.345
2021-12-28,16.2375
2021-12-29,14.9675
2021-12-30,13.4225
2021-12-31,13.2175
