time,LV008
2021-01-01,-0.9816666
2021-01-02,3.2533333
2021-01-03,2.6783333
2021-01-04,3.198333
2021-01-05,2.9966667
2021-01-06,2.6916666
2021-01-07,-2.1816666
2021-01-08,-0.18833335
2021-01-09,0.62999994
2021-01-10,0.83166665
2021-01-11,5.859999
2021-01-12,9.025
2021-01-13,7.9950004
2021-01-14,9.766667
2021-01-15,2.4416666
2021-01-16,5.0266666
2021-01-17,6.3799996
2021-01-18,5.095
2021-01-19,9.704999
2021-01-20,9.806666
2021-01-21,5.865
2021-01-22,3.385
2021-01-23,1.7116666
2021-01-24,0.6933333
2021-01-25,1.8633333
2021-01-26,2.9800003
2021-01-27,8.5
2021-01-28,10.965
2021-01-29,9.97
2021-01-30,7.3233333
2021-01-31,2.2266665
2021-02-01,3.8916667
2021-02-02,8.648334
2021-02-03,8.288333
2021-02-04,6.4133334
2021-02-05,6.655
2021-02-06,4.153333
2021-02-07,3.55
2021-02-08,-0.27166668
2021-02-09,-0.20333333
2021-02-10,1.015
2021-02-11,-1.1816667
2021-02-12,1.5533333
2021-02-13,-0.36833334
2021-02-14,4.043333
2021-02-15,9.341666
2021-02-16,10.033334
2021-02-17,8.84
2021-02-18,9.565
2021-02-19,7.681666
2021-02-20,11.231667
2021-02-21,10.361667
2021-02-22,8.821667
2021-02-23,7.6183333
2021-02-24,12.026666
2021-02-25,9.528333
2021-02-26,5.28
2021-02-27,5.655
2021-02-28,6.0733333
2021-03-01,6.3933334
2021-03-02,4.8166666
2021-03-03,7.3033333
2021-03-04,7.0166664
2021-03-05,4.665
2021-03-06,3.1416664
2021-03-07,1.8849999
2021-03-08,2.9516666
2021-03-09,4.7166667
2021-03-10,7.984999
2021-03-11,10.083333
2021-03-12,7.308333
2021-03-13,7.486666
2021-03-14,7.42
2021-03-15,9.996667
2021-03-16,9.381667
2021-03-17,6.4600005
2021-03-18,5.533333
2021-03-19,9.506667
2021-03-20,6.271667
2021-03-21,8.61
2021-03-22,6.713333
2021-03-23,6.984999
