time,ITG11
2021-01-01,-0.22999999
2021-01-02,-0.98999995
2021-01-03,0.65999997
2021-01-04,1.28
2021-01-05,1.53
2021-01-06,1.38
2021-01-07,-1.87
2021-01-08,-0.7
2021-01-09,-0.35999998
2021-01-10,1.2099999
2021-01-11,4.79
2021-01-12,3.1699998
2021-01-13,0.88
2021-01-14,2.69
2021-01-15,-0.32
2021-01-16,3.1899998
2021-01-17,4.5299997
2021-01-18,3.83
2021-01-19,5.9
2021-01-20,5.1
2021-01-21,2.24
2021-01-22,0.93
2021-01-23,-0.82
2021-01-24,-2.03
2021-01-25,-0.45
2021-01-26,1.5799999
2021-01-27,4.0499997
2021-01-28,4.46
2021-01-29,5.19
2021-01-30,3.04
2021-01-31,-0.97999996
2021-02-01,2.1599998
2021-02-02,3.03
2021-02-03,5.46
2021-02-04,3.9599998
2021-02-05,5.33
2021-02-06,3.1999998
2021-02-07,0.79999995
2021-02-08,-0.91999996
2021-02-09,-1.16
2021-02-10,-0.81
2021-02-11,-1.5999999
2021-02-12,-1.09
2021-02-13,-0.7
2021-02-14,2.9399998
2021-02-15,6.6
2021-02-16,8.349999
2021-02-17,7.2799997
2021-02-18,6.98
2021-02-19,5.3399997
2021-02-20,9.07
2021-02-21,8.61
2021-02-22,8.17
2021-02-23,7.14
2021-02-24,10.96
2021-02-25,7.3999996
2021-02-26,5.2999997
2021-02-27,5.02
2021-02-28,5.1
2021-03-01,3.84
2021-03-02,3.3799999
2021-03-03,3.02
2021-03-04,4.19
2021-03-05,3.27
2021-03-06,1.9499999
2021-03-07,3.03
2021-03-08,4.7799997
2021-03-09,6.7999997
2021-03-10,7.2599998
2021-03-11,7.5499997
2021-03-12,5.65
2021-03-13,4.8599997
2021-03-14,6.14
2021-03-15,7.7799997
2021-03-16,8.87
2021-03-17,6.7599998
2021-03-18,7.29
2021-03-19,7.35
2021-03-20,7.8399997
2021-03-21,7.3799996
2021-03-22,6.39
2021-03-23,6.97
2021-03-24,8.309999
2021-03-25,7.8999996
2021-03-26,8.48
2021-03-27,4.81
2021-03-28,9.22
2021-03-29,11.429999
2021-03-30,11.34
2021-03-31,11.38
2021-04-01,6.87
2021-04-02,5.1099997
2021-04-03,5.69
2021-04-04,6.75
2021-04-05,3.33
2021-04-06,2.33
2021-04-07,2.1699998
2021-04-08,6.1
2021-04-09,4.21
2021-04-10,2.3799999
2021-04-11,2.32
2021-04-12,3.08
2021-04-13,4.21
2021-04-14,5.65
2021-04-15,5.1
2021-04-16,4.92
2021-04-17,5.74
2021-04-18,5.99
2021-04-19,8.32
2021-04-20,8.23
2021-04-21,7.8999996
2021-04-22,5.5
