time,EE008
2021-08-12,19.756363
2021-08-13,19.196363
2021-08-14,19.363634
2021-08-15,21.710909
2021-08-16,22.278181
2021-08-17,23.34182
2021-08-18,17.23909
2021-08-19,15.154545
2021-08-20,16.51909
2021-08-21,17.846363
2021-08-22,18.352726
2021-08-23,19.738182
2021-08-24,18.688183
2021-08-25,16.274544
2021-08-26,15.706364
2021-08-27,13.937271
2021-08-28,14.061819
2021-08-29,14.305453
2021-08-30,15.275455
2021-08-31,12.993636
2021-09-01,12.790909
2021-09-02,13.882728
2021-09-03,12.303636
2021-09-04,13.141818
2021-09-05,14.062728
2021-09-06,12.713635
2021-09-07,13.031817
2021-09-08,14.066363
2021-09-09,14.118182
2021-09-10,14.283636
2021-09-11,15.486362
2021-09-12,15.9345455
2021-09-13,16.236364
2021-09-14,17.044544
2021-09-15,16.54909
2021-09-16,17.781816
2021-09-17,18.42
2021-09-18,15.728181
2021-09-19,13.309091
2021-09-20,10.0881815
2021-09-21,8.795455
2021-09-22,7.347273
2021-09-23,7.614545
2021-09-24,9.672728
2021-09-25,12.814545
2021-09-26,14.769999
2021-09-27,14.41
2021-09-28,13.583636
2021-09-29,10.941817
2021-09-30,11.413635
2021-10-01,10.853637
2021-10-02,9.009999
2021-10-03,9.68
2021-10-04,11.0936365
2021-10-05,9.7754545
2021-10-06,8.55
2021-10-07,9.456364
2021-10-08,6.7799993
2021-10-09,5.122727
2021-10-10,7.6954546
2021-10-11,7.8072734
2021-10-12,7.373636
2021-10-13,5.4427276
2021-10-14,3.8954546
2021-10-15,5.01
2021-10-16,7.2654543
2021-10-17,8.023637
2021-10-18,6.7863636
2021-10-19,7.681818
2021-10-20,7.3699994
2021-10-21,9.113636
2021-10-22,11.720908
2021-10-23,10.04909
2021-10-24,4.2736363
2021-10-25,3.323636
2021-10-26,5.423636
2021-10-27,4.617272
2021-10-28,5.501818
2021-10-29,6.982727
2021-10-30,8.37
2021-10-31,6.13
2021-11-01,4.807273
2021-11-02,3.9181817
2021-11-03,7.4581814
2021-11-04,13.556363
2021-11-05,13.072726
2021-11-06,9.423636
2021-11-07,10.88
2021-11-08,6.7881823
2021-11-09,3.8463633
2021-11-10,2.222727
2021-11-11,3.8218186
2021-11-12,3.9554543
2021-11-13,4.139091
2021-11-14,4.4445453
2021-11-15,3.2936363
2021-11-16,3.595455
2021-11-17,2.1836362
2021-11-18,0.9381818
2021-11-19,3.1154542
2021-11-20,6.914546
2021-11-21,3.261818
2021-11-22,1.680909
2021-11-23,2.111818
2021-11-24,0.2690909
2021-11-25,0.22545455
2021-11-26,1.59
2021-11-27,5.0745454
2021-11-28,6.245455
2021-11-29,5.316364
2021-11-30,-0.88545454
2021-12-01,0.6236363
2021-12-02,3.1327271
2021-12-03,3.3554544
2021-12-04,-0.07090911
2021-12-05,-0.117272705
2021-12-06,1.1781818
2021-12-07,0.25000003
2021-12-08,0.07363639
2021-12-09,-0.48818177
2021-12-10,2.7072725
2021-12-11,0.22909088
2021-12-12,3.9827273
2021-12-13,1.9172726
2021-12-14,0.4172727
2021-12-15,-0.23363638
2021-12-16,-0.10818183
2021-12-17,0.7790909
2021-12-18,0.1736364
2021-12-19,1.6590909
2021-12-20,-0.4045454
2021-12-21,-4.5809093
2021-12-22,-6.4936366
2021-12-23,-8.30091
2021-12-24,-0.32090905
2021-12-25,4.1472726
2021-12-26,4.367273
2021-12-27,1.4354545
2021-12-28,0.51636356
2021-12-29,0.8354545
2021-12-30,2.540909
2021-12-31,3.9736364
