time,DEB1D
2021-01-01,6.812857
2021-01-02,8.484285
2021-01-03,7.8642855
2021-01-04,5.984286
2021-01-05,5.288571
2021-01-06,5.205714
2021-01-07,5.0585713
2021-01-08,4.897143
2021-01-09,3.7514286
2021-01-10,4.747143
2021-01-11,3.4542859
2021-01-12,4.357143
2021-01-13,5.967143
2021-01-14,6.8599997
2021-01-15,6.661428
2021-01-16,3.822857
2021-01-17,3.0371425
2021-01-18,3.7999997
2021-01-19,5.202857
2021-01-20,6.997143
2021-01-21,9.139999
2021-01-22,10.7371435
2021-01-23,9.618571
2021-01-24,7.722857
2021-01-25,7.298571
2021-01-26,5.6342854
2021-01-27,4.4614286
2021-01-28,4.988571
2021-01-29,8.401428
2021-01-30,9.11857
2021-01-31,7.7085714
2021-02-01,8.668571
2021-02-02,9.13
2021-02-03,10.158571
2021-02-04,10.955714
2021-02-05,11.1285715
2021-02-06,10.940001
2021-02-07,11.161428
2021-02-08,9.458571
2021-02-09,10.462857
2021-02-10,11.765715
2021-02-11,10.309999
2021-02-12,8.035714
2021-02-13,2.1242857
2021-02-14,1.12
2021-02-15,2.6228573
2021-02-16,5.012857
2021-02-17,8.2228565
2021-02-18,9.405714
2021-02-19,9.947143
2021-02-20,10.5199995
2021-02-21,10.309999
2021-02-22,10.788572
2021-02-23,11.042857
2021-02-24,12.76
2021-02-25,13.607142
2021-02-26,11.768571
2021-02-27,10.775713
2021-02-28,9.308572
2021-03-01,6.8657146
2021-03-02,7.838571
2021-03-03,9.901428
2021-03-04,8.334285
2021-03-05,9.744286
2021-03-06,7.627143
2021-03-07,7.195714
2021-03-08,8.085714
2021-03-09,7.91
2021-03-10,7.66
2021-03-11,8.198572
2021-03-12,11.214286
2021-03-13,10.7300005
2021-03-14,9.357142
2021-03-15,8.601428
2021-03-16,9.748571
2021-03-17,7.7642856
2021-03-18,6.072857
2021-03-19,5.2428565
2021-03-20,5.644286
2021-03-21,6.0099998
2021-03-22,7.6399994
2021-03-23,7.327143
2021-03-24,8.381428
2021-03-25,10.272857
2021-03-26,11.052856
2021-03-27,11.454285
2021-03-28,12.117143
2021-03-29,13.094286
2021-03-30,13.567142
2021-03-31,15.178572
2021-04-01,17.487143
2021-04-02,16.374287
2021-04-03,13.4185705
2021-04-04,10.734284
2021-04-05,10.024285
2021-04-06,8.857142
2021-04-07,5.8899994
2021-04-08,7.722857
2021-04-09,9.535714
2021-04-10,9.705714
2021-04-11,11.139999
2021-04-12,11.93857
2021-04-13,9.042856
2021-04-14,8.487143
2021-04-15,8.024285
2021-04-16,9.015714
2021-04-17,8.961429
2021-04-18,9.368571
2021-04-19,9.414285
2021-04-20,11.014285
2021-04-21,12.101427
2021-04-22,11.562857
2021-04-23,12.568572
2021-04-24,13.879999
2021-04-25,14.734285
2021-04-26,13.334285
2021-04-27,12.258571
2021-04-28,13.261428
2021-04-29,14.784286
2021-04-30,16.484285
2021-05-01,15.832856
2021-05-02,14.397142
2021-05-03,12.984285
2021-05-04,12.9728565
2021-05-05,14.101428
2021-05-06,15.235713
2021-05-07,15.878571
2021-05-08,14.75
2021-05-09,16.431429
2021-05-10,17.511429
2021-05-11,15.302856
2021-05-12,13.667143
2021-05-13,13.517142
2021-05-14,12.447144
2021-05-15,12.929999
2021-05-16,14.805715
2021-05-17,16.088572
2021-05-18,15.495714
2021-05-19,14.428572
2021-05-20,14.591429
2021-05-21,15.711428
2021-05-22,15.822856
2021-05-23,18.24
2021-05-24,16.452856
2021-05-25,15.637141
2021-05-26,15.659999
2021-05-27,16.671429
2021-05-28,17.085714
2021-05-29,17.374285
2021-05-30,16.682858
2021-05-31,15.932857
2021-06-01,16.995714
2021-06-02,17.884285
2021-06-03,18.145716
2021-06-04,19.881428
2021-06-05,19.58143
2021-06-06,19.12857
2021-06-07,17.51857
2021-06-08,17.008572
2021-06-09,18.66
2021-06-10,19.140001
2021-06-11,19.065714
2021-06-12,20.948574
2021-06-13,22.062857
2021-06-14,22.297144
2021-06-15,21.288572
2021-06-16,21.544285
2021-06-17,22.064285
2021-06-18,21.55
2021-06-19,22.384287
2021-06-20,23.901428
2021-06-21,23.857143
2021-06-22,23.655714
2021-06-23,23.661427
2021-06-24,23.064285
2021-06-25,22.054285
2021-06-26,21.558573
2021-06-27,22.665712
2021-06-28,24.681427
2021-06-29,24.074286
2021-06-30,22.1
2021-07-01,21.985714
2021-07-02,21.857143
2021-07-03,22.722857
2021-07-04,20.844286
2021-07-05,21.801426
2021-07-06,24.167143
2021-07-07,25.54714
2021-07-08,25.08
2021-07-09,22.484283
2021-07-10,22.26857
2021-07-11,22.695713
2021-07-12,23.711428
2021-07-13,22.967142
2021-07-14,19.895712
2021-07-15,20.947144
2021-07-16,19.514286
2021-07-17,20.591429
2021-07-18,23.507141
2021-07-19,23.86143
2021-07-20,23.79857
2021-07-21,23.857143
2021-07-22,23.81
2021-07-23,23.58
2021-07-24,24.75
2021-07-25,25.398571
2021-07-26,24.21857
2021-07-27,24.082855
2021-07-28,24.325714
2021-07-29,24.387142
2021-07-30,25.647142
2021-07-31,25.94
2021-08-01,24.545715
2021-08-02,21.86857
2021-08-03,22.574284
2021-08-04,24.325714
2021-08-05,22.721426
2021-08-06,23.099997
2021-08-07,24.061428
2021-08-08,26.242857
2021-08-09,25.091427
2021-08-10,24.645712
2021-08-11,25.47857
2021-08-12,26.241428
2021-08-13,25.911428
2021-08-14,26.137142
2021-08-15,26.599997
2021-08-16,26.662857
2021-08-17,24.25
2021-08-18,22.602858
2021-08-19,22.36143
2021-08-20,22.665714
2021-08-21,23.737143
2021-08-22,24.735714
2021-08-23,21.98857
2021-08-24,21.811428
2021-08-25,20.837143
2021-08-26,22.550001
2021-08-27,19.685713
2021-08-28,18.624285
2021-08-29,19.152859
2021-08-30,19.92
2021-08-31,19.105713
2021-09-01,20.427141
2021-09-02,20.874285
2021-09-03,19.925714
2021-09-04,19.41
2021-09-05,20.108572
2021-09-06,19.85857
2021-09-07,20.265713
2021-09-08,19.78143
2021-09-09,19.952854
2021-09-10,20.40857
2021-09-11,21.015715
2021-09-12,20.747143
