time,DEB3C
2021-08-11,15.231017
2021-08-12,15.753728
2021-08-13,16.095085
2021-08-14,14.293898
2021-08-15,14.388643
2021-08-16,12.662711
2021-08-17,13.161186
2021-08-18,13.944746
2021-08-19,13.418136
2021-08-20,12.524069
2021-08-21,11.860508
2021-08-22,11.848983
2021-08-23,12.193559
2021-08-24,14.307627
2021-08-25,14.457797
2021-08-26,11.7300005
2021-08-27,12.745763
2021-08-28,13.747627
2021-08-29,14.547795
2021-08-30,13.508474
2021-08-31,13.250339
2021-09-01,13.501356
2021-09-02,13.832712
2021-09-03,10.889661
2021-09-04,8.352542
2021-09-05,10.647289
2021-09-06,12.628135
2021-09-07,14.6232195
2021-09-08,17.363388
2021-09-09,15.837119
2021-09-10,14.70339
2021-09-11,15.127457
2021-09-12,15.340339
2021-09-13,9.688305
2021-09-14,9.727797
2021-09-15,10.79
2021-09-16,9.101186
2021-09-17,8.372542
2021-09-18,8.526949
2021-09-19,8.105593
2021-09-20,7.0599995
2021-09-21,7.8533893
2021-09-22,10.453729
2021-09-23,10.827626
2021-09-24,7.716949
2021-09-25,9.253728
2021-09-26,8.1
2021-09-27,10.219661
2021-09-28,11.163051
2021-09-29,10.582373
2021-09-30,9.97644
2021-10-01,10.24644
2021-10-02,10.31322
2021-10-03,12.059321
2021-10-04,11.031526
2021-10-05,10.846779
2021-10-06,10.525424
2021-10-07,10.866101
2021-10-08,11.637118
2021-10-09,11.969321
2021-10-10,10.574407
2021-10-11,6.6557627
2021-10-12,3.8411865
2021-10-13,2.4022033
2021-10-14,8.872203
2021-10-15,6.0635595
2021-10-16,3.9466102
2021-10-17,0.77288127
2021-10-18,-0.31644064
2021-10-19,3.2530508
2021-10-20,10.56322
2021-10-21,6.9472885
2021-10-22,3.106949
2021-10-23,1.7291524
2021-10-24,7.19661
2021-10-25,8.268305
2021-10-26,7.0155935
2021-10-27,8.636779
2021-10-28,11.054406
2021-10-29,9.79017
2021-10-30,8.322712
2021-10-31,7.4411864
2021-11-01,8.489323
2021-11-02,7.5277963
2021-11-03,6.1184745
2021-11-04,4.5616946
2021-11-05,1.2616949
2021-11-06,1.270678
2021-11-07,2.458644
2021-11-08,-1.02
2021-11-09,3.8503387
2021-11-10,6.7501698
2021-11-11,3.7822032
2021-11-12,-0.8205084
2021-11-13,1.8466101
2021-11-14,1.2120337
2021-11-15,3.777966
2021-11-16,5.958813
2021-11-17,4.3764405
2021-11-18,0.90271175
2021-11-19,6.32678
2021-11-20,2.4981356
2021-11-21,-1.8922033
2021-11-22,-3.4698305
2021-11-23,-1.3444067
2021-11-24,2.0196607
2021-11-25,-1.3067796
2021-11-26,-7.156271
2021-11-27,-6.511525
2021-11-28,-5.187966
2021-11-29,-9.461016
2021-11-30,-9.179322
2021-12-01,-11.881526
2021-12-02,-10.186101
2021-12-03,-9.39288
2021-12-04,-8.29678
2021-12-05,-8.067287
2021-12-06,-13.711864
2021-12-07,-13.297288
2021-12-08,-4.8435597
2021-12-09,-1.2932204
2021-12-10,-1.0208474
2021-12-11,-0.0067796665
2021-12-12,-0.68559325
2021-12-13,1.017966
2021-12-14,0.59203386
2021-12-15,4.13339
2021-12-16,1.08
2021-12-17,-0.9540678
2021-12-18,-0.05254237
2021-12-19,0.5277966
2021-12-20,-3.622712
2021-12-21,-5.740169
2021-12-22,-4.238136
2021-12-23,-4.0681353
2021-12-24,-11.18322
2021-12-25,-12.195763
2021-12-26,-10.1159315
2021-12-27,-10.591017
2021-12-28,-4.6242375
2021-12-29,-4.2242374
2021-12-30,0.6105085
2021-12-31,0.40559316
