time,DEG0G
2021-08-12,17.577778
2021-08-13,19.105555
2021-08-14,20.503334
2021-08-15,18.947777
2021-08-16,19.64111
2021-08-17,17.060001
2021-08-18,15.80111
2021-08-19,17.075554
2021-08-20,17.53222
2021-08-21,16.524445
2021-08-22,14.844445
2021-08-23,14.991111
2021-08-24,13.236667
2021-08-25,13.804444
2021-08-26,13.958889
2021-08-27,15.554443
2021-08-28,16.882221
2021-08-29,16.119999
2021-08-30,15.974443
2021-08-31,15.556666
2021-09-01,14.429999
2021-09-02,13.28111
2021-09-03,13.722222
2021-09-04,10.971111
2021-09-05,9.252223
2021-09-06,11.831111
2021-09-07,14.855556
2021-09-08,16.068888
2021-09-09,17.412222
2021-09-10,16.857779
2021-09-11,16.696665
2021-09-12,17.34
2021-09-13,15.128889
2021-09-14,12.212223
2021-09-15,12.4366665
2021-09-16,12.102222
2021-09-17,12.232222
2021-09-18,9.753333
2021-09-19,8.481112
2021-09-20,7.5966663
2021-09-21,8.201111
2021-09-22,8.062222
2021-09-23,10.717777
2021-09-24,11.417778
2021-09-25,13.485555
2021-09-26,11.688889
2021-09-27,11.34111
2021-09-28,11.355556
2021-09-29,11.222221
2021-09-30,10.304443
2021-10-01,10.942222
2021-10-02,11.684444
2021-10-03,13.174443
2021-10-04,13.417777
2021-10-05,14.023333
2021-10-06,14.076667
2021-10-07,11.018888
2021-10-08,6.884444
2021-10-09,7.92
2021-10-10,8.857778
2021-10-11,7.624444
2021-10-12,7.6722217
2021-10-13,6.464444
2021-10-14,6.837778
2021-10-15,10.455555
2021-10-16,9.843333
2021-10-17,9.012222
2021-10-18,6.8544445
2021-10-19,6.451111
2021-10-20,12.578889
2021-10-21,13.193333
2021-10-22,8.530001
2021-10-23,6.6266665
2021-10-24,5.6788883
2021-10-25,7.4133334
2021-10-26,7.3988886
2021-10-27,10.151112
2021-10-28,12.178889
2021-10-29,9.975555
2021-10-30,9.038889
2021-10-31,10.548889
2021-11-01,9.025555
2021-11-02,7.042222
2021-11-03,7.8099995
2021-11-04,7.758889
2021-11-05,8.667777
2021-11-06,8.594444
2021-11-07,8.746667
2021-11-08,5.06
2021-11-09,1.8055556
2021-11-10,7.884444
2021-11-11,8.48
2021-11-12,6.657778
2021-11-13,4.4955554
2021-11-14,4.441111
2021-11-15,1.8866667
2021-11-16,3.8877776
2021-11-17,4.4477777
2021-11-18,6.548889
2021-11-19,8.642222
2021-11-20,8.394444
2021-11-21,5.808889
2021-11-22,1.1855556
2021-11-23,3.2311108
2021-11-24,6.0255556
2021-11-25,5.624444
2021-11-26,4.782222
2021-11-27,2.0822222
2021-11-28,1.4133333
2021-11-29,1.2588888
2021-11-30,-0.013333327
2021-12-01,-0.4844444
2021-12-02,2.5755556
2021-12-03,-0.6988889
2021-12-04,-0.52000004
2021-12-05,-2.918889
2021-12-06,-8.356667
2021-12-07,-11.19
2021-12-08,-9.43111
2021-12-09,-7.506666
2021-12-10,-0.25
2021-12-11,1.0633333
2021-12-12,-0.53444445
2021-12-13,-0.72333336
2021-12-14,0.8333333
2021-12-15,3.6766667
2021-12-16,5.6866665
2021-12-17,3.7822223
2021-12-18,3.7033336
2021-12-19,2.1522222
2021-12-20,-2.4555557
2021-12-21,-5.6855555
2021-12-22,-8.522222
2021-12-23,-3.948889
2021-12-24,-2.5566664
2021-12-25,-4.0133333
2021-12-26,-3.988889
2021-12-27,-5.1944447
2021-12-28,-7.0211105
2021-12-29,-6.187778
2021-12-30,-2.1144445
2021-12-31,3.797778
