time,FR104
2021-01-01,5.7500005
2021-01-02,6.89875
2021-01-03,8.91625
2021-01-04,7.1625
2021-01-05,5.7949996
2021-01-06,5.2199993
2021-01-07,5.0812497
2021-01-08,3.3525
2021-01-09,0.49124998
2021-01-10,0.14999998
2021-01-11,-0.18249997
2021-01-12,-0.2825
2021-01-13,0.145
2021-01-14,-0.1575
2021-01-15,-0.02
2021-01-16,-2.0625
2021-01-17,-3.37375
2021-01-18,-5.0725
2021-01-19,1.89125
2021-01-20,5.6625
2021-01-21,8.5
2021-01-22,10.17875
2021-01-23,11.377501
2021-01-24,9.755
2021-01-25,3.48625
2021-01-26,2.4575
2021-01-27,1.00375
2021-01-28,1.8987501
2021-01-29,7.18375
2021-01-30,9.547499
2021-01-31,5.45125
2021-02-01,0.60749996
2021-02-02,2.7712498
2021-02-03,7.81625
2021-02-04,12.602499
2021-02-05,10.985
2021-02-06,10.54375
2021-02-07,11.4887495
2021-02-08,10.2
2021-02-09,8.577499
2021-02-10,9.7525
2021-02-11,1.5825
2021-02-12,-4.625
2021-02-13,-6.3912506
2021-02-14,-3.64375
2021-02-15,-0.9025
2021-02-16,-0.76875
2021-02-17,2.9137497
2021-02-18,7.3175
2021-02-19,6.621249
2021-02-20,6.62875
2021-02-21,6.9162498
2021-02-22,9.0375
2021-02-23,10.001249
2021-02-24,9.1675
2021-02-25,10.865
2021-02-26,12.2074995
2021-02-27,8.562499
2021-02-28,6.585
2021-03-01,5.5599995
2021-03-02,5.5525
2021-03-03,8.10125
2021-03-04,9.056251
2021-03-05,9.539999
2021-03-06,3.82625
2021-03-07,1.37375
2021-03-08,3.9012501
2021-03-09,2.89875
2021-03-10,3.7475
2021-03-11,3.58375
2021-03-12,8.001249
2021-03-13,10.169999
2021-03-14,11.594999
2021-03-15,4.96875
2021-03-16,6.2787495
2021-03-17,5.505
2021-03-18,4.0075
2021-03-19,3.06375
2021-03-20,2.53875
2021-03-21,1.24375
2021-03-22,2.16875
2021-03-23,4.0474997
2021-03-24,5.7875
2021-03-25,4.895
2021-03-26,7.4987497
2021-03-27,10.4275
2021-03-28,11.338751
2021-03-29,10.162499
2021-03-30,11.523749
2021-03-31,13.195
2021-04-01,14.6775
2021-04-02,15.57125
2021-04-03,9.357499
2021-04-04,5.7649994
2021-04-05,7.33375
2021-04-06,4.5762496
2021-04-07,3.645
2021-04-08,4.3687496
2021-04-09,7.22
2021-04-10,11.263751
2021-04-11,12.0737505
2021-04-12,15.659999
2021-04-13,6.805
2021-04-14,4.37875
2021-04-15,5.4562497
2021-04-16,5.0
