time,FRE23
2021-01-01,1.8399999
2021-01-02,3.9399998
2021-01-03,3.37
2021-01-04,3.24
2021-01-05,3.6299999
2021-01-06,3.5
2021-01-07,0.96999997
2021-01-08,2.6599998
2021-01-09,1.8399999
2021-01-10,2.22
2021-01-11,7.46
2021-01-12,8.559999
2021-01-13,7.25
2021-01-14,8.75
2021-01-15,3.85
2021-01-16,6.3399997
2021-01-17,6.58
2021-01-18,6.48
2021-01-19,9.79
2021-01-20,9.969999
2021-01-21,5.0099998
2021-01-22,4.9
2021-01-23,3.0
2021-01-24,1.49
2021-01-25,2.55
2021-01-26,4.45
2021-01-27,8.53
2021-01-28,10.21
2021-01-29,9.41
2021-01-30,7.39
2021-01-31,2.45
2021-02-01,4.25
2021-02-02,8.28
2021-02-03,8.0
2021-02-04,8.37
2021-02-05,6.6099997
2021-02-06,4.81
2021-02-07,2.9399998
2021-02-08,2.04
2021-02-09,0.55
2021-02-10,0.63
2021-02-11,-0.62
2021-02-12,1.67
2021-02-13,0.41
2021-02-14,4.5099998
2021-02-15,8.95
2021-02-16,9.53
2021-02-17,8.92
2021-02-18,7.6699996
2021-02-19,7.93
2021-02-20,10.29
2021-02-21,9.38
2021-02-22,8.98
2021-02-23,8.95
2021-02-24,11.65
2021-02-25,8.59
2021-02-26,5.97
2021-02-27,6.12
2021-02-28,6.5299997
2021-03-01,6.18
2021-03-02,5.47
2021-03-03,5.98
2021-03-04,5.66
2021-03-05,4.8599997
2021-03-06,3.1
2021-03-07,2.58
2021-03-08,4.2799997
2021-03-09,6.06
2021-03-10,9.03
2021-03-11,8.75
2021-03-12,7.04
2021-03-13,6.19
2021-03-14,7.27
2021-03-15,9.24
2021-03-16,9.83
2021-03-17,7.93
2021-03-18,7.0699997
2021-03-19,9.19
2021-03-20,8.48
2021-03-21,9.0
2021-03-22,7.0299997
2021-03-23,8.16
2021-03-24,9.03
2021-03-25,8.78
2021-03-26,8.83
2021-03-27,7.45
2021-03-28,10.29
2021-03-29,11.78
2021-03-30,12.7699995
2021-03-31,11.63
2021-04-01,11.83
2021-04-02,8.54
2021-04-03,6.8399997
2021-04-04,7.39
2021-04-05,6.1
2021-04-06,3.8799999
2021-04-07,4.65
2021-04-08,7.06
2021-04-09,7.27
2021-04-10,5.75
2021-04-11,4.5699997
2021-04-12,5.7799997
2021-04-13,7.0
2021-04-14,6.98
2021-04-15,6.3199997
2021-04-16,6.2999997
2021-04-17,7.52
2021-04-18,7.8399997
2021-04-19,8.66
2021-04-20,10.4
2021-04-21,11.04
2021-04-22,9.12
2021-04-23,10.96
2021-04-24,11.61
2021-04-25,9.4
2021-04-26,8.45
2021-04-27,8.53
2021-04-28,8.57
2021-04-29,7.4199996
2021-04-30,6.77
2021-05-01,6.97
2021-05-02,7.7
2021-05-03,8.82
2021-05-04,9.29
2021-05-05,7.1099997
2021-05-06,6.95
2021-05-07,7.3799996
2021-05-08,10.07
2021-05-09,12.55
2021-05-10,11.219999
2021-05-11,10.51
2021-05-12,10.389999
2021-05-13,10.07
2021-05-14,11.309999
2021-05-15,10.87
2021-05-16,11.429999
2021-05-17,11.44
2021-05-18,10.73
2021-05-19,11.24
2021-05-20,10.69
2021-05-21,10.21
2021-05-22,10.139999
2021-05-23,9.16
2021-05-24,8.9
2021-05-25,10.59
2021-05-26,10.139999
2021-05-27,10.599999
2021-05-28,12.87
2021-05-29,15.07
2021-05-30,15.07
2021-05-31,14.48
2021-06-01,17.539999
2021-06-02,17.47
2021-06-03,14.61
2021-06-04,12.49
2021-06-05,13.49
2021-06-06,14.049999
2021-06-07,14.03
2021-06-08,14.349999
