time,SK023
2021-08-24,16.582499
2021-08-25,16.380001
2021-08-26,15.907499
2021-08-27,15.2325
2021-08-28,15.764999
2021-08-29,14.782499
2021-08-30,15.82
2021-08-31,15.4675
2021-09-01,15.012499
2021-09-02,15.309999
2021-09-03,14.9
2021-09-04,15.4575
2021-09-05,17.0175
2021-09-06,18.859999
2021-09-07,19.725
2021-09-08,19.794998
2021-09-09,19.08
2021-09-10,18.8175
2021-09-11,18.0475
2021-09-12,14.9425
2021-09-13,15.0975
2021-09-14,16.0975
2021-09-15,15.7675
2021-09-16,15.987499
2021-09-17,16.42
2021-09-18,17.375
2021-09-19,16.9875
2021-09-20,14.624999
2021-09-21,15.32
2021-09-22,15.8575
2021-09-23,15.585
2021-09-24,17.0675
2021-09-25,17.4975
2021-09-26,17.805
2021-09-27,14.7699995
2021-09-28,14.412499
2021-09-29,12.174999
2021-09-30,12.065001
2021-10-01,13.6475
2021-10-02,10.645
2021-10-03,11.077499
2021-10-04,12.884999
2021-10-05,11.437499
2021-10-06,12.147499
2021-10-07,14.9775
2021-10-08,15.852501
2021-10-09,13.63
2021-10-10,13.3625
2021-10-11,11.8075
2021-10-12,11.6975
2021-10-13,12.8225
2021-10-14,12.879999
2021-10-15,10.594999
2021-10-16,10.572499
2021-10-17,12.3475
2021-10-18,13.16
2021-10-19,16.38
2021-10-20,13.66
2021-10-21,8.219999
2021-10-22,9.4025
2021-10-23,10.455
2021-10-24,12.0675
2021-10-25,11.865
2021-10-26,10.665
2021-10-27,14.6675
2021-10-28,13.35
2021-10-29,11.834999
2021-10-30,10.1625
2021-10-31,8.41
2021-11-01,8.975
2021-11-02,7.0775003
2021-11-03,6.1175003
2021-11-04,7.1575003
2021-11-05,7.1824994
2021-11-06,10.665
2021-11-07,10.4225
2021-11-08,7.895
2021-11-09,11.509999
2021-11-10,11.277499
2021-11-11,9.879999
2021-11-12,10.995001
2021-11-13,11.725
2021-11-14,10.174999
2021-11-15,9.219999
2021-11-16,8.135
2021-11-17,8.82
2021-11-18,10.264999
2021-11-19,12.2225
2021-11-20,10.0825
2021-11-21,6.4725
2021-11-22,5.5724998
2021-11-23,6.09
2021-11-24,6.175
2021-11-25,3.96
2021-11-26,5.1475
2021-11-27,2.9424999
2021-11-28,1.2349999
2021-11-29,1.6225
2021-11-30,7.7249994
2021-12-01,7.5125
2021-12-02,2.4725
2021-12-03,4.2575
2021-12-04,4.9674997
2021-12-05,4.8199997
2021-12-06,2.5349998
2021-12-07,3.145
2021-12-08,4.6949997
2021-12-09,5.1
2021-12-10,4.7349997
2021-12-11,4.15
2021-12-12,9.174999
2021-12-13,8.772499
2021-12-14,8.62
2021-12-15,10.135
2021-12-16,8.1525
2021-12-17,6.365
2021-12-18,5.41
2021-12-19,4.0600004
2021-12-20,4.5774994
2021-12-21,3.1375
2021-12-22,0.4925
2021-12-23,4.0299997
2021-12-24,5.3374996
2021-12-25,3.0475001
2021-12-26,3.4799998
2021-12-27,5.9049997
2021-12-28,6.555
2021-12-29,6.7074995
2021-12-30,10.25
2021-12-31,11.525
