time,DEA2C
2021-01-01,9.73
2021-01-02,10.69
2021-01-03,9.2699995
2021-01-04,5.06
2021-01-05,2.72
2021-01-06,7.21
2021-01-07,10.2699995
2021-01-08,14.549999
2021-01-09,13.65
2021-01-10,11.11
2021-01-11,9.88
2021-01-12,8.45
2021-01-13,8.47
2021-01-14,3.86
2021-01-15,5.69
2021-01-16,4.41
2021-01-17,2.6499999
2021-01-18,5.39
2021-01-19,5.64
2021-01-20,7.99
2021-01-21,15.04
2021-01-22,14.41
2021-01-23,9.49
2021-01-24,11.719999
2021-01-25,10.79
2021-01-26,7.0299997
2021-01-27,4.5899997
2021-01-28,8.809999
2021-01-29,10.11
2021-01-30,8.91
2021-01-31,6.24
2021-02-01,11.099999
2021-02-02,17.63
2021-02-03,20.939999
2021-02-04,16.0
2021-02-05,17.76
2021-02-06,14.48
2021-02-07,
2021-02-08,4.75
2021-02-09,
2021-02-10,
2021-02-11,
2021-02-12,9.0199995
2021-02-13,7.52
2021-02-14,-0.32999998
2021-02-15,0.97999996
2021-02-16,2.76
2021-02-17,8.34
2021-02-18,8.41
2021-02-19,8.61
2021-02-20,10.25
2021-02-21,12.17
2021-02-22,12.67
2021-02-23,8.98
2021-02-24,13.09
2021-02-25,11.84
2021-02-26,11.66
2021-02-27,8.21
2021-02-28,
2021-03-01,6.6099997
2021-03-02,8.57
2021-03-03,
2021-03-04,7.83
2021-03-05,3.5
2021-03-06,4.77
2021-03-07,5.94
2021-03-08,8.44
2021-03-09,8.78
2021-03-10,9.63
2021-03-11,9.0
2021-03-12,9.41
2021-03-13,13.46
2021-03-14,9.059999
2021-03-15,8.96
2021-03-16,7.99
2021-03-17,5.18
2021-03-18,
2021-03-19,
2021-03-20,4.54
2021-03-21,9.21
2021-03-22,6.47
2021-03-23,4.16
2021-03-24,5.23
2021-03-25,
2021-03-26,
2021-03-27,9.17
2021-03-28,10.099999
2021-03-29,9.57
2021-03-30,9.88
2021-03-31,12.36
2021-04-01,
2021-04-02,8.17
2021-04-03,13.799999
2021-04-04,12.179999
2021-04-05,9.48
2021-04-06,
2021-04-07,8.79
