time,DEB1A
2021-01-01,6.134
2021-01-02,7.252
2021-01-03,6.632
2021-01-04,5.2139997
2021-01-05,4.426
2021-01-06,3.918
2021-01-07,4.316
2021-01-08,3.366
2021-01-09,2.8920002
2021-01-10,3.1079998
2021-01-11,2.2020001
2021-01-12,2.4120002
2021-01-13,4.234
2021-01-14,5.342
2021-01-15,5.29
2021-01-16,3.1899998
2021-01-17,3.4919999
2021-01-18,2.072
2021-01-19,2.688
2021-01-20,5.4440002
2021-01-21,7.5619993
2021-01-22,9.073999
2021-01-23,7.6259995
2021-01-24,6.204
2021-01-25,5.7799997
2021-01-26,4.7699995
2021-01-27,3.132
2021-01-28,4.404
2021-01-29,6.3479996
2021-01-30,7.236
2021-01-31,6.222
2021-02-01,6.9900002
2021-02-02,7.7719994
2021-02-03,8.599999
2021-02-04,9.945999
2021-02-05,10.1779995
2021-02-06,10.481999
2021-02-07,9.132
2021-02-08,7.7260003
2021-02-09,9.053999
2021-02-10,10.134
2021-02-11,9.582
2021-02-12,6.046
2021-02-13,0.454
2021-02-14,-0.25
2021-02-15,1.1359999
2021-02-16,5.104
2021-02-17,7.5579996
2021-02-18,8.039999
2021-02-19,9.093999
2021-02-20,8.714
2021-02-21,9.24
2021-02-22,9.464
2021-02-23,9.892
2021-02-24,11.690001
2021-02-25,11.213999
2021-02-26,10.818001
2021-02-27,10.608
2021-02-28,8.462
2021-03-01,5.9519997
2021-03-02,6.446
2021-03-03,7.5259995
2021-03-04,7.0699997
2021-03-05,9.511999
2021-03-06,6.72
2021-03-07,5.9639997
2021-03-08,7.4399996
2021-03-09,7.3059998
2021-03-10,7.0259995
2021-03-11,7.9499993
2021-03-12,10.608
2021-03-13,9.601999
2021-03-14,8.465999
2021-03-15,8.344
2021-03-16,9.440001
2021-03-17,7.4940004
2021-03-18,5.932
2021-03-19,4.808
2021-03-20,4.644
2021-03-21,5.042
2021-03-22,7.204
2021-03-23,6.9059997
2021-03-24,7.9
2021-03-25,9.4539995
2021-03-26,10.07
2021-03-27,10.707999
2021-03-28,11.32
2021-03-29,12.542
2021-03-30,13.544001
2021-03-31,14.495999
2021-04-01,16.157999
2021-04-02,16.053999
2021-04-03,13.047999
2021-04-04,9.716001
2021-04-05,9.201999
2021-04-06,7.5379996
2021-04-07,5.3579993
2021-04-08,7.456
2021-04-09,9.4279995
2021-04-10,9.906
2021-04-11,11.802
2021-04-12,12.061999
2021-04-13,8.32
2021-04-14,7.8879995
2021-04-15,7.5259995
2021-04-16,8.308001
2021-04-17,8.845999
2021-04-18,8.844
2021-04-19,9.115999
2021-04-20,10.468
2021-04-21,11.548
2021-04-22,11.825999
2021-04-23,12.434
2021-04-24,13.414
2021-04-25,14.832001
2021-04-26,13.533999
2021-04-27,11.803999
2021-04-28,13.059999
2021-04-29,14.188001
2021-04-30,15.561999
2021-05-01,15.7039995
2021-05-02,14.38
2021-05-03,13.306
2021-05-04,12.476
2021-05-05,13.917999
2021-05-06,14.723999
2021-05-07,15.932001
2021-05-08,14.65
2021-05-09,16.868
2021-05-10,17.67
2021-05-11,13.906
2021-05-12,13.32
2021-05-13,12.95
2021-05-14,12.494
2021-05-15,12.860001
2021-05-16,14.666
2021-05-17,15.823999
2021-05-18,15.103999
2021-05-19,14.252001
2021-05-20,14.49
2021-05-21,15.57
2021-05-22,16.013998
2021-05-23,18.362
2021-05-24,15.497999
2021-05-25,15.164
2021-05-26,15.052
2021-05-27,16.654
2021-05-28,17.646
2021-05-29,18.394001
2021-05-30,17.01
2021-05-31,16.616
2021-06-01,16.789999
2021-06-02,17.618
2021-06-03,18.635998
2021-06-04,19.962
2021-06-05,19.518002
2021-06-06,19.448
2021-06-07,17.868
2021-06-08,17.088001
2021-06-09,19.042002
2021-06-10,19.154
2021-06-11,19.376
2021-06-12,21.301998
2021-06-13,22.762
2021-06-14,22.782
2021-06-15,21.205997
2021-06-16,21.63
2021-06-17,22.835999
2021-06-18,22.038
2021-06-19,23.062
2021-06-20,24.202
2021-06-21,23.317999
2021-06-22,23.293999
2021-06-23,23.772
2021-06-24,22.470001
2021-06-25,20.796
2021-06-26,21.352001
2021-06-27,22.847998
2021-06-28,24.635998
2021-06-29,23.604
2021-06-30,21.314
2021-07-01,22.052
2021-07-02,21.698002
2021-07-03,22.741999
2021-07-04,20.684
2021-07-05,21.897999
2021-07-06,24.118
2021-07-07,25.972
2021-07-08,24.707998
2021-07-09,22.216
2021-07-10,22.378
2021-07-11,22.584
2021-07-12,24.133999
2021-07-13,21.998
2021-07-14,19.023998
2021-07-15,20.702
2021-07-16,19.806
2021-07-17,20.822
2021-07-18,23.758
2021-07-19,24.15
2021-07-20,24.053999
2021-07-21,24.263998
2021-07-22,23.952
2021-07-23,23.733997
2021-07-24,24.834
2021-07-25,25.015999
2021-07-26,23.881998
2021-07-27,23.675999
2021-07-28,23.896
2021-07-29,24.357998
2021-07-30,25.574
2021-07-31,26.337997
2021-08-01,23.735998
2021-08-02,21.268
2021-08-03,22.124
2021-08-04,23.32
2021-08-05,22.01
2021-08-06,22.784
2021-08-07,23.853998
2021-08-08,25.539997
2021-08-09,24.539999
2021-08-10,24.449999
2021-08-11,25.462
2021-08-12,26.123999
2021-08-13,25.668
2021-08-14,26.079998
2021-08-15,26.309998
2021-08-16,26.779999
2021-08-17,24.011997
2021-08-18,22.258
2021-08-19,22.126
2021-08-20,22.344
2021-08-21,23.635998
2021-08-22,24.646
2021-08-23,21.883999
2021-08-24,21.702
2021-08-25,20.712
2021-08-26,21.992
2021-08-27,19.028
2021-08-28,17.578
2021-08-29,18.717999
2021-08-30,19.786
2021-08-31,18.512
2021-09-01,19.599998
2021-09-02,19.784
2021-09-03,19.018
2021-09-04,17.880001
2021-09-05,19.133999
2021-09-06,19.137999
2021-09-07,19.012001
2021-09-08,19.092
2021-09-09,19.236
2021-09-10,19.53
2021-09-11,20.07
2021-09-12,20.1
2021-09-13,21.17
2021-09-14,21.444
2021-09-15,22.759998
2021-09-16,20.84
2021-09-17,19.748001
2021-09-18,20.245998
2021-09-19,18.371998
2021-09-20,16.96
2021-09-21,16.442
2021-09-22,16.553999
2021-09-23,16.592
2021-09-24,17.801998
2021-09-25,19.564
2021-09-26,18.152
2021-09-27,18.060001
2021-09-28,18.504002
