time,FRH03
2021-08-14,19.827145
2021-08-15,18.735714
2021-08-16,19.13
2021-08-17,15.541428
2021-08-18,15.54
2021-08-19,17.164286
2021-08-20,16.671429
2021-08-21,16.047144
2021-08-22,15.451428
2021-08-23,15.892858
2021-08-24,14.391429
2021-08-25,13.54
2021-08-26,14.115714
2021-08-27,13.735713
2021-08-28,14.094285
2021-08-29,15.648572
2021-08-30,15.721428
2021-08-31,16.08
2021-09-01,16.047144
2021-09-02,15.801428
2021-09-03,15.11
2021-09-04,13.135715
2021-09-05,14.155715
2021-09-06,15.355714
2021-09-07,17.13857
2021-09-08,16.97714
2021-09-09,19.025713
2021-09-10,20.244284
2021-09-11,19.465714
2021-09-12,18.207142
2021-09-13,16.387142
2021-09-14,15.392856
2021-09-15,16.385714
2021-09-16,17.6
2021-09-17,16.08143
2021-09-18,13.368571
2021-09-19,12.155714
2021-09-20,12.122857
2021-09-21,10.449999
2021-09-22,11.838571
2021-09-23,13.187143
2021-09-24,13.877144
2021-09-25,15.797143
2021-09-26,15.095714
2021-09-27,16.091427
2021-09-28,14.771428
2021-09-29,14.209999
2021-09-30,12.039999
2021-10-01,11.834285
2021-10-02,13.031427
2021-10-03,15.861428
2021-10-04,15.681429
2021-10-05,16.292856
2021-10-06,15.089999
2021-10-07,12.065714
2021-10-08,12.237143
2021-10-09,8.807143
2021-10-10,8.235714
2021-10-11,8.885714
2021-10-12,8.542857
2021-10-13,7.845714
2021-10-14,8.565714
2021-10-15,11.475714
2021-10-16,9.277143
2021-10-17,9.581429
2021-10-18,8.948571
2021-10-19,11.431428
2021-10-20,15.292856
2021-10-21,12.694285
2021-10-22,7.738571
2021-10-23,7.961428
2021-10-24,7.232857
2021-10-25,7.3142858
2021-10-26,8.614285
2021-10-27,11.365714
2021-10-28,12.595714
2021-10-29,9.714286
2021-10-30,10.347143
2021-10-31,11.99
2021-11-01,10.54
2021-11-02,9.255714
2021-11-03,7.342857
2021-11-04,6.625714
2021-11-05,8.177142
2021-11-06,9.047143
2021-11-07,8.555715
2021-11-08,7.624286
2021-11-09,5.14
2021-11-10,6.9
2021-11-11,6.4828568
2021-11-12,8.038571
2021-11-13,6.4357142
2021-11-14,6.8199997
2021-11-15,6.0342855
2021-11-16,5.3314285
2021-11-17,4.8828573
2021-11-18,6.91
